産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）(人),送出者(人),個人業主及び無給家族従業者／実数(人),個人業主及び無給家族従業者／構成比(％),常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／実数(人),常用労働者数（送出者を含む）／常用雇用者／正社員・正職員等／構成比(％),常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／実数(人),常用労働者数（送出者を含む）／常用雇用者／パート・アルバイト等／構成比(％),常用労働者数（送出者を含む）／出向・派遣受入者／実数(人),常用労働者数（送出者を含む）／出向・派遣受入者／構成比(％),臨時雇用者(人)
0,00,総数,9887,245851,3308,348,0.1,184985,74.2,49356,19.8,14470,5.8,1197
1,09,食料品,681,29400,53,44,0.1,12842,43.6,14898,50.6,1669,5.7,343
1,10,飲料・飼料等,40,1175,3,2,0.2,820,69.6,229,19.4,127,10.8,4
1,11,繊維工業,365,4148,17,43,1,2695,64.7,1421,34.1,6,0.1,22
1,12,木材・木製品,55,555,3,3,0.5,447,80.1,102,18.3,6,1.1,2
1,13,家具・装備品,202,3236,44,18,0.5,2706,82.5,332,10.1,224,6.8,17
1,14,紙・紙加工品,371,5635,30,21,0.4,4303,76,1269,22.4,72,1.3,61
1,15,印刷・同関連業,1698,41599,788,28,0.1,34041,80.3,5660,13.4,2658,6.3,138
1,16,化学工業,199,10713,166,2,0,8398,77.2,1461,13.4,1018,9.4,11
1,17,石油・石炭,16,318,-,-,-,264,83,18,5.7,36,11.3,-
1,18,プラスチック,578,7779,10,14,0.2,5493,70.5,2177,27.9,105,1.3,47
1,19,ゴム製品,184,2470,2,17,0.7,1766,71.4,644,26.1,45,1.8,3
1,20,皮革・同製品,208,3376,22,17,0.5,2323,68.4,1041,30.6,17,0.5,7
1,21,窯業・土石,181,3643,16,7,0.2,3043,83.2,449,12.3,160,4.4,61
1,22,鉄鋼業,102,2681,6,1,0,2412,89.8,197,7.3,77,2.9,3
1,23,非鉄金属,118,2461,3,5,0.2,1933,78.4,479,19.4,47,1.9,5
1,24,金属製品,1392,17552,47,51,0.3,14213,80.8,3147,17.9,188,1.1,122
1,25,はん用機械,336,7392,15,6,0.1,6150,83,916,12.4,335,4.5,11
1,26,生産用機械,943,16754,154,17,0.1,14001,82.8,2246,13.3,644,3.8,39
1,27,業務用機械,488,13083,206,13,0.1,10730,80.7,2116,15.9,430,3.2,39
1,28,電子・デバイス,246,9760,398,5,0,7198,70.9,2071,20.4,884,8.7,70
1,29,電気機械,570,23903,497,6,0,18673,76.5,3349,13.7,2372,9.7,76
1,30,情報通信機械,113,8092,257,2,0,6729,80.6,715,8.6,903,10.8,62
1,31,輸送用機械,267,20539,502,4,0,16596,78.9,2201,10.5,2240,10.6,20
1,32,その他,534,9587,69,22,0.2,7209,74.7,2218,23,207,2.1,34
,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,
付表10　産業中分類、従業者就業形態別従業者数（従業者４人以上）,,,,,,,,,,,,,,
注）構成比は、「従業者数（送出者を除く）」からではなく、「個人業主及び無給家族従業者」、「正社員・正職員等」、「パート・アルバイト等」及び「出向・派遣受入者」の合計から計算している。,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
