産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積(m2),総用水量(m3／日),淡水水源別用水量／公共水道／工業用水道(m3／日),淡水水源別用水量／公共水道／上水道(m3／日),淡水水源別用水量／井戸水(m3／日),淡水水源別用水量／その他の淡水(m3／日)
0,00,総数,0,00,総数,1353,10017507,102186,11398,26957,42313,21518
0,00,総数,1,01,30～49人,608,1270139,8003,359,6292,1229,123
0,00,総数,1,02,50～99人,449,1840613,34311,2448,7508,3115,21240
0,00,総数,1,03,100～199人,184,1792191,19488,3588,4304,11591,5
0,00,総数,1,04,200～299人,37,848315,5584,x,1698,3752,x
0,00,総数,1,05,300～499人,32,673083,6698,1914,2231,2549,4
0,00,総数,1,06,500～999人,24,805289,17410,x,4041,11255,x
0,00,総数,1,07,1000人以上,19,2787877,10692,987,883,8822,-
1,09,食料品製造業,0,00,総数,173,1042520,31275,3428,9716,18131,-
1,09,食料品製造業,1,01,30～49人,56,97085,1785,-,1363,422,-
1,09,食料品製造業,1,02,50～99人,55,200155,4951,1262,2454,1235,-
1,09,食料品製造業,1,03,100～199人,32,220854,5683,1907,1569,2207,-
1,09,食料品製造業,1,04,200～299人,9,146150,3505,-,558,2947,-
1,09,食料品製造業,1,05,300～499人,12,81152,3147,259,1428,1460,-
1,09,食料品製造業,1,06,500～999人,8,x,x,-,2344,x,-
1,09,食料品製造業,1,07,1000人以上,1,x,x,-,-,x,-
1,10,飲料・たばこ・飼料製造業,0,00,総数,7,209023,9403,-,297,9106,-
1,10,飲料・たばこ・飼料製造業,1,01,30～49人,1,x,x,-,x,x,-
1,10,飲料・たばこ・飼料製造業,1,02,50～99人,3,x,x,-,x,x,-
1,10,飲料・たばこ・飼料製造業,1,03,100～199人,3,190042,8588,-,26,8562,-
1,11,繊維工業,0,00,総数,16,38294,55,-,45,3,7
1,11,繊維工業,1,01,30～49人,9,13172,24,-,14,3,7
1,11,繊維工業,1,02,50～99人,5,x,x,-,x,-,-
1,11,繊維工業,1,03,100～199人,2,x,x,-,x,-,-
1,12,木材・木製品製造業（家具を除く）,0,00,総数,2,x,x,-,x,-,-
1,12,木材・木製品製造業（家具を除く）,1,01,30～49人,1,x,x,-,x,-,-
1,12,木材・木製品製造業（家具を除く）,1,02,50～99人,1,x,x,-,x,-,-
1,13,家具・装備品製造業,0,00,総数,16,83830,97,x,94,x,-
1,13,家具・装備品製造業,1,01,30～49人,9,21111,18,x,x,-,-
1,13,家具・装備品製造業,1,02,50～99人,5,x,x,-,x,-,-
1,13,家具・装備品製造業,1,03,100～199人,1,x,x,-,x,x,-
1,13,家具・装備品製造業,1,06,500～999人,1,x,x,-,x,-,-
1,14,パルプ・紙・紙加工品製造業,0,00,総数,36,320621,21942,27,605,103,21207
1,14,パルプ・紙・紙加工品製造業,1,01,30～49人,20,72659,375,-,357,18,-
1,14,パルプ・紙・紙加工品製造業,1,02,50～99人,11,178093,21423,-,155,61,21207
1,14,パルプ・紙・紙加工品製造業,1,03,100～199人,5,69869,144,27,93,24,-
1,15,印刷・同関連業,0,00,総数,270,834248,3734,433,3192,79,30
1,15,印刷・同関連業,1,01,30～49人,117,134040,1236,7,1222,2,5
1,15,印刷・同関連業,1,02,50～99人,100,225479,832,178,654,-,-
1,15,印刷・同関連業,1,03,100～199人,37,174201,586,51,528,7,-
1,15,印刷・同関連業,1,04,200～299人,4,x,x,x,x,-,x
