産業分類階層,産業コード,産業中分類,現金給与総額／平成31年・令和元年／金額(万円),現金給与総額／平成31年・令和元年／構成比(％),現金給与総額／平成31年・令和元年／増減額(万円),現金給与総額／平成31年・令和元年／増減率(％),現金給与総額／平成30年／金額(万円),現金給与総額／平成30年／構成比(％),原材料使用額等／平成31年・令和元年／金額(万円),原材料使用額等／平成31年・令和元年／構成比(％),原材料使用額等／平成31年・令和元年／増減額(万円),原材料使用額等／平成31年・令和元年／増減率(％),原材料使用額等／平成30年／金額(万円),原材料使用額等／平成30年／構成比(％)
0,00,総数,119096804,100,344305,0.3,118752499,100,403046338,100,-17175354,-4.1,420221692,100
1,09,食料品,9949652,8.4,151055,1.5,9798597,8.3,43782212,10.9,1270857,3,42511355,10.1
1,10,飲料・飼料等,562973,0.5,17527,3.2,545446,0.5,5314640,1.3,-27956,-0.5,5342596,1.3
1,11,繊維工業,1249111,1,-10630,-0.8,1259741,1.1,2960791,0.7,99640,3.5,2861151,0.7
1,12,木材・木製品,230827,0.2,14464,6.7,216363,0.2,588997,0.1,10966,1.9,578031,0.1
1,13,家具・装備品,1627803,1.4,73092,4.7,1554711,1.3,7872262,2,-10356,-0.1,7882618,1.9
1,14,紙・紙加工品,2204094,1.9,59859,2.8,2144235,1.8,8259236,2,247445,3.1,8011791,1.9
1,15,印刷・同関連業,19565391,16.4,-119370,-0.6,19684761,16.6,33733623,8.4,-475032,-1.4,34208655,8.1
1,16,化学工業,6131614,5.1,33022,0.5,6098592,5.1,18497695,4.6,27897,0.2,18469798,4.4
1,17,石油・石炭,181427,0.2,-4495,-2.4,185922,0.2,1959201,0.5,-1216534,-38.3,3175735,0.8
1,18,プラスチック,3056407,2.6,-29109,-0.9,3085516,2.6,5571476,1.4,-352496,-6,5923972,1.4
1,19,ゴム製品,952488,0.8,10170,1.1,942318,0.8,1815459,0.5,-94622,-5,1910081,0.5
1,20,皮革・同製品,1132904,1,-4745,-0.4,1137649,1,3692010,0.9,-54076,-1.4,3746086,0.9
1,21,窯業・土石,2006113,1.7,100495,5.3,1905618,1.6,9683048,2.4,-935702,-8.8,10618750,2.5
1,22,鉄鋼業,1504220,1.3,-40275,-2.6,1544495,1.3,12339204,3.1,-1135266,-8.4,13474470,3.2
1,23,非鉄金属,1100793,0.9,-50488,-4.4,1151281,1,12221146,3,3762486,44.5,8458660,2
1,24,金属製品,7383224,6.2,105149,1.4,7278075,6.1,12201471,3,100805,0.8,12100666,2.9
1,25,はん用機械,3758829,3.2,5421,0.1,3753408,3.2,9710048,2.4,336223,3.6,9373825,2.2
1,26,生産用機械,8237593,6.9,-48644,-0.6,8286237,7,20360667,5.1,-2006239,-9,22366906,5.3
1,27,業務用機械,6812325,5.7,9560,0.1,6802765,5.7,15905315,3.9,-190003,-1.2,16095318,3.8
1,28,電子・デバイス,5131532,4.3,-155639,-2.9,5287171,4.5,19335557,4.8,-3252130,-14.4,22587687,5.4
1,29,電気機械,13652482,11.5,-182848,-1.3,13835330,11.7,43195542,10.7,-2658584,-5.8,45854126,10.9
1,30,情報通信機械,5485421,4.6,310612,6,5174809,4.4,26411864,6.6,-4184600,-13.7,30596464,7.3
1,31,輸送用機械,12793122,10.7,-27466,-0.2,12820588,10.8,74219164,18.4,-7941691,-9.7,82160855,19.6
1,32,その他,4386459,3.7,127588,3,4258871,3.6,13415710,3.3,1503614,12.6,11912096,2.8
,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,
付表4　産業中分類別現金給与総額及び原材料使用額等（従業者４人以上）,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,
