地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）／総数(人),従業者数（送出者を除く）／うち男(人),送出者（人）,個人業主及び無給家族従業者／総数(人),個人業主及び無給家族従業者／うち男(人),常用労働者／常用雇用者／正社員･正職員等／総数(人),常用労働者／常用雇用者／正社員･正職員等／うち男(人),常用労働者／常用雇用者／ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄ等／総数(人),常用労働者／常用雇用者／ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄ等／うち男(人),常用労働者／出向･派遣受入者／総数(人),常用労働者／出向･派遣受入者／うち男(人),臨時雇用者／総数(人),臨時雇用者／うち男(人),現金給与総額(万円),原材料使用額等／総額(万円),原材料使用額等／うち原材料使用額(万円),原材料使用額等／うち燃料使用額(万円),原材料使用額等／うち電力使用額(万円),原材料使用額等／うち委託生産費(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(万円),粗付加価値額(万円)
0,13000,東京都,0,00,総数,1353,155330,111514,2855,-,-,114720,93569,29789,11599,13676,8853,472,206,83239438,319425734,241846213,2062830,4403318,49537670,555699533,501687453,16678030,2322126,43454,34968470,210694259,221963353
0,13000,東京都,1,09,食料品製造業,173,23301,11563,50,-,-,9452,6862,12269,3975,1630,765,265,113,8096238,36500172,30208348,584389,687663,744214,61166852,56054277,94401,x,x,5017616,21624187,22995856
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,7,690,547,3,-,-,483,424,89,32,121,94,2,1,391002,4885750,4335246,89045,125899,7522,9484442,x,402563,x,x,x,1895417,2101847
0,13000,東京都,1,11,繊維工業,16,905,283,-,-,-,535,247,370,36,-,-,-,-,284063,587381,279229,2484,6575,198688,1055965,724837,203136,-,-,127992,416271,437155
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,2,99,83,-,-,-,95,80,-,-,4,3,1,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
0,13000,東京都,1,13,家具・装備品製造業,16,1729,1258,43,-,-,1421,1124,130,52,221,123,-,-,1026323,6762696,1870723,3803,12116,4586303,9436310,8993000,736,43281,-,399293,2771253,3038055
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,36,2240,1581,30,-,-,1825,1447,391,131,54,31,9,9,1070486,5729979,3279145,140195,150177,389646,8730267,6336263,284798,-,5760,2103446,2578172,2798779
0,13000,東京都,1,15,印刷・同関連業,270,26806,19134,605,-,-,21489,17003,3379,1532,2543,1070,39,9,13660210,21964336,7719861,137190,654486,11070562,50344274,40719070,8518919,1262,28045,1076978,24713912,26339616
0,13000,東京都,1,16,化学工業,63,8923,5384,158,-,-,7043,4787,1061,282,977,459,8,7,5401823,15940286,13408274,69726,218419,823889,33759781,31357420,323851,-,-,2078510,15700655,16837365
0,13000,東京都,1,17,石油製品・石炭製品製造業,2,103,93,-,-,-,100,91,3,2,-,-,-,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
0,13000,東京都,1,18,プラスチック製品製造業（別掲を除く）,44,2216,1390,6,-,-,1500,1172,640,175,82,49,6,-,1012049,1837454,1147785,15167,58926,291976,3877179,3300073,134899,x,1136,x,1731419,1898158
0,13000,東京都,1,19,ゴム製品製造業,11,697,555,1,-,-,555,471,119,63,24,22,-,-,357702,826057,640929,16300,27162,82349,1285992,1209642,1917,-,-,74433,347919,455808
0,13000,東京都,1,20,なめし革・同製品・毛皮製造業,18,1486,652,13,-,-,954,590,536,65,9,7,-,-,460394,1464467,853850,7855,6457,272970,2561600,2120860,50185,-,-,390555,1074993,1032532
0,13000,東京都,1,21,窯業・土石製品製造業,18,1511,1214,8,-,-,1290,1072,171,101,58,46,-,-,907663,2896302,1513572,258788,163628,166377,5278504,4353074,125120,-,99,800211,2051802,2286115
0,13000,東京都,1,22,鉄鋼業,15,1724,1572,6,-,-,1567,1433,98,85,65,59,1,1,1051512,9196646,7875168,220045,372663,440367,12245312,11735249,438827,-,-,71236,2555979,2960027
0,13000,東京都,1,23,非鉄金属製造業,16,1348,1000,1,-,-,1068,907,238,66,43,28,2,-,650256,8397593,8004428,31890,64437,170252,9854427,9557511,x,x,x,160355,1563168,1375852
0,13000,東京都,1,24,金属製品製造業,83,4773,3538,33,-,-,3901,3136,780,358,125,76,12,11,2277019,4182177,2277403,63696,158143,1469583,8955833,5900353,2782468,-,3940,269072,4051590,4442927
0,13000,東京都,1,25,はん用機械器具製造業,46,4437,3665,13,-,-,3677,3192,448,242,325,243,5,3,2454003,7480361,5064856,24774,115964,1945906,13190925,11761287,246023,781367,511,401737,5057896,5439143
0,13000,東京都,1,26,生産用機械器具製造業,103,7708,6261,142,-,-,6353,5478,943,457,554,430,4,3,4118660,12505285,7978906,53360,167902,2591357,22843808,19890896,366246,416645,42,2169979,9633810,10117722
0,13000,東京都,1,27,業務用機械器具製造業,91,8495,6356,196,-,-,7049,5784,1249,500,393,245,19,16,4804063,12778566,10078646,11950,90782,1283159,23302777,21019182,62917,396802,-,1823876,10110638,10159915
0,13000,東京都,1,28,電子部品・デバイス・電子回路製造業,52,7372,5389,373,-,-,5618,4692,1268,446,859,580,24,1,4276331,17949037,15055590,45018,308930,1361893,29525722,28428374,x,x,x,640383,9156871,11673519
