産業分類階層,産業コード,産業中分類,付加価値率／平成31年・令和元年(％),付加価値率／平成30年(％),付加価値率／増減(ポイント),原材料率／平成31年・令和元年(％),原材料率／平成30年(％),原材料率／増減(ポイント),在庫率／平成31年・令和元年(％),在庫率／平成30年(％),在庫率／増減(ポイント)
0,00,総数,38.6,40.3,-1.7,58.5,57.3,1.2,14.9,12.9,2
1,09,食料品,36.3,37.6,-1.3,61.2,60,1.2,2,1.9,0.1
1,10,飲料・飼料等,27.1,26.7,0.4,69.7,70,-0.3,2.5,2.3,0.2
1,11,繊維工業,40.7,40.4,0.3,57.4,57.8,-0.4,8.9,10.3,-1.4
1,12,木材・木製品,x,x,x,x,x,x,x,x,x
1,13,家具・装備品,28.4,24.1,4.3,69.2,75,-5.8,33.5,36.8,-3.3
1,14,紙・紙加工品,30.2,31.5,-1.3,67.1,65.7,1.4,5.6,5.5,0.1
1,15,印刷・同関連業,51.2,50.4,0.8,45.5,46.4,-0.9,3.5,3.6,-0.1
1,16,化学工業,46.9,47.9,-1,47.6,47.9,-0.3,11.2,9.1,2.1
1,17,石油・石炭,x,x,x,x,x,x,x,x,x
1,18,プラスチック,46.8,46.3,0.5,49.6,50.6,-1,6,6.7,-0.7
1,19,ゴム製品,27,20.8,6.2,64,68.8,-4.8,13.4,12.7,0.7
1,20,皮革・同製品,41.8,34.5,7.3,57,64.1,-7.1,21.1,18.1,3
1,21,窯業・土石,39.9,45.3,-5.4,56.3,51.2,5.1,9.6,8.8,0.8
1,22,鉄鋼業,21.1,22.6,-1.5,75.9,74.8,1.1,9,8.6,0.4
1,23,非鉄金属,15.6,22.3,-6.7,83.6,76.6,7,8.8,9.6,-0.8
1,24,金属製品,46.8,49.2,-2.4,48.3,47.5,0.8,8,7.5,0.5
1,25,はん用機械,39.4,42.7,-3.3,58.2,55.1,3.1,13.2,15,-1.8
1,26,生産用機械,42.2,42.2,0,54.7,55.1,-0.4,20.8,17.3,3.5
1,27,業務用機械,43.5,42.5,1,54.9,55.9,-1,17.6,16.1,1.5
1,28,電子・デバイス,31.1,31.1,0,60.9,61.7,-0.8,6.4,6.2,0.2
1,29,電気機械,41.8,39.5,2.3,56.5,58.9,-2.4,27.5,26.3,1.2
1,30,情報通信機械,39.1,44.1,-5,58.6,54.5,4.1,22.5,16.1,6.4
1,31,輸送用機械,35.8,40.6,-4.8,62.3,57.9,4.4,20.5,15.5,5
1,32,その他,36.9,38.8,-1.9,61.3,59.2,2.1,11.3,10.7,0.6
,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,
付表7　産業中分類別付加価値率、原材料率及び在庫率（従業者30人以上）,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,
