産業分類階層,産業コード,産業細分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,0000,総数,9887,245851,171979,3308,248811,174599,348,119096804,403046338,716075539,630529261,39682928,3245245,97866,42520239,281606971,292876065,149579915,19397702,2714242,15479685
1,0900,食料品製造業,681,29400,14673,53,29409,14684,44,9949652,43782212,72992771,66196223,632412,x,x,6142193,25834860,27206529,17504072,1594927,75796,1467769
2,0910,畜産食料品製造業,52,2343,1551,1,2344,1552,-,1001821,9700913,13889823,13424022,11619,-,536,453646,3617605,3916815,4614292,303345,12356,349091
3,0911,部分肉・冷凍肉製造業,16,599,381,-,599,381,-,244722,1885467,2509655,2077663,4890,-,-,427102,593205,578823,356157,11540,48,16449
3,0912,肉加工品製造業,14,335,212,-,335,212,-,104189,359906,623183,607742,597,-,-,14844,247680,244752,91543,11190,-,6285
3,0913,処理牛乳・乳飲料製造業,5,965,703,1,966,704,-,479234,6210318,9220067,9213153,-,-,-,6914,2541697,2821773,3801637,272970,8895,290196
3,0914,乳製品製造業（処理牛乳、乳飲料を除く）,6,232,174,-,232,174,-,119676,1075062,1249521,1242473,5567,-,536,945,126470,162914,364955,7645,3413,36161
3,0919,その他の畜産食料品製造業,11,212,81,-,212,81,-,54000,170160,287397,282991,565,-,-,3841,108553,108553,-,-,-,-
2,0920,水産食料品製造業,67,1593,781,-,1580,774,13,557549,3190584,4292858,3745660,63664,-,-,483534,929491,1027185,689998,103181,4987,95457
3,0921,水産缶詰・瓶詰製造業,1,5,3,-,5,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,0922,海藻加工業,18,202,87,-,202,87,-,61261,602832,751414,347186,6652,-,-,397576,137642,137642,-,-,-,-
3,0923,水産練製品製造業,4,745,390,-,745,390,-,x,x,x,x,-,-,-,14904,x,x,543561,100300,3209,87163
3,0924,塩干・塩蔵品製造業,11,76,23,-,63,16,13,9140,11865,24944,24645,86,-,-,213,12108,12108,-,-,-,-
3,0925,冷凍水産物製造業,6,94,66,-,94,66,-,45443,321911,386218,318220,-,-,-,67998,59576,59576,-,-,-,-
3,0926,冷凍水産食品製造業,5,98,54,-,98,54,-,30512,165966,228689,196667,32000,-,-,22,55516,57934,32650,-,1778,2314
3,0929,その他の水産食料品製造業,22,373,158,-,373,158,-,129701,592188,838469,810722,24926,-,-,2821,221039,228270,113787,2881,-,5980
2,0930,野菜缶詰・果実缶詰・農産保存食料品製造業,24,489,208,-,489,208,-,132373,906025,1179898,481533,x,x,-,685384,245646,254143,232230,4851,6087,8623
3,0931,野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）,7,146,81,-,146,81,-,44667,584280,680800,132694,x,x,-,547140,84913,89632,102224,741,-,4392
3,0932,野菜漬物製造業（缶詰、瓶詰、つぼ詰を除く）,17,343,127,-,343,127,-,87706,321745,499098,348839,12015,-,-,138244,160733,164511,130006,4110,6087,4231
2,0940,調味料製造業,25,907,491,1,907,491,1,344134,1564941,2524803,2218081,24273,-,-,282449,819616,897310,1055368,30663,1860,87685
3,0941,味そ製造業,3,29,18,-,28,17,1,x,x,x,x,235,-,-,x,x,x,x,x,-,x
3,0942,しょう油・食用アミノ酸製造業,1,17,6,-,17,6,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,0943,ソース製造業,6,347,181,-,347,181,-,108727,843285,1135092,1135092,-,-,-,-,205317,274469,520411,24440,1795,68980
3,0944,食酢製造業,1,54,46,-,54,46,-,x,x,x,x,-,-,-,x,x,x,x,x,-,x
3,0949,その他の調味料製造業,14,460,240,1,461,241,-,188277,616570,1154366,937472,24038,-,-,192856,493986,499819,236012,5525,65,15585
