産業分類階層,産業コード,産業小分類,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
0,000,総数,1353,522576074,18319518,20306200,53256854,55480763,21090577,22735059,55560178,94019737,1862636,17535066,4738937,7955157,4840972,480904,2233338,15479685,11946435,9896747,2049688,21447390
1,090,食料品製造業,173,56244778,780292,857794,219872,238470,1343774,1205013,6297315,11206757,123919,1471008,475715,863997,131296,725,75071,1467769,1091612,790063,301549,1896476
2,091,畜産食料品製造業,15,12476766,134634,169980,95715,110250,131871,120941,1745143,2869149,-,303345,35621,261570,6154,-,12356,349091,461902,299113,162789,466134
2,092,水産食料品製造業,5,2287367,17667,15772,4073,3731,217021,188954,87425,602573,-,103181,26311,67382,9488,510,4477,95457,-,-,-,103181
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,5,324318,5114,4814,1654,2080,31466,33274,130580,101650,-,4851,826,3207,818,-,6087,8623,-,-,-,4851
2,094,調味料製造業,5,1726931,37541,46671,4079,4940,109576,110403,291223,764145,-,30663,14075,15361,1227,-,1860,87685,58240,28397,29843,60506
2,095,糖類製造業,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,096,精穀・製粉業,5,3620528,103640,87142,12967,11630,352345,265319,90806,298556,-,27908,3548,22930,1430,-,6983,39557,26130,12756,13374,41282
2,097,パン・菓子製造業,61,15891795,91709,90567,16890,19513,133958,134844,1642467,2587672,108810,360774,69358,246029,45387,-,13955,374541,67653,11361,56292,525876
2,098,動植物油脂製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,099,その他の食料品製造業,73,16805494,174327,201461,45041,45986,188450,189506,1371784,3055916,13363,486358,233142,212480,40736,215,26875,381496,373355,310285,63070,562791
1,100,飲料・たばこ・飼料製造業,7,9502926,107032,128424,49881,46973,114486,117446,1653617,2334067,x,165530,79878,69646,16006,10012,6397,224914,172162,155892,16270,x
2,101,清涼飲料製造業,4,4190753,66814,81956,935,890,69150,65257,1474893,1367334,-,32285,9623,19858,2804,-,427,92370,29622,28820,802,33087
