産業分類階層,産業コード,産業小分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等／総額(万円),原材料使用額等／うち原材料使用額(万円),原材料使用額等／うち燃料使用額(万円),原材料使用額等／うち電力使用額(万円),原材料使用額等／うち委託生産費(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(万円),粗付加価値額(万円)
0,000,総数,1353,155330,111514,158185,114021,-,83239438,319425734,241846213,2062830,4403318,49537670,555699533,501687453,16678030,2322126,43454,34968470,210694259,221963353
1,090,食料品製造業,173,23301,11563,23351,11602,-,8096238,36500172,30208348,584389,687663,744214,61166852,56054277,94401,x,x,5017616,21624187,22995856
2,091,畜産食料品製造業,15,1867,1288,1868,1289,-,850671,8977066,8091002,134083,152776,3043,12828042,12421318,5567,-,536,400621,3304675,3603885
2,092,水産食料品製造業,5,833,411,833,411,-,300715,1667989,1567854,29139,34298,4872,2289604,2279000,10604,-,-,-,484345,582039
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,5,278,124,278,124,-,84980,780621,155856,2035,4279,7249,984264,323224,x,x,-,660072,180645,189142
2,094,調味料製造業,5,603,323,604,324,-,231721,1241809,1075639,5137,13729,28708,1893488,1700817,16123,-,-,176548,531180,608874
2,095,糖類製造業,1,76,64,82,70,-,x,x,x,x,x,x,x,x,x,-,x,-,x,x
2,096,精穀・製粉業,5,232,205,232,205,-,117547,3204285,3101581,2599,46445,-,3664009,3638317,46,-,22,25624,365526,422918
2,097,パン・菓子製造業,61,7851,4161,7852,4162,-,2948290,7741264,6242068,159242,183259,59684,17223981,15867621,22693,-,-,1333667,8441707,8814767
2,098,動植物油脂製造業,3,466,335,486,355,-,x,x,x,x,x,x,x,x,-,-,-,843347,x,x
2,099,その他の食料品製造業,73,11095,4652,11116,4662,-,3132922,10150119,8339159,146641,224885,472786,18355152,16759115,18300,-,-,1577737,7307397,7660814
1,100,飲料・たばこ・飼料製造業,7,690,547,693,550,-,391002,4885750,4335246,89045,125899,7522,9484442,x,402563,x,x,x,1895417,2101847
2,101,清涼飲料製造業,4,419,339,419,339,-,x,x,2926923,63565,76494,x,x,x,x,x,-,-,x,x
2,102,酒類製造業,3,271,208,274,211,-,x,x,1408323,25480,49405,x,x,x,x,-,x,x,x,x
1,110,繊維工業,16,905,283,905,283,-,284063,587381,279229,2484,6575,198688,1055965,724837,203136,-,-,127992,416271,437155
2,116,外衣・シャツ製造業（和式を除く）,4,198,44,198,44,-,63198,218656,114142,1724,1424,100444,398439,363240,35199,-,-,-,154408,166162
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,3,117,31,117,31,-,24524,43886,2646,299,227,40682,92227,-,88625,-,-,3602,45753,47720
2,119,その他の繊維製品製造業,9,590,208,590,208,-,196341,324839,162441,461,4924,57562,565299,361597,79312,-,-,124390,216110,223273
1,120,木材・木製品製造業（家具を除く）,2,99,83,99,83,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,122,造作材・合板・建築用組立材料製造業,2,99,83,99,83,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
1,130,家具・装備品製造業,16,1729,1258,1772,1299,-,1026323,6762696,1870723,3803,12116,4586303,9436310,8993000,736,43281,-,399293,2771253,3038055
2,131,家具製造業,10,1448,1062,1491,1103,-,895547,6451298,1816715,3060,8408,4356082,8763786,8375674,-,24845,-,363267,2436858,2703021
2,132,宗教用具製造業,1,52,39,52,39,-,x,x,x,x,x,x,x,x,-,x,-,x,x,x
2,139,その他の家具・装備品製造業,5,229,157,229,157,-,x,x,x,x,x,x,x,x,736,x,-,x,x,x
1,140,パルプ・紙・紙加工品製造業,36,2240,1581,2270,1609,-,1070486,5729979,3279145,140195,150177,389646,8730267,6336263,284798,-,5760,2103446,2578172,2798779
2,142,紙製造業,1,83,74,100,89,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
2,143,加工紙製造業,3,267,230,267,230,-,121913,539637,508881,15028,15728,-,929516,x,x,-,-,x,355947,360875
2,144,紙製品製造業,13,779,506,779,506,-,356548,1371066,857255,781,15185,165571,2095234,1656476,35691,-,-,403067,629483,667623
2,145,紙製容器製造業,14,901,616,905,620,-,439596,2974720,1405432,9215,32631,129956,4199423,2418655,138639,-,241,1641888,1043189,1139086
2,149,その他のパルプ・紙・紙加工品製造業,5,210,155,219,164,-,x,x,x,x,x,94119,x,x,x,-,5519,x,x,x
1,150,印刷・同関連業,270,26806,19134,27411,19605,-,13660210,21964336,7719861,137190,654486,11070562,50344274,40719070,8518919,1262,28045,1076978,24713912,26339616
2,151,印刷業,211,18607,13785,19114,14200,-,9492104,18399229,7168217,127716,547963,8455864,40249367,34382334,4835068,1262,17885,1012818,18980342,20264594
2,152,製版業,35,4769,3642,4867,3698,-,2798698,2504062,316091,3243,62362,1895065,6676494,6317800,292154,-,2519,64021,3722060,3888703
2,153,製本業、印刷物加工業,21,1204,832,1204,832,-,511029,545767,201377,6213,34683,291309,1480650,18936,1453934,-,7641,139,748571,871648
2,159,印刷関連サービス業,3,2226,875,2226,875,-,858379,515278,34176,18,9478,428324,1937763,-,1937763,-,-,-,1262939,1314671
1,160,化学工業,63,8923,5384,9081,5528,-,5401823,15940286,13408274,69726,218419,823889,33759781,31357420,323851,-,-,2078510,15700655,16837365
2,162,無機化学工業製品製造業,6,276,229,278,231,-,130642,740465,663949,5342,9759,37930,961250,920270,1796,-,-,39184,178816,218080
2,163,有機化学工業製品製造業,4,233,180,233,180,-,146164,155843,138899,413,7141,1772,615974,521488,84539,-,-,9947,389328,428634
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,10,788,601,918,723,-,493991,1637358,1435637,5379,27504,84578,3087534,2997064,364,-,-,90106,1266739,1364660
2,165,医薬品製造業,17,2449,1347,2456,1351,-,1415310,2922793,2301528,38837,108939,233347,8022999,7565889,175209,-,-,281901,4165129,4788545
2,166,化粧品・歯磨・その他の化粧用調整品製造業,15,4028,2164,4044,2177,-,2439068,6313379,4871649,3915,23398,366742,15267547,13672075,26790,-,-,1568682,8263457,8387860
2,169,その他の化学工業,11,1149,863,1152,866,-,776648,4170448,3996612,15840,41678,99520,5804477,5680634,35153,-,-,88690,1437186,1649586
1,170,石油製品・石炭製品製造業,2,103,93,103,93,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,103,93,103,93,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
1,180,プラスチック製品製造業（別掲を除く）,44,2216,1390,2222,1396,-,1012049,1837454,1147785,15167,58926,291976,3877179,3300073,134899,x,1136,x,1731419,1898158
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,7,411,270,414,273,-,166296,298851,203155,2768,10985,11952,691054,571693,27000,-,-,92361,296281,363313
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,2,103,48,103,48,-,x,x,x,x,x,x,x,x,-,x,-,x,x,x
2,183,工業用プラスチック製品製造業,14,675,443,678,446,-,352818,498182,296330,1977,19283,95168,1124662,881110,107899,-,-,135653,554253,586192
2,184,発泡・強化プラスチック製品製造業,3,217,150,217,150,-,95600,68458,38252,4756,5227,17748,166882,166882,-,-,-,-,79556,91330
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,81,64,81,64,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,189,その他のプラスチック製品製造業,16,729,415,729,415,-,314561,677317,443279,5046,19515,159213,1332921,1285625,-,-,1136,46160,563397,609497
1,190,ゴム製品製造業,11,697,555,698,556,-,357702,826057,640929,16300,27162,82349,1285992,1209642,1917,-,-,74433,347919,455808
2,191,タイヤ・チューブ製造業,1,229,224,230,225,-,x,x,x,x,x,-,x,x,-,-,-,x,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,32,17,32,17,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,7,324,248,324,248,-,x,x,317668,x,10974,68550,x,x,1917,-,-,x,x,x
2,199,その他のゴム製品製造業,2,112,66,112,66,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
1,200,なめし革・同製品・毛皮製造業,18,1486,652,1499,662,-,460394,1464467,853850,7855,6457,272970,2561600,2120860,50185,-,-,390555,1074993,1032532
2,204,革製履物製造業,7,379,273,379,273,-,124371,374597,282125,780,4044,56953,804319,782120,-,-,-,22199,394011,401000
2,206,かばん製造業,5,816,249,829,259,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
2,207,袋物製造業,4,209,96,209,96,-,96137,257581,121341,1833,553,37814,469631,361642,-,-,-,107989,198022,196464
2,209,その他のなめし革製品製造業,2,82,34,82,34,-,x,x,x,x,x,x,x,x,x,-,-,x,x,x
1,210,窯業・土石製品製造業,18,1511,1214,1519,1219,-,907663,2896302,1513572,258788,163628,166377,5278504,4353074,125120,-,99,800211,2051802,2286115
