産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,従業者数（送出者を除く）／総数(人),従業者数（送出者を除く）／うち男(人),送出者（人）,個人業主及び無給家族従業者／総数(人),個人業主及び無給家族従業者／うち男(人),常用労働者／常用雇用者／正社員･正職員等／総数(人),常用労働者／常用雇用者／正社員･正職員等／うち男(人),常用労働者／常用雇用者／ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄ等／総数(人),常用労働者／常用雇用者／ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄ等／うち男(人),常用労働者／出向･派遣受入者／総数(人),常用労働者／出向･派遣受入者／うち男(人),臨時雇用者／総数(人),臨時雇用者／うち男(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
0,00,総数,0,00,総数,9887,245851,171979,3308,348,253,184985,147323,49356,17851,14470,9425,1197,555,119096804,403046338,716075539,630529261,39682928,3245245,97866,42520239,281606971,292876065,149579915,19397702,2714242,15479685
0,00,総数,1,01,4～9人,4888,29519,19085,51,335,244,22978,16804,6146,1989,111,78,380,186,10445465,17786708,38290702,28714904,7875425,179051,10465,1510857,18913254,18913254,…,…,…,…
0,00,総数,1,02,10～19人,2542,34266,23093,158,13,9,26496,20518,7560,2438,355,273,192,100,13827687,32330927,62297060,49906289,9042359,351585,9567,2987260,27678343,27678343,…,…,…,…
0,00,総数,1,03,20～29人,1104,26736,18287,244,-,-,20791,16432,5861,1825,328,221,153,63,11584214,33502969,59788244,50220615,6087114,392483,34380,3053652,24321115,24321115,…,…,…,…
0,00,総数,1,04,30～49人,608,23600,16444,139,-,-,18503,14726,4688,1454,548,389,71,19,10820844,26713950,51244334,43881853,3634749,280182,6719,3440831,21835499,22923917,20164236,2155534,409124,1270465
0,00,総数,1,05,50～99人,449,30651,21236,249,-,-,23297,18565,6472,2196,1131,692,79,33,14218843,43246674,78544308,65927815,6354002,844305,23608,5394578,31267028,33055386,30782960,2623270,541590,1958269
0,00,総数,1,06,100～199人,184,24828,17255,287,-,-,18094,14616,5651,1960,1370,887,93,50,12060382,41424133,74691009,65332494,3688353,840270,10608,4819284,27528421,29250962,25595231,3003352,620860,2077239
0,00,総数,1,07,200～299人,37,9160,6541,131,-,-,6374,5219,2327,1048,590,396,-,-,4882455,19302172,30267476,27620170,x,120329,x,2447990,9863533,10424872,7136395,1116702,174580,738835
0,00,総数,1,08,300～499人,32,12005,7782,136,-,-,7547,6017,3582,1308,1012,585,34,14,6040354,25254239,39312604,37419982,x,81276,x,994133,12616291,13450308,16028912,1176714,279157,1297125
0,00,総数,1,09,500～999人,24,15727,10631,495,-,-,9443,7742,4424,1882,2355,1435,4,2,8315974,30598269,49855291,46843244,x,x,x,2507365,16558817,19048532,19133063,1785523,122911,2548331
0,00,総数,1,10,1000人以上,19,39359,31625,1418,-,-,31462,26684,2645,1751,6670,4469,191,88,26900586,132886297,231784511,214661895,x,x,-,15364289,91024670,93809376,30739118,7536607,566020,5589421
1,09,食料品製造業,0,00,総数,681,29400,14673,53,44,30,12842,9283,14898,4620,1669,781,343,137,9949652,43782212,72992771,66196223,632412,x,x,6142193,25834860,27206529,17504072,1594927,75796,1467769
1,09,食料品製造業,1,01,4～9人,258,1603,823,2,43,29,973,650,586,142,3,3,50,19,416595,1114900,2028705,1662152,201378,-,-,165175,846446,846446,…,…,…,…
1,09,食料品製造業,1,02,10～19人,150,2014,1035,1,1,1,1103,823,893,205,18,7,28,5,628896,1768719,3296252,2922706,93903,-,-,279643,1417019,1417019,…,…,…,…
1,09,食料品製造業,1,03,20～29人,100,2482,1252,-,-,-,1314,948,1150,298,18,6,-,-,807923,4398421,6500962,5557088,242730,-,21385,679759,1947208,1947208,…,…,…,…
1,09,食料品製造業,1,04,30～49人,56,2138,1059,2,-,-,1057,779,1004,230,79,52,-,-,750308,2362464,3931301,3571690,58121,-,-,301490,1383460,1458738,1321424,75032,7025,80059
1,09,食料品製造業,1,05,50～99人,55,3905,1916,17,-,-,1937,1360,1806,474,179,90,31,5,1374174,7868759,12229675,11066957,36280,-,22,1126416,3801589,4059697,4594659,302487,29623,289183
1,09,食料品製造業,1,06,100～199人,32,4270,2111,1,-,-,1820,1332,2231,649,220,131,12,8,1341496,5592258,9759673,8768946,-,-,536,990191,3736779,3886272,2494044,220919,8147,196847
1,09,食料品製造業,1,07,200～299人,9,2204,1081,1,-,-,675,475,1395,563,135,44,-,-,728649,2869116,5475328,5468821,-,-,-,6507,2295670,2419431,1238925,44333,2163,123391
1,09,食料品製造業,1,08,300～499人,12,4531,2018,24,-,-,1497,1026,2635,805,423,211,34,14,1398073,5518964,9003320,8185121,-,-,-,818199,3065056,3240258,1649345,158414,9683,179295
1,09,食料品製造業,1,09,500～999人,8,4877,2361,5,-,-,1411,1083,2877,1044,594,237,-,-,x,x,x,x,-,-,x,x,x,x,x,x,x,x
1,09,食料品製造業,1,10,1000人以上,1,1376,1017,-,-,-,1055,807,321,210,-,-,188,86,x,x,x,x,-,x,-,x,x,x,x,x,x,x
1,10,飲料・たばこ・飼料製造業,0,00,総数,40,1175,867,3,2,2,820,691,229,77,127,100,4,3,562973,5314640,10319286,9870042,429565,x,x,18859,2247829,2454259,3987684,165530,16409,224914
1,10,飲料・たばこ・飼料製造業,1,01,4～9人,14,98,65,-,1,1,65,48,32,16,-,-,2,2,x,x,x,x,x,-,-,x,x,x,…,…,…,…
1,10,飲料・たばこ・飼料製造業,1,02,10～19人,9,138,89,-,1,1,99,73,38,15,-,-,-,-,48826,78761,208731,201587,7130,-,-,14,114375,114375,…,…,…,…
1,10,飲料・たばこ・飼料製造業,1,03,20～29人,10,249,166,-,-,-,173,146,70,14,6,6,-,-,99237,286411,493511,474660,15170,-,820,2861,185463,185463,…,…,…,…
1,10,飲料・たばこ・飼料製造業,1,04,30～49人,1,30,19,-,-,-,19,17,11,2,-,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,10,飲料・たばこ・飼料製造業,1,05,50～99人,3,193,124,3,-,-,89,76,71,23,36,28,-,-,98908,291415,838110,838110,-,-,-,-,485265,493561,x,x,x,x
1,10,飲料・たばこ・飼料製造業,1,06,100～199人,3,467,404,-,-,-,375,331,7,7,85,66,2,1,283408,4588855,8618781,8216496,402285,-,-,-,1395666,1592946,3639932,155550,6173,213514
1,11,繊維工業,0,00,総数,365,4148,1593,17,43,27,2695,1382,1421,186,6,2,22,5,1249111,2960791,5447129,3429365,1411229,11222,-,595313,2287312,2308196,478914,66670,208,19618
1,11,繊維工業,1,01,4～9人,232,1332,598,17,41,27,886,510,421,64,1,1,16,2,332578,630138,1294814,796078,409584,829,-,88323,614138,614138,…,…,…,…
1,11,繊維工業,1,02,10～19人,84,1112,404,-,2,-,704,352,401,51,5,1,5,3,326931,909659,1646570,832805,486475,1250,-,326040,680049,680049,…,…,…,…
1,11,繊維工業,1,03,20～29人,33,799,308,-,-,-,570,273,229,35,-,-,1,-,305539,833613,1449780,x,312034,x,-,52958,576854,576854,…,…,…,…
1,11,繊維工業,1,04,30～49人,9,340,88,-,-,-,202,82,138,6,-,-,-,-,107564,309566,557730,335591,94658,-,-,127481,218119,233545,213856,63367,113,9568
1,11,繊維工業,1,05,50～99人,5,314,104,-,-,-,191,93,123,11,-,-,-,-,x,x,x,x,108478,-,-,511,x,x,x,x,x,x
1,11,繊維工業,1,06,100～199人,2,251,91,-,-,-,142,72,109,19,-,-,-,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
1,12,木材・木製品製造業（家具を除く）,0,00,総数,55,555,429,3,3,3,447,359,102,64,6,5,2,1,230827,588997,1076579,986457,x,x,-,32993,423270,457277,x,x,x,x
1,12,木材・木製品製造業（家具を除く）,1,01,4～9人,35,204,146,3,3,3,172,127,31,17,1,1,1,1,77361,116064,246412,210764,13538,-,-,22110,120223,120223,…,…,…,…
1,12,木材・木製品製造業（家具を除く）,1,02,10～19人,17,225,185,-,-,-,175,149,49,35,1,1,-,-,91826,185282,358623,304149,43591,-,-,10883,159907,159907,…,…,…,…
1,12,木材・木製品製造業（家具を除く）,1,03,20～29人,1,27,15,-,-,-,5,3,22,12,-,-,-,-,x,x,x,x,-,x,-,-,x,x,…,…,…,…
1,12,木材・木製品製造業（家具を除く）,1,04,30～49人,1,45,37,-,-,-,42,35,-,-,3,2,-,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
1,12,木材・木製品製造業（家具を除く）,1,05,50～99人,1,54,46,-,-,-,53,45,-,-,1,1,1,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
1,13,家具・装備品製造業,0,00,総数,202,3236,2346,44,18,12,2706,2121,332,131,224,124,17,14,1627803,7872262,11801718,11047653,208268,50479,258,495060,3929360,4196162,1591783,133316,66458,236371
1,13,家具・装備品製造業,1,01,4～9人,138,840,595,-,18,12,733,553,89,30,-,-,15,13,301605,486991,1079139,921761,122308,5619,1,29450,546403,546403,…,…,…,…
1,13,家具・装備品製造業,1,02,10～19人,44,570,429,1,-,-,479,381,91,48,1,1,1,1,252190,500081,990892,950291,21243,1579,257,17522,452365,452365,…,…,…,…
1,13,家具・装備品製造業,1,03,20～29人,4,97,64,-,-,-,73,63,22,1,2,-,1,-,x,x,x,x,63981,x,-,x,x,x,…,…,…,…
1,13,家具・装備品製造業,1,04,30～49人,9,345,249,-,-,-,312,230,32,18,1,1,-,-,153466,545994,961324,848641,736,-,-,111947,365182,385210,485674,19769,46935,36566
1,13,家具・装備品製造業,1,05,50～99人,5,336,248,-,-,-,302,231,25,12,9,5,-,-,172866,564271,898263,689726,-,18436,-,190101,262328,311398,x,x,x,x
1,13,家具・装備品製造業,1,06,100～199人,1,126,84,6,-,-,115,82,12,6,5,2,-,-,x,x,x,x,-,x,-,x,x,x,x,x,x,x
1,13,家具・装備品製造業,1,09,500～999人,1,922,677,37,-,-,692,581,61,16,206,115,-,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
1,14,パルプ・紙・紙加工品製造業,0,00,総数,371,5635,3684,30,21,14,4303,3315,1269,346,72,37,61,18,2204094,8259236,13743655,10131440,1266933,-,6765,2338517,4868260,5088867,x,234379,36107,x
1,14,パルプ・紙・紙加工品製造業,1,01,4～9人,200,1223,726,-,19,12,874,630,329,84,1,-,36,8,360882,615318,1298312,959283,296703,-,222,42104,629818,629818,…,…,…,…
