従業者規模,現金給与総額／平成31年・令和元年／金額(万円),現金給与総額／平成31年・令和元年／構成比(％),現金給与総額／平成31年・令和元年／増減額(万円),現金給与総額／平成31年・令和元年／増減率(％),現金給与総額／平成30年／金額(万円),現金給与総額／平成30年／構成比(％),原材料使用額等／平成31年・令和元年／金額(万円),原材料使用額等／平成31年・令和元年／構成比(％),原材料使用額等／平成31年・令和元年／増減額(万円),原材料使用額等／平成31年・令和元年／増減率(％),原材料使用額等／平成30年／金額(万円),原材料使用額等／平成30年／構成比(％)
総数,119096804,100,344305,0.3,118752499,100,403046338,100,-17175354,-4.1,420221692,100
4～9人,10445465,8.8,332361,3.3,10113104,8.5,17786708,4.4,789575,4.6,16997133,4
10～19人,13827687,11.6,130626,1,13697061,11.5,32330927,8,-3622473,-10.1,35953400,8.6
20～29人,11584214,9.7,28736,0.2,11555478,9.7,33502969,8.3,2209954,7.1,31293015,7.4
30～49人,10820844,9.1,-271452,-2.4,11092296,9.3,26713950,6.6,-2452373,-8.4,29166323,6.9
50～99人,14218843,11.9,226371,1.6,13992472,11.8,43246674,10.7,-229357,-0.5,43476031,10.3
100～199人,12060382,10.1,-602077,-4.8,12662459,10.7,41424133,10.3,47365,0.1,41376768,9.8
200～299人,4882455,4.1,-18870,-0.4,4901325,4.1,19302172,4.8,-455349,-2.3,19757521,4.7
300～499人,6040354,5.1,-383479,-6,6423833,5.4,25254239,6.3,1329773,5.6,23924466,5.7
500～999人,8315974,7,222729,2.8,8093245,6.8,30598269,7.6,-1263412,-4,31861681,7.6
1000人以上,26900586,22.6,679360,2.6,26221226,22.1,132886297,33,-13529057,-9.2,146415354,34.8
,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,
付表5　従業者規模別現金給与総額及び原材料使用額等（従業者４人以上）,,,,,,,,,,,,
