産業分類階層,産業コード,産業中分類,事業所数／平成31年・令和元年／実数,事業所数／平成31年・令和元年／構成比(％),事業所数／平成31年・令和元年／増減数,事業所数／平成31年・令和元年／増減率(％),事業所数／平成30年／実数,事業所数／平成30年／構成比(％),従業者数(送出者を除く)／平成31年・令和元年／実数(人),従業者数(送出者を除く)／平成31年・令和元年／構成比(％),従業者数(送出者を除く)／平成31年・令和元年／増減数(人),従業者数(送出者を除く)／平成31年・令和元年／増減率(％),従業者数(送出者を除く)／平成30年／実数(人),従業者数(送出者を除く)／平成30年／構成比(％),製造品出荷額等／平成31年・令和元年／金額(万円),製造品出荷額等／平成31年・令和元年／構成比(％),製造品出荷額等／平成31年・令和元年／増減額(万円),製造品出荷額等／平成31年・令和元年／増減率(％),製造品出荷額等／平成30年／金額(万円),製造品出荷額等／平成30年／構成比(％),付加価値額注／平成31年・令和元年／金額(万円),付加価値額注／平成31年・令和元年／構成比(％),付加価値額注／平成31年・令和元年／増減額(万円),付加価値額注／平成31年・令和元年／増減率(％),付加価値額注／平成30年／金額(万円),付加価値額注／平成30年／構成比(％)
0,00,総数,9887,100,17,0.2,9870,100,245851,100,-1044,-0.4,246895,100,716075539,100,-41691408,-5.5,757766947,100,281606971,100,-25822085,-8.4,307429056,100
1,09,食料品,681,6.9,4,0.6,677,6.9,29400,12,-724,-2.4,30124,12.2,72992771,10.2,345452,0.5,72647319,9.6,25834860,9.2,-867164,-3.2,26702024,8.7
1,10,飲料・飼料等,40,0.4,3,8.1,37,0.4,1175,0.5,59,5.3,1116,0.5,10319286,1.4,-74402,-0.7,10393688,1.4,2247829,0.8,53889,2.5,2193940,0.7
1,11,繊維工業,365,3.7,2,0.6,363,3.7,4148,1.7,-58,-1.4,4206,1.7,5447129,0.8,175951,3.3,5271178,0.7,2287312,0.8,65501,2.9,2221811,0.7
1,12,木材・木製品,55,0.6,8,17,47,0.5,555,0.2,-2,-0.4,557,0.2,1076579,0.2,12427,1.2,1064152,0.1,423270,0.2,-42767,-9.2,466037,0.2
1,13,家具・装備品,202,2,1,0.5,201,2,3236,1.3,96,3.1,3140,1.3,11801718,1.6,1211019,11.4,10590699,1.4,3929360,1.4,611853,18.4,3317507,1.1
1,14,紙・紙加工品,371,3.8,-4,-1.1,375,3.8,5635,2.3,-1,-0.02,5636,2.3,13743655,1.9,384236,2.9,13359419,1.8,4868260,1.7,113310,2.4,4754950,1.5
1,15,印刷・同関連業,1698,17.2,-1,-0.1,1699,17.2,41599,16.9,294,0.7,41305,16.7,74249300,10.4,68707,0.1,74180593,9.8,35903949,12.7,280431,0.8,35623518,11.6
1,16,化学工業,199,2,5,2.6,194,2,10713,4.4,-89,-0.8,10802,4.4,38297039,5.3,-89202,-0.2,38386241,5.1,17528856,6.2,-326103,-1.8,17854959,5.8
1,17,石油・石炭,16,0.2,0,0,16,0.2,318,0.1,4,1.3,314,0.1,2994518,0.4,-1194870,-28.5,4189388,0.6,955250,0.3,19166,2,936084,0.3
1,18,プラスチック,578,5.8,2,0.3,576,5.8,7779,3.2,-182,-2.3,7961,3.2,11894736,1.7,-551226,-4.4,12445962,1.6,5681257,2,-278080,-4.7,5959337,1.9
1,19,ゴム製品,184,1.9,0,0,184,1.9,2470,1,14,0.6,2456,1,3414440,0.5,-61779,-1.8,3476219,0.5,1399295,0.5,92620,7.1,1306675,0.4
1,20,皮革・同製品,208,2.1,-11,-5,219,2.2,3376,1.4,-31,-0.9,3407,1.4,6137543,0.9,160267,2.7,5977276,0.8,2318268,0.8,267308,13,2050960,0.7
1,21,窯業・土石,181,1.8,-6,-3.2,187,1.9,3643,1.5,-59,-1.6,3702,1.5,15957274,2.2,-2032060,-11.3,17989334,2.4,5642595,2,-1076774,-16,6719369,2.2
1,22,鉄鋼業,102,1,0,0,102,1,2681,1.1,-66,-2.4,2747,1.1,16461995,2.3,-1553280,-8.6,18015275,2.4,3549588,1.3,-468787,-11.7,4018375,1.3
1,23,非鉄金属,118,1.2,-4,-3.3,122,1.2,2461,1,-61,-2.4,2522,1,14635261,2,3299071,29.1,11336190,1.5,2447281,0.9,-186253,-7.1,2633534,0.9
1,24,金属製品,1392,14.1,21,1.5,1371,13.9,17552,7.1,29,0.2,17523,7.1,27244632,3.8,-676,-0.002,27245308,3.6,13521571,4.8,-217170,-1.6,13738741,4.5
1,25,はん用機械,336,3.4,13,4,323,3.3,7392,3,-48,-0.6,7440,3,18120550,2.5,86619,0.5,18033931,2.4,7551978,2.7,-479908,-6,8031886,2.6
1,26,生産用機械,943,9.5,-6,-0.6,949,9.6,16754,6.8,-317,-1.9,17071,6.9,39130753,5.5,-3332283,-7.8,42463036,5.6,17447046,6.2,-1731741,-9,19178787,6.2
1,27,業務用機械,488,4.9,-7,-1.4,495,5,13083,5.3,198,1.5,12885,5.2,30401621,4.2,-73406,-0.2,30475027,4,13801519,4.9,244928,1.8,13556591,4.4
1,28,電子・デバイス,246,2.5,-10,-3.9,256,2.6,9760,4,17,0.2,9743,3.9,32547606,4.5,-4558663,-12.3,37106269,4.9,10668801,3.8,-1662817,-13.5,12331618,4
1,29,電気機械,570,5.8,-1,-0.2,571,5.8,23903,9.7,40,0.2,23863,9.7,77400301,10.8,-1007208,-1.3,78407509,10.3,32979803,11.7,1069261,3.4,31910542,10.4
1,30,情報通信機械,113,1.1,8,7.6,105,1.1,8092,3.3,443,5.8,7649,3.1,47766683,6.7,-7281966,-13.2,55048649,7.3,18029786,6.4,-6972249,-27.9,25002035,8.1
1,31,輸送用機械,267,2.7,2,0.8,265,2.7,20539,8.4,-801,-3.8,21340,8.6,120874578,16.9,-27320689,-18.4,148195267,19.6,43426931,15.4,-14783684,-25.4,58210615,18.9
1,32,その他,534,5.4,-2,-0.4,536,5.4,9587,3.9,201,2.1,9386,3.8,23165571,3.2,1696553,7.9,21469018,2.8,9162306,3.3,453145,5.2,8709161,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,
付表1　産業中分類別事業所数、従業者数、製造品出荷額等及び付加価値額（従業者４人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,
注）従業者数29人以下は粗付加価値額。,,,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,,,,,,,,,,,,,
