産業分類階層,産業コード,産業中分類,在庫額／年初(万円),在庫額／年末／金額(万円),在庫額／年末／構成比(％),在庫額／年末／年初比(％),製造品在庫額／年初(万円),製造品在庫額／年末(万円),半製品・仕掛品在庫額／年初(万円),半製品・仕掛品在庫額／年末(万円)
0,00,総数,71576372,75786963,100,105.9,18319518,20306200,53256854,55480763
1,09,食料品,1000164,1096264,1.4,109.6,780292,857794,219872,238470
1,10,飲料・飼料等,156913,175397,0.2,111.8,107032,128424,49881,46973
1,11,繊維工業,81318,80052,0.1,98.4,42738,47587,38580,32465
1,12,木材・木製品,x,x,x,x,x,x,x,x
1,13,家具・装備品,3150999,3120568,4.1,99,347012,233277,2803987,2887291
1,14,紙・紙加工品,351571,361455,0.5,102.8,292272,300593,59299,60862
1,15,印刷・同関連業,1674980,1643552,2.2,98.1,480786,494195,1194194,1149357
1,16,化学工業,2795985,3517873,4.6,125.8,1342992,1590283,1452993,1927590
1,17,石油・石炭,x,x,x,x,x,x,x,x
1,18,プラスチック,228816,195522,0.3,85.4,144289,107993,84527,87529
1,19,ゴム製品,153576,162484,0.2,105.8,102652,113805,50924,48679
1,20,皮革・同製品,385777,459073,0.6,119,261132,292492,124645,166581
1,21,窯業・土石,450683,416914,0.6,92.5,324042,338549,126641,78365
1,22,鉄鋼業,1121330,1089320,1.4,97.1,453748,464018,667582,625302
1,23,非鉄金属,596594,868603,1.1,145.6,358500,436605,238094,431998
1,24,金属製品,637317,670205,0.9,105.2,338381,353840,298936,316365
1,25,はん用機械,1610433,1535471,2,95.3,272944,253772,1337489,1281699
1,26,生産用機械,3998701,4224164,5.6,105.6,686520,652068,3312181,3572096
1,27,業務用機械,3387034,3703974,4.9,109.4,1600989,1813475,1786045,1890499
1,28,電子・デバイス,2009781,1840657,2.4,91.6,935513,694851,1074268,1145806
1,29,電気機械,15815361,17077021,22.5,108,3086069,3875121,12729292,13201900
1,30,情報通信機械,9297204,8373047,11,90.1,792900,644446,8504304,7728601
1,31,輸送用機械,21481264,23703809,31.3,110.3,4878055,5832956,16603209,17870853
1,32,その他,1117454,1397438,1.8,125.1,627755,717739,489699,679699
,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,
付表6　産業中分類別在庫額（従業者30人以上）,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,
