産業分類階層,産業コード,産業小分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円)
0,000,総数,8534,90521,60465,90626,60578,348,35857366,83620604,160376006,128841808,23004898,923119,54412,7551769,70912712,70912712
1,090,食料品製造業,508,6099,3110,6058,3082,44,1853414,7282040,11825919,10141946,538011,-,21385,1124577,4210673,4210673
2,091,畜産食料品製造業,37,476,263,476,263,-,151150,723847,1061781,1002704,6052,-,-,53025,312930,312930
2,092,水産食料品製造業,62,760,370,747,363,13,256834,1522595,2003254,1466660,53060,-,-,483534,445146,445146
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,19,211,84,211,84,-,47393,125404,195634,158309,12013,-,-,25312,65001,65001
2,094,調味料製造業,20,304,168,303,167,1,112413,323132,631315,517264,8150,-,-,105901,288436,288436
2,095,糖類製造業,3,37,24,37,24,-,x,x,x,x,x,-,-,-,x,x
2,096,精穀・製粉業,13,178,131,179,132,-,74899,1451992,1755110,1644912,79328,-,-,30870,280688,280688
2,097,パン・菓子製造業,145,1854,795,1834,783,20,496271,784122,1860303,1661141,110868,-,-,88294,996746,996746
2,098,動植物油脂製造業,13,136,112,138,113,-,x,x,x,x,x,-,21385,23802,x,x
2,099,その他の食料品製造業,196,2143,1163,2133,1153,10,637296,1867300,3623918,3215117,94962,-,-,313839,1627224,1627224
1,100,飲料・たばこ・飼料製造業,33,485,320,483,318,2,171971,428890,834844,x,27002,x,820,x,352412,352412
2,101,清涼飲料製造業,6,60,46,59,45,1,x,x,x,x,7770,x,-,-,x,x
2,102,酒類製造業,8,94,62,93,61,1,27778,25329,106617,93633,-,-,-,12984,51918,51918
2,103,茶・コーヒー製造業（清涼飲料を除く）,9,122,64,122,64,-,34840,254125,365278,343108,19170,-,-,3000,102885,102885
2,104,製氷業,2,47,47,47,47,-,x,x,x,x,-,-,-,x,x,x
2,106,飼料・有機質肥料製造業,8,162,101,162,101,-,66561,104342,209063,206745,62,-,820,1436,96996,96996
