地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円)
0,13000,東京都,0,00,総数,8534,90521,60465,453,90626,60578,348,35857366,83620604,160376006,128841808,23004898,923119,54412,7551769,70912712,70912712
0,13000,東京都,1,09,食料品製造業,508,6099,3110,3,6058,3082,44,1853414,7282040,11825919,10141946,538011,-,21385,1124577,4210673,4210673
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,33,485,320,-,483,318,2,171971,428890,834844,x,27002,x,820,x,352412,352412
0,13000,東京都,1,11,繊維工業,349,3243,1310,17,3217,1287,43,965048,2373410,4391164,2704528,1208093,11222,-,467321,1871041,1871041
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,53,456,346,3,456,345,3,x,x,x,x,x,x,-,x,x,x
0,13000,東京都,1,13,家具・装備品製造業,186,1507,1088,1,1490,1077,18,601480,1109566,2365408,2054653,207532,7198,258,95767,1158107,1158107
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,335,3395,2103,-,3374,2089,21,1133608,2529257,5013388,3795177,982135,-,1005,235071,2290088,2290088
0,13000,東京都,1,15,印刷・同関連業,1428,14793,10338,183,14948,10453,28,5905181,11769287,23905026,17565469,5940017,174,5957,393409,11190037,11190037
0,13000,東京都,1,16,化学工業,136,1790,1093,8,1796,1098,2,729791,2557409,4537258,3865306,147500,34,-,524418,1828201,1828201
0,13000,東京都,1,17,石油製品・石炭製品製造業,14,215,165,-,215,165,-,x,x,x,x,x,-,-,x,x,x
0,13000,東京都,1,18,プラスチック製品製造業（別掲を除く）,534,5563,3303,4,5553,3296,14,2044358,3734022,8017557,6396014,1230723,x,1388,x,3949838,3949838
0,13000,東京都,1,19,ゴム製品製造業,173,1773,1071,1,1757,1059,17,594786,989402,2128448,1839479,226252,-,1456,61261,1051376,1051376
0,13000,東京都,1,20,なめし革・同製品・毛皮製造業,190,1890,1152,9,1882,1148,17,672510,2227543,3575943,3351001,150178,3469,1261,70034,1243275,1243275
0,13000,東京都,1,21,窯業・土石製品製造業,163,2132,1689,8,2133,1691,7,1098450,6786746,10678770,10125723,153728,2240,-,397079,3590793,3590793
0,13000,東京都,1,22,鉄鋼業,87,957,763,-,956,762,1,452708,3142558,4216683,3673048,333353,-,6713,203569,993609,993609
0,13000,東京都,1,23,非鉄金属製造業,102,1113,752,2,1110,749,5,450537,3823553,4780834,4132544,x,x,13,295761,884113,884113
0,13000,東京都,1,24,金属製品製造業,1309,12779,9137,14,12742,9115,51,5106205,8019294,18288799,12321976,5290517,30731,9038,636537,9469981,9469981
0,13000,東京都,1,25,はん用機械器具製造業,290,2955,2224,2,2951,2221,6,1304826,2229687,4929625,3777283,669861,259876,1467,221138,2494082,2494082
0,13000,東京都,1,26,生産用機械器具製造業,840,9046,6969,12,9041,6965,17,4118933,7855382,16286945,13905773,1649345,296958,409,434460,7813236,7813236
0,13000,東京都,1,27,業務用機械器具製造業,397,4588,3217,10,4585,3214,13,2008262,3126749,7098844,6087138,431208,138585,24,441889,3690881,3690881
0,13000,東京都,1,28,電子部品・デバイス・電子回路製造業,194,2388,1390,25,2408,1405,5,855201,1386520,3021884,2341006,612138,3213,1300,64227,1511930,1511930
0,13000,東京都,1,29,電気機械器具製造業,454,5229,3558,86,5309,3631,6,2175324,3981578,8285416,6752611,871812,112689,1378,546926,3990451,3990451
0,13000,東京都,1,30,情報通信機械器具製造業,80,1110,741,53,1161,790,2,487981,940946,2054203,1761701,194081,14362,-,84059,1032396,1032396
0,13000,東京都,1,31,輸送用機械器具製造業,203,2299,1698,5,2300,1700,4,928693,1457604,3231789,2299156,838039,16646,84,77864,1637073,1637073
0,13000,東京都,1,32,その他の製造業,476,4716,2928,7,4701,2918,22,1899710,4157927,8035375,x,870142,x,456,427789,3588164,3588164
1,13100,区部,0,00,総数,6644,67841,45506,262,67834,45516,269,26988567,63548044,120634065,96696519,17922583,644997,51639,5318327,52741060,52741060
1,13100,区部,1,09,食料品製造業,367,4365,2317,-,4345,2303,20,1409716,5368343,8805897,7889273,314058,-,21385,581181,3186547,3186547
1,13100,区部,1,10,飲料・たばこ・飼料製造業,16,250,202,-,249,201,1,x,x,x,x,x,-,x,x,x,x
1,13100,区部,1,11,繊維工業,308,2843,1190,17,2818,1168,42,846227,2208394,4026458,2431323,1146751,11222,-,437162,1686359,1686359
1,13100,区部,1,12,木材・木製品製造業（家具を除く）,40,340,251,3,341,251,2,x,x,x,x,x,x,-,x,x,x
1,13100,区部,1,13,家具・装備品製造業,142,1114,799,1,1100,790,15,436765,812323,1677633,1493250,131704,7198,1,45480,798166,798166
1,13100,区部,1,14,パルプ・紙・紙加工品製造業,300,2937,1818,-,2917,1805,20,994319,2129367,4346573,3260519,913700,-,846,171508,2044064,2044064
1,13100,区部,1,15,印刷・同関連業,1305,13540,9599,170,13684,9711,26,5441713,10896148,21960292,16080627,5539220,174,5584,334687,10202287,10202287
1,13100,区部,1,16,化学工業,111,1458,926,8,1465,932,1,605348,1998749,3605625,3021387,101697,34,-,482507,1481947,1481947
1,13100,区部,1,17,石油製品・石炭製品製造業,6,97,73,-,97,73,-,x,x,x,x,x,-,-,x,x,x
1,13100,区部,1,18,プラスチック製品製造業（別掲を除く）,412,4105,2427,4,4097,2421,12,1507940,2707791,5764315,4445178,1024683,-,1388,293066,2818246,2818246
1,13100,区部,1,19,ゴム製品製造業,167,1687,1042,-,1670,1029,17,x,x,x,x,x,-,x,x,x,x
1,13100,区部,1,20,なめし革・同製品・毛皮製造業,189,1881,1147,9,1873,1143,17,x,x,x,x,x,x,x,x,x,x
1,13100,区部,1,21,窯業・土石製品製造業,106,1312,999,7,1314,1001,5,697472,4930297,7376020,7119619,105262,2240,-,148899,2257495,2257495
1,13100,区部,1,22,鉄鋼業,68,714,568,-,713,567,1,340920,2059702,2759801,2330254,267740,-,6713,155094,648545,648545
1,13100,区部,1,23,非鉄金属製造業,78,837,577,2,835,575,4,351138,3224615,4003864,3549285,278834,-,13,175732,720027,720027
1,13100,区部,1,24,金属製品製造業,1061,10009,7043,11,9981,7026,39,3976202,6286398,14322134,9656100,4026265,28604,8587,602578,7410292,7410292
1,13100,区部,1,25,はん用機械器具製造業,218,2129,1618,-,2125,1615,4,939833,1660518,3551111,2722718,467555,166101,1450,193287,1746931,1746931
1,13100,区部,1,26,生産用機械器具製造業,589,5987,4658,8,5982,4656,13,2746755,4897899,10432886,8836298,1077279,244816,261,274232,5120012,5120012
1,13100,区部,1,27,業務用機械器具製造業,261,2778,1964,-,2769,1957,9,1248516,2111052,4596086,3872897,263058,59446,24,400661,2308321,2308321
1,13100,区部,1,28,電子部品・デバイス・電子回路製造業,69,787,500,1,787,500,1,316825,553958,1168570,980994,151381,2138,-,34057,569908,569908
1,13100,区部,1,29,電気機械器具製造業,273,3004,2091,11,3011,2097,4,1305557,2489377,4966352,4159110,368021,84176,1374,353671,2297904,2297904
1,13100,区部,1,30,情報通信機械器具製造業,30,360,264,2,362,266,-,x,x,x,x,x,x,-,x,x,x
1,13100,区部,1,31,輸送用機械器具製造業,137,1449,1056,2,1449,1057,2,578778,1005726,2115123,1514647,508730,16242,20,75484,1022901,1022901
1,13100,区部,1,32,その他の製造業,391,3858,2377,6,3850,2372,14,1566693,3618308,6847721,5695955,757889,13236,456,380185,2989594,2989594
2,13101,千代田区,0,00,総数,63,687,484,-,687,484,-,281441,491817,1009116,889928,86388,3968,192,28640,478319,478319
2,13101,千代田区,1,11,繊維工業,2,9,4,-,9,4,-,x,x,x,x,-,-,-,x,x,x
2,13101,千代田区,1,14,パルプ・紙・紙加工品製造業,4,25,22,-,25,22,-,6973,3925,17647,15826,1821,-,-,-,12648,12648
2,13101,千代田区,1,15,印刷・同関連業,48,546,387,-,546,387,-,x,x,x,x,x,-,x,x,x,x
2,13101,千代田区,1,18,プラスチック製品製造業（別掲を除く）,1,8,7,-,8,7,-,x,x,x,x,-,-,-,-,x,x
2,13101,千代田区,1,24,金属製品製造業,1,6,5,-,6,5,-,x,x,x,-,x,-,x,-,x,x
2,13101,千代田区,1,26,生産用機械器具製造業,1,5,2,-,5,2,-,x,x,x,x,-,x,-,-,x,x
2,13101,千代田区,1,27,業務用機械器具製造業,1,25,21,-,25,21,-,x,x,x,x,-,x,-,-,x,x
2,13101,千代田区,1,29,電気機械器具製造業,1,9,7,-,9,7,-,x,x,x,x,-,-,-,-,x,x
2,13101,千代田区,1,30,情報通信機械器具製造業,1,7,6,-,7,6,-,x,x,x,x,-,x,-,x,x,x
2,13101,千代田区,1,32,その他の製造業,3,47,23,-,47,23,-,14319,48280,78000,78000,-,-,-,-,27392,27392
2,13102,中央区,0,00,総数,95,938,622,-,937,621,1,406366,796785,1624088,1320741,239142,762,12,63431,764244,764244
2,13102,中央区,1,09,食料品製造業,16,169,105,-,169,105,-,x,x,x,x,-,-,-,x,x,x
2,13102,中央区,1,11,繊維工業,7,63,18,-,62,17,1,17919,38595,80863,9480,71328,-,-,55,38959,38959
2,13102,中央区,1,14,パルプ・紙・紙加工品製造業,3,23,16,-,23,16,-,7891,12207,25793,23577,2195,-,-,21,12523,12523
2,13102,中央区,1,15,印刷・同関連業,56,521,374,-,521,374,-,x,x,x,x,165619,-,x,x,x,x
2,13102,中央区,1,16,化学工業,1,6,3,-,6,3,-,x,x,x,x,-,-,-,-,x,x
2,13102,中央区,1,18,プラスチック製品製造業（別掲を除く）,1,20,15,-,20,15,-,x,x,x,x,-,-,-,-,x,x
2,13102,中央区,1,24,金属製品製造業,1,10,8,-,10,8,-,x,x,x,x,-,-,-,-,x,x
2,13102,中央区,1,26,生産用機械器具製造業,2,12,7,-,12,7,-,x,x,x,x,-,x,-,x,x,x
2,13102,中央区,1,27,業務用機械器具製造業,1,29,26,-,29,26,-,x,x,x,x,-,-,-,-,x,x
2,13102,中央区,1,28,電子部品・デバイス・電子回路製造業,1,10,9,-,10,9,-,x,x,x,x,-,x,-,-,x,x
2,13102,中央区,1,29,電気機械器具製造業,1,6,4,-,6,4,-,x,x,x,x,-,-,x,x,x,x
2,13102,中央区,1,32,その他の製造業,5,69,37,-,69,37,-,33708,97531,165267,165267,-,-,-,-,62430,62430
2,13103,港区,0,00,総数,73,776,563,3,779,566,-,376788,1248970,2063137,1900258,89806,1,283,72789,752301,752301
2,13103,港区,1,09,食料品製造業,6,62,44,-,62,44,-,x,x,x,x,-,-,-,x,x,x
2,13103,港区,1,10,飲料・たばこ・飼料製造業,1,9,7,-,9,7,-,x,x,x,x,-,-,-,-,x,x
2,13103,港区,1,11,繊維工業,3,32,10,2,34,12,-,11006,8445,25489,25489,-,-,-,-,15709,15709
2,13103,港区,1,13,家具・装備品製造業,3,25,17,-,25,17,-,9268,13352,36650,28829,-,-,-,7821,22085,22085
2,13103,港区,1,15,印刷・同関連業,40,398,281,1,399,282,-,x,x,x,x,x,-,-,x,x,x
2,13103,港区,1,18,プラスチック製品製造業（別掲を除く）,1,7,6,-,7,6,-,x,x,x,x,x,-,-,-,x,x
2,13103,港区,1,19,ゴム製品製造業,1,10,6,-,10,6,-,x,x,x,x,-,-,-,-,x,x
2,13103,港区,1,21,窯業・土石製品製造業,4,79,72,-,79,72,-,62215,707976,955370,955370,-,-,-,-,228014,228014
