"年度","区分","自立訓練(機能訓練) 30歳以下[人]","自立訓練(機能訓練) 31～40歳[人]","自立訓練(機能訓練) 41～50歳[人]","自立訓練(機能訓練) 51～60歳[人]","自立訓練(機能訓練) 61～70歳[人]","自立訓練(機能訓練) 71歳以上[人]","自立訓練(機能訓練) 合計[人]","機能訓練区単独 高次脳機能障害者機能訓練[人]","機能訓練区単独 障害児機能訓練[人]","機能訓練区単独 合計[人]"
"2016","合計","0","2","2","8","4","0","16","4","14","18"
"2017","合計","0","2","2","6","3","0","13","6","14","20"
"2018","合計","0","2","5","2","0","0","9","5","13","18"
"2019","合計","0","1","7","6","1","0","15","5","12","17"
"2020","障害別 脳血管疾患","0","0","1","3","2","0","6","5","0","5"
"2020","障害別 神経・筋疾患","0","0","0","2","0","0","2","0","2","2"
"2020","障害別 脳性麻痺","0","0","0","1","0","0","1","0","6","6"
"2020","障害別 その他","0","1","0","2","0","0","3","4","7","11"
"2020","身体障害者手帳 １・２級","0","1","0","6","1","0","8","1","14","15"
"2020","身体障害者手帳 ３・４級","0","0","1","2","0","0","3","2","1","3"
"2020","身体障害者手帳 ５・６級","0","0","0","0","1","0","1","0","0","0"
"2020","身体障害者手帳 相互利用 知的障害",,,,,,,,"0","0","0"
"2020","身体障害者手帳 手帳なし",,,,,,,,"6","0","6"

"令和3年度港区行政資料集　障害保健福祉センター機能訓練等利用状況","Ver202103",,,,,,,,,,
