年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成25年９月上旬,2013,9上,361,106,110,213,148,...,95,162,573,218,96,...,...,...,...,...,...,...,...,...,...,...,149,1126,255,627,415,...,730,161,...,...,...,171,...,...,237,871,...,...,132,195,429,631,497,643,82,...,...,...,532,...,843,...,...,...,...,493,1075,1093,...,790,...,...,...,...,209,...,170,199,296
平成25年９月中旬,2013,9中,361,111,97,207,141,244,103,128,564,217,78,228,269,120,...,216,781,200,241,173,126,122,143,1148,265,645,438,15,806,170,411,323,664,185,370,807,234,867,694,110,130,212,392,642,525,659,83,177,52,71,528,...,606,588,274,388,...,465,1076,1094,...,820,...,...,...,...,207,794,171,200,297
平成25年９月下旬,2013,9下,358,113,109,184,176,...,101,102,563,227,89,...,...,...,...,...,...,...,...,...,...,...,186,1157,241,592,530,...,793,163,...,...,...,216,...,...,235,868,...,...,131,217,414,653,600,665,86,...,...,...,484,...,556,...,...,...,...,441,1120,1054,...,913,...,...,...,...,213,...,175,205,299
平成25年10月上旬,2013,10上,372,92,92,223,170,...,101,87,558,220,80,...,...,...,419,...,...,...,...,...,...,...,179,1037,232,569,445,...,797,165,...,...,...,201,...,...,240,839,...,...,...,212,366,595,622,715,84,...,...,...,488,...,534,...,...,...,...,506,...,1039,536,...,...,...,...,...,211,...,173,199,299
平成25年10月中旬,2013,10中,352,102,104,198,149,235,97,82,573,202,79,237,270,120,405,195,748,208,242,171,124,122,169,967,208,578,405,15,806,162,377,318,587,200,354,725,252,796,674,118,...,215,364,573,605,803,87,167,56,81,500,...,508,597,288,392,...,495,...,1041,522,...,...,...,...,...,202,771,174,203,303
銘柄改正年月,,,,,,,,,,,,,,H25.7,H25.7,,,,,,H25.4,H25.4,,,,,,,,,,,,,H25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25.7,,,,,H25.7,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成25年10月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
