年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成25年１月,2013,1,389,118,77,...,183,219,109,67,594,219,86,271,269,122,319,175,805,197,238,175,125,122,203,973,165,597,904,15,704,206,418,284,485,175,322,779,226,882,705,117,...,229,385,810,806,718,124,184,63,87,...,430,554,501,290,369,460,...,...,...,...,...,...,...,168,...,197,796,176,212,303
平成25年２月,2013,2,377,93,70,...,168,209,103,65,586,214,72,255,264,113,302,187,801,190,237,175,124,123,204,613,171,506,722,15,539,159,374,288,489,173,330,820,228,818,692,118,...,195,383,582,749,652,125,158,55,79,...,428,534,492,286,373,381,...,...,...,...,...,...,...,147,...,205,805,171,200,304
平成25年２月上旬,2013,2上,372,92,77,...,171,...,109,63,591,218,73,...,...,...,291,...,...,...,...,...,...,...,216,662,166,520,878,...,574,173,...,...,...,177,...,...,228,809,...,...,...,198,351,641,741,658,132,...,...,...,...,419,539,...,...,...,383,...,...,...,...,...,...,...,147,...,204,...,168,200,300
平成25年２月中旬,2013,2中,383,106,67,...,157,209,105,68,586,214,74,255,264,113,304,187,801,190,237,175,124,123,204,569,167,508,695,15,531,157,374,288,489,178,330,820,230,831,692,118,...,198,392,551,760,648,129,158,55,79,...,431,524,492,286,373,392,...,...,...,...,...,...,...,149,...,203,805,173,202,307
平成25年２月下旬,2013,2下,377,81,65,...,177,...,94,62,580,209,69,...,...,...,310,...,...,...,...,...,...,...,191,608,181,490,592,...,510,148,...,...,...,163,...,...,225,814,...,...,...,191,405,553,747,649,115,...,...,...,...,433,540,...,...,...,369,...,...,...,...,...,...,...,144,...,208,...,171,199,305
平成25年３月上旬,2013,3上,361,107,70,229,187,...,89,63,568,203,83,...,...,...,291,...,...,...,...,...,...,...,192,597,177,498,514,...,459,152,...,...,...,180,...,...,228,800,...,...,...,211,370,492,723,704,105,...,...,...,...,427,562,...,...,...,385,...,...,...,...,...,...,...,143,...,215,...,172,202,312
平成25年３月中旬,2013,3中,367,94,70,258,170,212,92,64,575,205,88,254,257,108,299,182,765,187,238,175,123,125,179,532,167,503,424,16,440,148,396,283,507,168,338,825,220,789,683,113,...,205,404,478,695,729,99,159,51,71,...,428,570,498,288,370,385,...,...,...,...,...,...,...,139,...,215,775,172,203,307
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,H24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成25年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
