年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成25年９月,2013,9,360,110,105,201,155,244,100,131,567,221,88,228,269,120,...,216,781,200,241,173,126,122,160,1144,254,621,461,15,777,165,411,323,664,191,370,807,235,869,694,110,131,208,412,642,540,655,84,177,52,71,515,...,669,588,274,388,...,466,1091,1080,...,841,...,...,...,...,210,794,172,201,297
平成25年10月,2013,10,357,113,99,204,170,235,102,85,568,205,83,237,270,120,394,195,748,208,242,171,124,122,182,999,210,556,432,15,780,164,377,318,587,199,354,725,241,821,674,118,...,211,361,609,629,744,84,167,56,81,499,...,507,597,288,392,...,488,...,1061,511,...,...,...,...,...,205,771,173,201,302
平成25年10月上旬,2013,10上,372,92,92,223,170,...,101,87,558,220,80,...,...,...,419,...,...,...,...,...,...,...,179,1037,232,569,445,...,797,165,...,...,...,201,...,...,240,839,...,...,...,212,366,595,622,715,84,...,...,...,488,...,534,...,...,...,...,506,...,1039,536,...,...,...,...,...,211,...,173,199,299
平成25年10月中旬,2013,10中,352,102,104,198,149,235,97,82,573,202,79,237,270,120,405,195,748,208,242,171,124,122,169,967,208,578,405,15,806,162,377,318,587,200,354,725,252,796,674,118,...,215,364,573,605,803,87,167,56,81,500,...,508,597,288,392,...,495,...,1041,522,...,...,...,...,...,202,771,174,203,303
平成25年10月下旬,2013,10下,346,144,101,190,192,...,109,86,573,195,91,...,...,...,359,...,...,...,...,...,...,...,198,994,190,522,447,...,736,165,...,...,...,196,...,...,231,829,...,...,...,206,354,660,660,714,80,...,...,...,510,...,479,...,...,...,...,462,...,1102,473,...,...,...,...,...,202,...,173,202,304
平成25年11月上旬,2013,11上,366,100,115,...,160,...,99,89,559,213,77,...,...,...,360,...,...,...,...,...,...,...,190,918,178,530,550,...,633,165,...,...,...,179,...,...,242,904,...,...,...,221,370,780,737,764,93,...,...,...,...,461,486,...,...,...,...,...,...,...,495,...,...,...,...,...,209,...,173,203,304
平成25年11月中旬,2013,11中,366,106,82,...,137,243,112,88,563,225,86,234,289,122,347,205,778,211,242,171,124,122,188,937,187,512,574,15,629,164,396,298,576,181,381,722,238,862,708,117,...,219,392,710,725,716,95,166,55,77,...,466,476,561,298,403,...,...,...,...,485,...,...,...,...,...,209,797,173,204,305
銘柄改正年月,,,,,,,,,,,,,,H25.7,H25.7,,,,,,H25.4,H25.4,,,,,,,,,,,,,H25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H25.7,,,,,H25.7,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成25年11月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
