年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,注1)消費水準指数全国(平成22年=100）/二人以上の世帯,注1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/ 注3)平均消費性向（％）,生計（東京都勤労者世帯）/ 注4)公共的料金負担率（％）,注2)実質賃金指数/調査産業計
平成4年平均,1992,,99.3,101.9,1800.4,729.3,108.8,107.7,646147,392114,73.2,25.1,-
平成5年平均,1993,,100.6,103.1,1822.6,708.1,108.8,107.8,677044,397896,71.6,26.2,-
平成6年平均,1994,,101.2,103.8,1834.6,693.7,107.9,106.7,669665,395193,70.9,27,-
平成7年平均,1995,,101.1,103.5,1829.5,687.2,107.5,106.5,648892,380868,70.7,27.8,-
平成8年平均,1996,,101.2,103.5,1829.5,688,108,107.3,629627,379877,72.6,28.5,-
平成9年平均,1997,,103.1,104.9,1853.3,698.4,108.1,107.8,655940,386106,71.7,28.9,-
平成10年平均,1998,,103.7,105.7,1867.9,687.5,105.8,106,656646,377118,69.2,27.4,-
平成11年平均,1999,,103.4,105.3,1860.6,664.3,104.7,103.9,642848,366762,68.5,28.2,-
平成12年平均,2000,,102.7,104.2,1842.3,664.2,103.9,103.4,643946,372835,69.7,28.9,-
平成13年平均,2001,,101.9,103.1,1822,658,102.8,103,628068,364721,69.8,29.5,-
平成14年平均,2002,,101,102.1,1803.6,645.7,103,102.5,633711,361608,68.2,29.4,-
平成15年平均,2003,,100.7,101.6,1796.2,637.3,102.3,101.5,583065,355982,73.2,29.8,-
平成16年平均,2004,,100.7,101.5,1794.4,644.7,102.6,102.9,596372,362122,72.7,30.1,-
平成17年平均,2005,,100.4,101,1785.2,665,102.6,103,578340,352303,72.8,29.5,-
平成18年平均,2006,,100.7,101.1,1787,692.7,100.5,100,585818,350664,72.4,29.5,102.6
平成19年平均,2007,,100.7,101.2,1788.8,711.9,101.4,100.7,574514,346256,73,29.9,103.7
平成20年平均,2008,,102.1,102.2,1806.6,736.6,99.5,99.3,581293,343972,72.4,29.2,103.8
平成21年平均,2009,,100.7,101,1785.2,664.4,99.7,99.4,598723,359096,74.1,29.1,99.2
平成22年平均,2010,,100,100,1767.3,668.5,100,100,615748,363141,73.2,28.4,100
平成23年平均,2011,,99.7,99.5,-,680.9,97.9,97.3,565071,337458,73.8,30.2,99.8
平成24年平均,2012,,99.7,99,-,674.8,98.8,98.6,575440,348158,75.2,29.6,99.8
平成22年9月,2010,9,99.9,99.9,1770.9,661.1,96.4,98,496141,355543,89.1,30.7,-
平成22年10月,2010,10,100.2,100.4,1779.8,658.3,97,98.6,554620,347453,75.7,32.7,-
平成22年11月,2010,11,99.9,100.1,1774.5,662,99.4,98.6,501996,327969,80.6,28.8,-
平成22年12月,2010,12,99.6,99.7,1767.3,667.8,111,108.3,1057373,371618,42.5,25.2,-
平成23年1月,2011,1,99.5,99.3,1760.2,672.3,98.3,98.5,481266,346001,89,30.1,83
平成23年2月,2011,2,99.5,99.3,1758.4,675.9,98.2,97.4,530984,311607,71.7,34.3,80.6
平成23年3月,2011,3,99.8,99.6,1763.8,680.9,99,97.1,489958,334945,83.5,30.7,86.2
平成23年4月,2011,4,99.9,99.8,1769.1,693.5,102.4,103.8,526199,383447,88.8,38.6,83.5
平成23年5月,2011,5,99.9,99.7,1767.3,690.9,93.5,93,486959,327800,87.1,31,85.9
平成23年6月,2011,6,99.7,99.4,1767.3,687.9,93.2,91.4,803625,315825,50.2,28.6,157.8
平成23年7月,2011,7,99.7,99.4,-,687.6,95,95.6,586264,339441,72.3,26,108.5
平成23年8月,2011,8,99.9,99.5,-,682.9,95.5,95.4,493177,332178,83.3,25.7,79.6
