"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","配偶者","634","37.9","39.6"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","同居の子ども","204","12.2","12.7"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","別居の子ども","289","17.3","18.0"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","兄弟姉妹・親戚・親・孫","285","17.0","17.8"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","近隣","70","4.2","4.4"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","友人","196","11.7","12.2"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","その他","45","2.7","2.8"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","そのような人はいない","494","29.5","30.8"
"202003","日常生活全般について","Q21-2. 反対に、看病や世話をしてあげる人はいますか。（あてはまるものすべてに○）","無回答","72","4.3",

"港区保健福祉基礎調査（高齢者）・単純集計表・日常生活全般についてQ21-2","Ver202003",,,,,
