2022/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.28,3.5,0.17,2.9,,WNW,21,NW,7.8,87,,
2,0.26,3,0.15,2.7,,W,20,NW,6.2,122,,
3,0.21,2,0.12,2.6,,WNW,22,NNW,6.2,150,,
4,0.18,3.5,0.11,3.4,,W,20,NNW,4.3,163,,
5,0.37,3,0.19,3.2,,W,18,NW,5,164,,
6,0.2,3.5,0.11,3.2,,S,10,NNW,2.2,154,,
7,0.27,5,0.12,2.8,,N,1,NNW,3.7,135,,
8,0.2,3.5,0.1,2.8,,NE,2,NW,5,112,,
9,0.41,1.5,0.19,2.1,,W,3,NW,8,98,,
10,0.5,2,0.25,2.1,NW,WSW,8,NW,8.6,93,,
11,0.54,2,0.3,2.2,SSE,W,15,WNW,10.1,103,,
12,0.55,2,0.26,2.3,SE,W,20,NW,7.9,123,,
13,0.42,2,0.2,2.5,,W,17,NNW,6.6,145,,
14,0.33,2.5,0.18,2.4,,W,17,NNW,7.8,160,,
15,0.41,1.5,0.19,2.1,,W,14,NNW,6.5,169,,
16,0.37,1.5,0.18,2.2,,WSW,8,NNW,7.2,159,,
17,0.34,4,0.19,2.6,,WSW,1,NNW,5.2,136,,
18,0.24,1.5,0.15,2.3,,E,4,NNW,5.5,100,,
19,0.25,2,0.14,2.2,,E,8,NNW,7.6,57,,
20,0.29,4,0.11,2.1,,ESE,5,NNW,5.6,15,,
21,0.38,2,0.2,1.9,,S,3,NW,9.2,-16,,
22,0.43,2,0.24,2.1,,NW,10,WNW,7.4,-25,,
23,0.5,2,0.25,2.2,WSW,NW,9,NW,8.3,-17,,
24,0.34,2.5,0.16,2.1,,WNW,15,NW,5.7,8,,
最大,0.55,5,0.3,3.4,最多,平均,22,最多,10.1,平均,平均,
平均,0.34,2.6,0.18,2.5,,W,8.7,NNW,6.6,100,,
2022/1/2,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.24,2.5,0.14,2.3,,WNW,13,NW,6,45,,
2,0.25,1.5,0.13,2.2,,WNW,21,NW,5.5,88,,
3,0.27,2.5,0.14,2.5,,W,27,NNW,6,128,,
4,0.18,3.5,0.11,2.7,,W,25,N,3,158,,
5,0.33,3,0.17,3,,W,23,NNE,3.9,173,,
6,0.19,2.5,0.11,2.5,,S,5,N,3.2,171,,
7,0.37,3,0.16,2.8,,ESE,7,N,3.2,156,,
8,0.34,2,0.19,2.7,,NE,5,N,2.7,133,,
9,0.21,3.5,0.13,3.1,,ESE,6,N,2.8,110,,
10,0.24,3,0.15,2.9,,SSW,6,N,2.3,96,,
11,0.21,2.5,0.12,2.7,,SW,4,NE,2.8,97,,
12,0.23,2,0.12,2.4,,W,6,E,0.9,109,,
13,0.38,3,0.15,3,,W,1,ESE,2.1,130,,
14,0.25,3,0.14,2.8,,WSW,3,SE,2.2,154,,
15,0.54,4.5,0.23,2.9,,SW,7,S,6.3,172,,
16,0.79,2.5,0.38,2.3,SE,ESE,8,SSW,8.7,177,,
17,0.73,2.5,0.32,2.5,ENE,ESE,14,S,5.4,167,,
18,0.35,2.5,0.19,2.7,,ESE,11,WSW,3.3,140,,
19,0.34,4,0.18,2.8,,ESE,8,W,2.1,96,,
20,0.35,3,0.21,3.2,,ESE,11,NW,3.1,48,,
21,0.28,2.5,0.17,3.2,,ESE,13,NNW,4,6,,
22,0.24,3.5,0.14,3,,SE,8,NW,1.8,-21,,
23,0.37,3,0.17,3,,W,3,W,1.3,-26,,
24,0.17,3,0.1,2.8,,NW,4,NW,2.7,-13,,
最大,0.79,4.5,0.38,3.2,最多,平均,27,最多,8.7,平均,平均,
平均,0.33,2.9,0.17,2.8,,SW,2.7,N,3.6,104,,
2022/1/3,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.13,2.5,0.08,2.6,,W,9,NNW,4.5,17,,
2,0.23,1.5,0.11,1.9,,NW,15,NNW,6.9,56,,
3,0.23,2.5,0.12,2.1,,WNW,17,NNW,6.1,99,,
4,0.2,2,0.13,2.1,,W,15,NNW,6.2,138,,
5,0.42,3.5,0.21,2.5,,WNW,9,NNW,7,169,,
6,0.3,2,0.17,2.2,,W,8,NNW,7.8,183,,
7,0.33,2.5,0.18,2.4,,WSW,5,NNW,6.6,175,,
8,0.37,3,0.19,2.6,,WNW,3,NNW,6.8,153,,
9,0.33,2,0.19,2.6,,WNW,2,NNW,6.1,128,,
10,0.26,2.5,0.15,2.6,,NW,2,NNW,5.3,106,,
11,0.3,3.5,0.16,3.1,,NW,4,N,3.4,95,,
12,0.29,3.5,0.15,3,,W,6,NW,0.9,101,,
13,0.26,2.5,0.14,2.7,,NNW,1,E,2.8,118,,
14,0.34,2.5,0.17,2.7,,SSE,3,ESE,2.7,143,,
15,0.34,2.5,0.2,2.9,,W,4,ESE,1.7,166,,
16,0.43,2.5,0.23,2.8,,SW,1,ESE,1.2,183,,
17,0.51,3,0.21,3.2,,E,2,SE,1.7,185,,
18,0.21,3.5,0.12,2.8,,E,7,ENE,4.4,168,,
19,0.25,2,0.12,2.4,,SE,10,ESE,3.2,130,,
20,0.34,2,0.22,2.3,,SE,15,SE,4.7,84,,
21,0.35,2,0.21,2.2,,ESE,6,SE,4.9,38,,
22,0.34,2,0.17,2,,WSW,3,SE,3.3,0,,
23,0.35,2.5,0.21,2.3,,WNW,5,SSE,1.6,-21,,
24,0.29,2,0.15,2.1,,NW,8,WNW,3.3,-22,,
最大,0.51,3.5,0.23,3.2,最多,平均,17,最多,7.8,平均,平均,
平均,0.31,2.5,0.17,2.5,,W,3,NNW,4.3,108,,
2022/1/4,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.17,2,0.09,2.1,,WNW,7,WSW,1.7,-4,,
2,0.14,1.5,0.08,2.5,,W,9,WNW,1.5,31,,
3,0.16,3,0.09,2.5,,W,13,NNW,1.5,78,,
4,0.12,2,0.07,2.7,,NW,20,NE,1.4,123,,
5,0.37,3,0.14,3,,WNW,15,NNE,0.8,159,,
6,0.18,2.5,0.09,2.8,,WSW,13,NW,1.3,179,,
7,0.29,3,0.15,2.7,,WNW,9,WSW,1.6,185,,
8,0.41,3,0.17,2.8,,WNW,6,W,2.1,174,,
9,0.22,2.5,0.13,3,,NNW,6,NW,1.6,154,,
10,0.29,2,0.17,3,,ENE,2,NNE,0.6,130,,
11,0.27,4,0.15,2.9,,E,7,ENE,1.9,111,,
12,0.21,4,0.14,2.8,,S,3,ENE,2.8,99,,
13,0.31,3,0.15,2.8,,SW,4,NNE,3.2,104,,
14,0.34,1.5,0.17,2.4,,W,3,N,8.5,124,,
15,0.49,2.5,0.27,2.5,NNE,NW,9,NNW,9.5,149,,
16,0.51,2.5,0.3,2.6,NW,W,10,NNW,9.6,169,,
17,0.5,3.5,0.28,2.6,N,NW,3,NNW,9,179,,
18,0.5,3,0.27,2.7,SSE,N,8,NNW,9.2,174,,
19,0.49,2,0.26,2.6,SSE,S,1,NNW,9.1,150,,
20,0.45,2,0.22,2.5,,SSE,10,NNW,8.2,115,,
21,0.67,4,0.28,2.7,SW,E,4,NNW,9,71,,
22,0.4,2.5,0.23,2.3,,ESE,7,NNW,8.8,27,,
23,0.41,4,0.25,2.4,W,ESE,3,NNW,9,-12,,
24,0.41,2,0.25,2.3,NE,NNE,3,NNW,9.1,-34,,
最大,0.67,4,0.3,3,最多,平均,20,最多,9.6,平均,平均,
平均,0.35,2.7,0.18,2.6,SSE,WNW,3.6,NNW,5,110,,
2022/1/5,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.46,2,0.24,2.4,,NW,10,NNW,7.4,-33,,
2,0.45,2.5,0.23,2.5,,W,12,NNW,6.9,-6,,
3,0.37,2.5,0.25,2.7,SSE,WNW,16,NNW,9.5,29,,
4,0.46,3,0.26,2.5,WSW,W,19,NNW,11.9,72,,
5,0.37,3.5,0.23,2.8,,W,33,NNW,9,115,,
6,0.34,2.5,0.19,2.8,,W,34,NNW,9.8,142,,
7,0.54,2.5,0.26,2.9,SSE,W,32,NNW,8.3,161,,
8,0.41,2,0.23,2.7,,W,26,NW,8.1,165,,
9,0.26,2.5,0.16,2.4,,WSW,15,NW,7.4,152,,
10,0.36,3,0.18,2.5,,NNW,3,NW,7.6,127,,
11,0.47,3,0.22,2.5,,N,5,NW,8.4,101,,
12,0.5,2.5,0.32,2.4,W,WSW,2,NNW,11.4,87,,
13,0.6,2.5,0.3,2.6,NW,NNE,2,NNW,10.5,82,,
14,0.47,3,0.28,2.6,W,W,8,N,6.4,93,,
15,0.41,2.5,0.21,2.9,,W,13,N,5.4,118,,
16,0.3,1.5,0.18,2.9,,WNW,17,N,5.9,150,,
17,0.37,2,0.21,2.8,,W,16,N,5,168,,
18,0.33,3,0.14,2.7,,W,9,N,4.9,175,,
19,0.29,2.5,0.15,2.8,,SW,6,N,6,162,,
20,0.21,2.5,0.13,2.6,,SE,5,N,6.4,132,,
21,0.26,2.5,0.16,2.5,,SE,11,N,5.3,95,,
22,0.26,2.5,0.15,2.6,,ESE,14,NE,4.7,60,,
23,0.42,3.5,0.24,2.9,,E,11,NNE,2.9,23,,
24,0.41,2,0.21,2.6,,ESE,7,NNE,3.9,-8,,
最大,0.6,3.5,0.32,2.9,最多,平均,34,最多,11.9,平均,平均,
平均,0.39,2.6,0.21,2.7,W,W,9.1,NNW,7.2,98,,
2022/1/6,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.33,3,0.18,2.7,,ESE,4,N,2.8,-23,,
2,0.33,3,0.13,2.7,,WNW,4,N,3.7,-19,,
3,0.18,3,0.11,2.7,,WNW,7,N,4.2,11,,
4,0.19,3.5,0.1,2.4,,W,11,N,5,51,,
5,0.34,4,0.16,3,,W,16,N,3.7,92,,
6,0.2,3,0.12,2.7,,W,14,N,3.7,127,,
7,0.22,2.5,0.14,2.8,,W,15,N,3.9,151,,
8,0.29,3,0.17,2.8,,WSW,14,N,4.3,161,,
9,0.31,3.5,0.17,2.9,,W,8,NNW,3.6,157,,
10,0.28,3.5,0.16,2.9,,W,5,N,3.3,140,,
11,0.3,2.5,0.18,3.2,,E,5,N,3,118,,
12,0.3,3.5,0.17,2.9,,ESE,8,N,3.5,97,,
13,0.47,3,0.23,3.3,,ESE,9,N,3.2,83,,
14,0.3,3,0.16,3.1,,ESE,5,N,4.4,83,,
15,0.28,2,0.13,2.5,,NNE,2,N,5.3,100,,
16,0.33,2.5,0.15,2.6,,WNW,6,N,3.8,125,,
17,0.36,2.5,0.2,2.8,,WSW,9,N,4.4,149,,
18,0.28,3,0.16,2.7,,ENE,1,N,3.5,167,,
19,0.39,3,0.18,3,,SSW,7,N,3.9,167,,
20,0.34,2.5,0.19,3.4,,NE,7,N,4.1,149,,
21,0.22,2.5,0.11,2.8,,ENE,7,N,3.4,123,,
22,0.35,2,0.12,2.6,,ENE,5,N,2.9,94,,
23,0.31,3,0.16,3,,SE,7,NNE,2.2,64,,
24,0.42,4,0.15,3.2,,E,7,N,2,33,,
最大,0.47,4,0.23,3.4,最多,平均,16,最多,5.3,平均,平均,
平均,0.31,3,0.16,2.9,,W,2.1,N,3.7,100,,
2022/1/7,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.2,2.5,0.12,3,,SE,4,NNW,1.9,9,,
2,0.13,1.5,0.08,2.7,,E,3,NNW,1.6,2,,
3,0.19,3.5,0.1,2.9,,WNW,7,NNW,2.9,17,,
4,0.26,4,0.11,3,,WNW,5,N,1.5,47,,
5,0.41,3.5,0.14,3,,W,9,NNW,2.5,85,,
6,0.48,2.5,0.16,2.6,,W,8,NNW,1.3,118,,
7,0.38,3,0.18,2.8,,NW,5,NNW,5.7,143,,
8,0.51,3.5,0.23,3,,WNW,12,NNW,6.1,158,,
9,0.37,2.5,0.19,2.6,,NW,4,N,7.9,157,,
10,0.47,2.5,0.25,2.4,WNW,NW,5,N,7.8,145,,
11,0.36,2,0.23,2.5,,N,8,NNW,7.4,128,,
12,0.49,2,0.25,2.3,N,N,3,NNW,8.2,111,,
13,0.51,3,0.27,2.6,NW,S,1,NNW,7.1,96,,
14,0.38,4,0.23,2.7,,W,5,NNW,6.2,86,,
15,0.38,2.5,0.22,3.2,,S,4,N,5.3,87,,
16,0.31,3.5,0.17,2.7,,WNW,6,N,5.3,102,,
17,0.53,3,0.29,3.2,NW,WNW,10,NNW,7.9,124,,
18,0.63,2.5,0.27,2.6,NW,NNW,11,NNW,8.2,146,,
19,0.43,2.5,0.24,2.5,,WNW,12,NNW,8.7,154,,
20,0.42,3,0.25,2.7,SSE,NW,5,NNW,7.9,146,,
