区分,一般会計（千円）,特別区財政調整会計（千円）,地方消費税精算会計（千円）,小笠原諸島生活再建資金会計（千円）,母子父子福祉貸付資金会計（千円）,心身障害者扶養年金会計（千円）,中小企業設備導入等資金会計（千円）,林業・木材産業改善資金助成会計（千円）,沿岸漁業改善資金助成会計（千円）,と場会計（千円）,都営住宅等事業会計（千円）,都営住宅等保証金会計（千円）,都市開発資金会計（千円）,用地会計（千円）,公債費会計（千円）,臨海都市基盤整備事業会計（千円）,合計（千円）,区分
1報酬,57283737,-,-,-,-,-,-,-,-,48656,30590,-,-,-,-,1949,57364932,報酬
2給料,597789520,-,-,-,-,-,-,-,-,1038454,1113953,-,-,-,-,72978,600014905,給料
3職員手当等,655561098,-,-,-,193,-,1090,-,-,906527,1013712,-,390,13442,15300,59518,657571270,手当
4共済費,257105376,-,-,-,-,-,-,-,-,381921,417979,-,5,21,-,26726,257932028,共済
5災害補償費,443958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443958,災害
6恩給及退職年金,1600422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1600422,恩給
7賃金,2096522,-,-,-,1576,-,536,-,-,322,31286,-,297,1892,-,3783,2136214,賃金
8報償費,6246595,-,-,-,-,-,204,455,-,1029,2955,-,-,-,419,-,6251657,報償
9旅費,7538406,-,-,-,240,-,2213,59,250,1176,33861,-,349,8570,8511,1101,7594736,旅費
10交際費,68215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68215,交際
11需用費,67344829,-,-,-,1645,-,6766,81,83,399771,114653,-,1432,8574,4914,16837,67899585,需用
12役務費,24856947,-,-,-,564,-,585,-,-,128249,112986,-,105,2835,2371196,7886,27481353,役務
13委託料,361544692,-,-,-,4090,21895,955,-,667,770360,70128145,-,364,218832,88512,449314,433227826,委託
14使用料及賃借料,74521311,-,-,-,-,-,1974,-,-,8128,519421,-,84,4506,5993,9836,75071253,使用
15工事請負費,457764211,-,-,-,-,-,-,-,-,994452,51540908,-,-,-,-,1109570,511409141,工事
16原材料費,2010028,-,-,-,-,-,-,-,-,797,600,-,-,-,-,-,2011425,材料
17公有財産購入費,91413350,-,-,-,-,-,-,-,-,-,5418929,-,1000000,11929080,-,-,109761359,公有
18備品購入費,14982068,-,-,-,-,-,650,-,-,18812,1198,-,-,263,216,753,15003960,備品
19負担金補助及交付金,2037445699,952794000,4242000,-,156301,4790127,27,405,-,1321467,7012560,-,15,-,20,2033,3007764654,負担
20扶助費,127284837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127284837,扶助
21貸付金,329842172,-,-,372000,4302391,-,26000,51000,47000,-,-,-,-,-,-,-,334640563,貸付
22補償補?及賠償金,64068039,-,-,-,-,-,-,-,-,-,1531261,-,-,488000,-,1271700,67359000,補償
23償還金利子及割引料,84809677,-,1186902000,-,-,-,3000,-,-,-,10145,654000,-,-,828606118,-,2100984940,償還
24投資及出資金,87463478,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87463478,投資
25積立金,49477116,-,-,-,-,114978,-,-,-,-,-,-,-,-,316327801,-,365919895,積立
26寄附金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,寄附
27公課費,207497,-,-,-,-,-,-,-,-,1,50,-,-,-,-,16,207564,公課
28繰出金,1488230200,-,617386000,-,-,-,2739000,-,-,764878,39002808,1000000,1192959,5587985,-,-,2155903830,繰出
予備費,5000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000000,予備
合計,6954000000,952794000,1808530000,372000,4467000,4927000,2783000,52000,48000,6785000,178038000,1654000,2196000,18264000,1147429000,3034000,11085373000,合計
