科目,27年度（億円）,26年度（億円）,増減額（億円）
1行政サービス活動,,,
税収等,54392,51047,3345
地方税,51624,47349,4275
地方譲与税,2719,3648,△928
地方特例交付金,47,48,△1
国有提供施設等所在市町村助成交付金,0,0,0
税諸収入,1,1,0
国庫支出金等,2877,2793,83
国庫支出金,2846,2763,82
交通安全対策特別交付金,31,29,1
業務収入その他,3243,3345,△101
事業収入（特別会計）,1,1,△0
分担金及負担金,76,66,10
使用料及手数料,1479,1439,40
財産収入,90,162,△72
諸収入（受託事業収入）,510,527,△17
諸収入,1054,1114,△59
寄附金,0,0,0
繰入金,29,33,△3
金融収入,153,152,0
受取利息及配当金,153,152,0
税連動経費,14394,12905,1489
税連動経費,14394,12905,1489
行政支出,37218,36656,561
給与関係費,15102,14892,209
物件費,2604,2611,△7
維持補修費,993,953,40
扶助費,1253,1233,19
補助費等,10966,10298,667
投資的経費補助,782,857,△75
投資的経費単独,2910,2736,173
投資的経費国直轄,357,268,88
出資金（出損金等）,271,486,△214
繰出金,1977,2317,△340
金融支出,892,988,△95
公債費（利子・手数料）,891,986,△95
他会計借入金利子等,1,2,△0
特別支出,27,25,1
災害復旧事業支出,27,25,1
行政サービス活動収支差額,8133,6762,1370
2社会資本整備等投資活動,,,
国庫支出金等,960,1161,△200
国庫支出金,910,1096,△185
分担金及負担金,20,24,△4
繰入金等,29,40,△11
財産収入,156,124,32
財産売払収入,156,124,32
基金繰入金,1238,598,640
財政調整基金,-,-,-
減債基金,-,-,-
特定目的基金,1235,591,644
定額運用基金,2,7,△4
貸付金元金回収収入等,4248,5075,△827
保証金収入,0,0,△0
社会資本整備支出,3511,3351,159
物件費,36,34,2
補助費等,126,4,121
投資的経費補助,1403,1641,△238
投資的経費単独,1945,1671,273
基金積立金,5885,3668,2217
財政調整基金,584,1111,△526
減債基金,-,-,-
特定目的基金,5275,2528,2746
定額運用基金,26,28,△2
貸付金・出資金等,2977,3009,△32
出資金,59,56,3
繰出金（他会計）,488,496,△8
貸付金,2430,2457,△26
保証金支出,1,1,△0
社会資本整備等投資活動収支差額,△5772,△3072,△2700
行政活動キャッシュ・フロー収支差額,2360,3690,△1329
3財務活動,,,
財務活動収入,1597,1705,△108
都債,1563,1670,△107
他会計借入金等,34,34,△0
基金運用金借入,-,-,-
繰入金,0,-,0
財務活動支出,4436,4931,△494
公債費（元金）,4421,4916,△495
他会計借入金等償還,15,14,0
基金運用金償還,-,-,-
財務活動収支差額,△2839,△3225,386
収支差額合計,△478,464,△943
前年度からの繰越金,2994,2529,464
形式収支,2515,2994,△478
