,（社福）東京都社会福祉事業団El（百万円）,（単純合計）（E）（百万円）
収支計算書事業収支(1)＝a-b,409,409
収支計算書事業収支(1)＝a-b事業収入a,8474,8474
収支計算書事業収支(1)＝a-b事業費用b,8065,8065
収支計算書事業収支(1)＝a-b事業費,7800,7800
収支計算書事業収支(1)＝a-b一般管理費,265,265
収支計算書事業外収支(2)＝c-d,△580,△580
収支計算書事業外収支(2)＝c-d事業外収入c,535,535
収支計算書事業外収支(2)＝c-d事業外費用d,1116,1116
収支計算書経常収支(1)＋(2),△171,△171
収支計算書特別収支(3)＝e-f,285,285
収支計算書特別収支(3)＝e-f特別収入e,285,285
収支計算書特別収支(3)＝e-f特別費用f,-,-
収支計算書当期収支差額(4)＝(1)＋(2)＋(3),114,114
収支計算書前期繰越収支差額(5),961,961
収支計算書次期繰越収支差額(4)＋(5),1076,1076
貸借対照表／〔資産の部〕1流動資産,1652,1652
貸借対照表／〔資産の部〕1流動資産現金預金,1363,1363
貸借対照表／〔資産の部〕1流動資産その他の流動資産,288,288
貸借対照表／〔資産の部〕2固定資産,2168,2168
貸借対照表／〔資産の部〕2固定資産有形固定資産,73,73
貸借対照表／〔資産の部〕2固定資産有形固定資産土地,-,-
貸借対照表／〔資産の部〕2固定資産有形固定資産その他の有形固定資産（建物等）,73,73
貸借対照表／〔資産の部〕2固定資産無形固定資産,1,1
貸借対照表／〔資産の部〕2固定資産投資等,2093,2093
貸借対照表／〔資産の部〕2固定資産投資等長期貸付金,0,0
貸借対照表／〔資産の部〕2固定資産投資等基金,-,-
貸借対照表／〔資産の部〕2固定資産投資等その他の投資等,2093,2093
貸借対照表／〔資産の部〕3繰延資産,-,-
貸借対照表／資産合計,3821,3821
貸借対照表／〔負債の部〕1流動負債,602,602
貸借対照表／〔負債の部〕2固定負債,161,161
貸借対照表／〔負債の部〕2固定負債長期借入金,-,-
貸借対照表／〔負債の部〕2固定負債その他の固定負債,161,161
貸借対照表／〔負債の部〕3繰延収益,-,-
貸借対照表／負債合計,763,763
貸借対照表／〔正味財産の部〕正昧財産合計,3057,3057
貸借対照表／〔正味財産の部〕正昧財産合計うち当期増減額,789,789
貸借対照表／負債・正昧財産合計,3821,3821
都の関与の状況出資等比率（%）,100,
都の関与の状況都派遣職員数（人）/常勤職員数（人）,472／996,
