区分,平成27年度末現在高（千円）,平成27年度末構成比（％）,平成28年度末現在高見込額（A)（千円）,平成28年度末構成比（％）,平成29年度中の増減見込発行見込額（B)（千円）,平成29年度中の増減見込償還見込額（C）（千円）,平成29年度中の増減見込差引増減額（D）＝（B)-（C)（千円）,平成29年度中の増減見込増減率（D)/（A)（千円）,平成29年度末現在高見込額(A)+(D)（千円）,平成29年度末構成比（％）,区分,
一般会計,5616001505,62,5600340221,61.3,298250000,300473797,△2223797,△0.0,5598116424,61.7,一般,
普通債,5299330115,58.5,5337453925,58.5,293156000,295001129,△1845129,△0.0,5335608796,58.8,普通,
社会及労働施設債,184961720,2,183494733,2,191000,3857221,△3666221,△2.0,179828512,2,社会,
保健衛生債,214148358,2.4,204645575,2.2,6073000,14599230,△8526230,△4.2,196119345,2.2,保健,
産業経済債,179386506,2,168739524,1.8,138000,8080982,△7942982,△4.7,160796542,1.8,産業,
土木債,3750436830,41.4,3809128547,41.7,250651000,220618890,30032110,0.8,3839160657,42.3,土木,
教育債,329769980,3.6,333146061,3.6,11672000,11284422,387578,0.1,333533639,3.7,教育,
警察債,218559830,2.4,223595775,2.4,13743000,11073176,2669824,1.2,226265599,2.5,警察,
消防債,96798786,1.1,99498409,1.1,7880000,2269797,5610203,5.6,105108612,1.2,消防,
その他,325268105,3.6,315205301,3.5,2808000,23217411,△20409411,△6.5,294795890,3.3,他,
災害復旧債,13657700,0.2,14901400,0.2,-,682300,△682300,△4.6,14219100,0.2,災害,
産業経済債,4478700,0,4283400,0,-,339300,△339300,△7.9,3944100,0,産業,
土木債,9179000,0.1,10618000,0.1,-,343000,△343000,△3.2,10275000,0.1,土木,
転貸債,8593690,0.1,12922896,0.1,5094000,778368,4315632,33.4,17238528,0.2,転貸,
その他,294420000,3.2,235062000,2.6,-,4012000,△4012000,△1.7,231050000,2.5,他,
特別会計,636238377,7,648879266,7.1,174911012,162937575,11973437,1.8,660852703,7.3,特会,
母子父子福祉貸付資金,29351419,0.3,30020889,0.3,236012,-,236012,0.8,30256901,0.3,母父,
中小企業設備導入等資金,8360507,0.1,4524507,0,-,1455000,△1455000,△32.2,3069507,0,中小,
と場,3155576,0,2632878,0,884000,734198,149802,5.7,2782680,0,と場,
都営住宅等事業,532358875,5.9,553075992,6.1,38347000,19307377,19039623,3.4,572115615,6.3,住事,
都市開発資金,-,-,1000000,0,1000000,-,1000000,100,2000000,0,都開,
用地,63012000,0.7,57625000,0.6,7616000,14613000,△6997000,△12.1,50628000,0.6,用地,
公債費,-,-,-,-,126828000,126828000,0,0,-,-,公債,
公営企業会計,2810639201,31,2880700836,31.6,172898000,244841505,△71943505,△2.5,2808757331,31,公企,
病院,109678444,1.2,104733797,1.1,3451000,6639647,△3188647,△3.0,101545150,1.1,病院,
中央卸売市場,265558000,2.9,391271000,4.3,-,3287000,△3287000,△0.8,387984000,4.3,市場,
臨海地域開発事業,187265000,2.1,187265000,2.1,-,-,-,-,187265000,2.1,臨地,
港湾事業,620176,0,406458,0,-,195858,△195858,△48.2,210600,0,港湾,
交通事業,39850000,0.4,44436000,0.5,6834000,2090000,4744000,10.7,49180000,0.5,交通,
高速電車事業,399735117,4.4,373608117,4.1,5000000,51415000,△46415000,△12.4,327193117,3.6,高速,
水道事業,225282160,2.5,219790160,2.4,55000000,23788000,31212000,14.2,251002160,2.8,水道,
下水道事業,1582650304,17.5,1559190304,17.1,102613000,157426000,△54813000,△3.5,1504377304,16.6,下水,
合計,9062879083,100,9129920323,100,646059012,708252877,△62193865,△0.7,9067726458,100,合計,
