区分,平成26年度末現在高（円）,平成27年度起債額（円）,平成27年度元金償還額（円）,平成27年度末現在高（円）,平成28年度支払予定額元金上期（円）,平成28年度支払予定額元金下期（円）,平成28年度支払予定額利子上期（円）,平成28年度支払予定額利子下期（円）
全会計,9434085970101,753568070000,1124774958432,9062879081669,377717942076,481092146020,64260339571,59876900877
一般会計,5893065585793,507753700000,784817780848,5616001504945,256786682288,294350290914,36287084754,33530367991
特別会計母子父子福祉,29245048600,106370000,-,29351418600,-,-,-,-
特別会計中小企業,9301423813,-,940917000,8360506813,2301751000,558077813,50984565,6436883
特別会計と場,3737341259,345000000,926764960,3155576299,456372094,460325849,18927879,15008814
特別会計都営住宅,539205876257,52587000000,59434001150,532358875107,13208375550,17443506660,2820568810,2693343226
特別会計用地,77097000000,1579000000,15664000000,63012000000,-,13819000000,418823564,432063151
特別会計臨海基盤,355000000,-,355000000,-,-,-,-,-
特別会計計,658941689929,54617370000,77320683110,636238376819,15966498644,32280910322,3309304818,3146852074
公営企業病院,113327363451,1764000000,5412919930,109678443521,1214114530,6696531916,822858130,803035026
公営企業市場,182046000000,98066000000,14554000000,265558000000,18500000000,-,1151010772,939996130
公営企業臨海地域,187265000000,-,-,187265000000,-,-,719857350,719857350
公営企業港湾,913166189,-,292990616,620175573,106313213,107404632,6013962,4922543
公営企業交通,37466000000,5204000000,2820000000,39850000000,-,2680000000,242938233,244410027
公営企業高速,441307751824,5000000000,46572634711,399735117113,10901261076,20224697172,3788779510,3755429814
公営企業水道,245776327967,4500000000,24994168067,225282159900,6247479669,16774107128,2668478503,2529129889
公営企業下水,1673977084948,76663000000,167989781150,1582650303798,67995592656,107978203936,15264013539,14202900033
公営企業計,2882078694379,191197000000,262636494474,2810639199905,104964761144,154460944784,24663949999,23199680812
