科目,27年度（億円）,26年度（億円）,増減額（億円）
通常収支の部,,,
1行政収支の部,,,
1行政収入,60501,57264,3236
地方税,51567,47399,4168
地方譲与税,2719,3648,△928
地方特例交付金,47,48,△1
国有提供施設等所在市町村助成交付金,0,0,0
税諸収入,1,1,0
国庫支出金,2840,2758,82
交通安全対策特別交付金,31,29,1
事業収入（特別会計）,1,1,△0
分担金及負担金,77,66,10
使用料及手数料,1487,1448,39
財産収入,119,181,△62
諸収入（受託事業収入）,510,527,△17
諸収入,1066,1119,△52
寄附金,0,0,0
繰入金,29,33,△3
その他行政収入,-,-,-
2行政費用,53161,51215,1945
税連動経費,14394,12905,1489
給与関係費,13140,12924,216
物件費,2607,2617,△9
維持補修費,994,954,39
扶助費,1254,1235,19
補助費等,10978,10322,656
投資的経費補助,782,857,△74
投資的経費単独,2895,2702,193
投資的経費国直轄,357,268,88
出資金（出損金等）,271,486,△214
繰出金,1968,2303,△334
減価償却費,1690,1631,59
債務保証費,0,-,0
不納欠損引当金繰入額,102,122,△19
貸倒引当金繰入額,1,1,△0
賞与引当金繰入額,834,813,20
退職給与引当金繰入額,846,1001,△154
その他引当金繰入額,-,-,-
その他行政費用,38,69,△30
2金融収支の部,,,
1金融収入,153,152,0
受取利息及配当金,153,152,0
2金融費用,893,989,△95
公債費（利子）,868,968,△100
都債発行費,22,18,3
都債発行差金,1,0,1
他会計借入金利子等,1,2,△0
通常収支差額,6599,5211,1387
特別収支の部,,,
1特別収入,195,377,△181
固定資産売却益,67,105,△37
その他特別収入,127,272,△144
2特別費用,363,449,△85
固定資産売却損,14,15,△0
固定資産除却損,146,71,75
災害復旧費,27,25,1
不納欠損額,9,15,△5
貸倒損失,0,0,△0
その他特別費用,165,321,△155
当期収支差額,6431,5139,1291
