区分,歳出（千円）,歳入内訳分担金及負担金（千円）,歳入内訳使用料及手数料（千円）,歳入内訳国庫支出金（千円）,歳入内訳財産収入（千円）,歳入内訳諸収入（千円）,歳入内訳都債（千円）,歳入内訳繰越金（千円）,歳入内訳一般会計繰入金（千円）,歳入内訳事業収入等（千円）,歳入内訳事業収入等地方消費税（千円）,歳入内訳事業収入等基金繰入金（千円）,歳入内訳事業収入等保証金収入（千円）,歳入内訳事業収入等他会計繰入金（千円）,歳入内訳事業収入等減債基金繰入金（千円）,事業収入等/地方消費税/基金繰入金/他会計繰入金/保証金収入/減債基金繰入金（千円）,差引残額（千円）,区分
特別区財政調整会計,952794000,-,-,-,-,10,-,10,952793980,-,,,,,,,0,財調
地方消費税清算会計,1808530000,-,-,-,-,431320000,-,172869000,-,,1325418000,,,,,,121077000,地消
小笠原諸島生活再建資金会計,372000,-,-,-,-,200,-,363238,-,8562,,,,,,,0,小笠
母子父子福祉貸付資金会計,4467000,-,-,-,-,262,236012,994835,278504,2957387,,,,,,,0,母父
心身障害者扶養年金会計,4927000,-,-,-,114978,5,-,1,-,-,,4812016,,,,,0,心障
中小企業設備導入等資金会計,2783000,-,-,-,-,1,-,4899,26000,2752100,,,,,,,0,中小
林業・木材産業改善資金助成会計,52000,-,-,-,-,1,-,46056,997,4946,,,,,,,0,林業
沿岸漁業改善資金助成会計,48000,-,-,-,-,1,-,28371,997,18631,,,,,,,0,沿岸
と場会計,6785000,-,1422881,-,-,52118,884000,1,4426000,-,,,,,,,0,と場
都営住宅等事業会計,178038000,262590,68028121,34964713,2044920,6217953,38347000,1,27172702,,,,,1000000,,,0,住事
都営住宅等保証金会計,1654000,-,-,-,-,1000,-,5459000,-,,,,539000,1011000,,,5356000,住保
都市開発資金会計,2196000,-,-,-,1186726,523,1000000,1,8750,-,,,,,,,0,都開
用地会計,18264000,-,-,-,5197419,779,7616000,4600802,849000,-,,,,,,,0,用地
公債費会計,1147429000,-,-,-,1873438,338241,126828000,-,500143000,,,,,334847006,183399315,,0,公債
臨海都市基盤整備事業会計,3034000,44,273,-,-,130,-,2171986,360,,,,,2228249,,,1367042,臨基
合計,4131373000,262634,69451275,34964713,10417481,437931224,174911012,186538201,1485700290,,,,,,,1858996212,127800042,合計
