科目,27年度（億円）,26年度（億円）,増減額（億円）,増減率（％）
資産の部,,,,
1流動資産,14267,15308,△1040,△6.8
現金預金,2619,3070,△450,△14.7
収入未済,918,1085,△166,△15.3
不納欠損引当金,△126,△141,15,△10.6
基金積立金,8908,8944,△36,△0.4
その他,1947,2349,△402,△17.1
2固定資産,320479,315342,5136,1.6
行政財産,81064,80838,225,0.3
普通財産,10787,10925,△137,△1.3
インフラ資産,143105,142176,929,0.7
基金積立金,29825,25276,4548,18
その他,55696,56126,△430,△0.8
資産の部合計,334747,330651,4096,1.2
負債の部,,,,
1流動負債,4311,5417,△1105,△20.4
都債,3430,4561,△1131,△24.8
賞与引当金,834,813,20,2.5
その他,47,42,4,9.5
2固定負債,69342,71501,△2158,△3
都債,59060,60921,△1860,△3.1
退職給与引当金,10090,10388,△298,△2.9
その他,191,191,0,0
負債の部合計,73654,76918,△3264,△4.2
正味財産の部合計,261092,253732,7360,2.9
負債及び正味財産の部合計,334747,330651,4096,1.2
