区分,損益勘定支弁職員（人）,内短時間勤務職員数（人）,収入営業収益料金収入等（千円）,収入営業収益一般会計補助金（千円）,収入営業収益雑収益その他（千円）,収入営業外収益一般会計補助金（千円）,収入営業外収益国庫補助金（千円）,収入営業外収益雑収益その他（千円）,収入特別利益（千円）,収入計（千円）,支出営業費用人件費（千円）,支出営業費用経費(千円）,支出営業費用減価償却費等(千円）,支出営業外費用支払利息（千円）,支出営業外費用その他（千円）,支出特別損失（千円）,支出予備費（千円）,支出計（千円）,収支差引（A）（千円）,収支のうち現金収支を伴わないもの（B）（千円）,損益勘定資金収支（A）+（B）（千円）,区分
病院会計,6736,105,126840007,20656000,-,18044000,318547,5403446,-,171262000,45450179,108201158,14496893,1567183,1546587,573000,-,171835000,△573000,22201037,21628037,病院
中央卸売市場会計,327,31,12086000,-,4395050,4205000,-,1282950,-,21969000,2787736,13606422,6687886,92725,4712231,-,1000,27888000,△5919000,6397135,478135,市場
都市再開発事業会計,-,,-,-,-,-,-,16554,-,16554,-,15000,-,-,1000,-,-,16000,554,△11079,△10525,都再
臨海地域開発事業会計,63,1,17410395,-,-,4550,-,3979045,10,21394000,466954,5526333,18713,1592751,677239,10,-,8282000,13112000,3661811,16773811,臨地
港湾事業会計,27,,4140392,-,-,650,-,529948,10,4671000,172153,2604523,1088324,6675,147315,10,-,4019000,652000,1099891,1751891,港湾
交通事業会計,2802,267,36802810,6617000,9554190,1463000,-,9342000,-,63779000,18223034,29969966,5908000,601000,10766000,18000,-,65486000,△1707000,6004631,4297631,交通
自動車運送事業,2591,253,29575810,5586000,8065190,1320000,-,219000,-,44766000,16792384,23935616,3067000,171000,1460000,18000,-,45444000,△678000,3092242,2414242,自動
軌道事業,123,11,1789000,516000,1275000,110000,-,8820000,-,12510000,790871,2171129,822000,13000,8861000,-,-,12658000,△148000,884852,736852,軌道
新交通事業,82,1,5307000,515000,202000,33000,-,262000,-,6319000,602914,3769086,2019000,417000,397000,-,-,7205000,△886000,2026537,1140537,新交
懸垂電車事業,6,2,131000,-,12000,-,-,41000,-,184000,36865,94135,-,-,48000,-,-,179000,5000,1000,6000,懸垂
高速電車事業会計,3379,232,141953000,6769000,10550000,4692000,-,11242000,-,175206000,23708029,71771971,42935000,6600000,9344000,-,-,154359000,20847000,32294048,53141048,高速
電気事業会計,24,4,1950091,-,18909,3000,-,27000,-,1999000,188745,977255,208000,-,126000,-,-,1500000,499000,183552,682552,電気
水道事業会計,3137,325,319183000,3330000,33727000,148000,-,15120000,754000,372262000,21584861,257646139,73929000,5754000,9621000,2827000,-,371362000,900000,76204000,77104000,水道
工業用水道事業会計,9,,715000,-,133000,876000,-,346000,-,2070000,60703,1406297,538000,1000,64000,-,-,2070000,0,465000,465000,工水
下水道事業会計,1680,125,170503000,113621948,19997052,17975052,-,78832948,91321000,492251000,10822395,122006605,204267000,26644233,106767,996000,100000,364943000,127308000,138349608,265657608,下水
区部下水道事業,1548,120,170503000,108748948,7828052,17152120,-,64723880,91158000,460114000,9929965,109450035,185688000,25821301,105699,757000,100000,331852000,128262000,133475608,261737608,区部
流域下水道事業,132,5,-,4873000,12169000,822932,-,14109068,163000,32137000,892430,12556570,18579000,822932,1068,239000,-,33091000,△954000,4874000,3920000,流域
合計,18184,1090,831583695,150993948,78375201,47411252,318547,126121891,92075020,1326879554,123464789,613731669,350076816,42859567,37112139,4414020,101000,1171760000,155119554,286849634,441969188,合計
（注）１「料金収入等」には、当該会計の主な事業収入を計上した。２「支払利息」には、企業債取扱諸費及び一時借入金利子を含む。,,,,,,,,,,,,,,,,,,,,,,
