区分,職員数特別職（人）,職員数一般職（人）,職員数一般職内短時間勤務職員数（人）,給与費報酬（千円）,給与費給料（千円）,給与費[賃金]（千円）,給与費職員手当等[手当]（千円）,給与費計（千円）,共済費[法定福利費]（千円）,合計（千円）
一般会計,237,145585,1406,57283737,597789520,,655561098,1310634355,257105376,1567739731
特別会計,-,519,28,81195,2225385,,2010172,4316752,826652,5143404
特別区財政調整,-,-,,-,-,,-,-,-,-
地方消費税清算,-,-,,-,-,,-,-,-,-
小笠原諸島生活再建資金,-,-,,-,-,,-,-,-,-
母子父子福祉貸付資金,-,-,,-,-,,193,193,-,193
心身障害者扶養年金,-,-,,-,-,,-,-,-,-
中小企業設備導入等資金,-,-,,-,-,,1090,1090,-,1090
林業・木材産業改善資金助成,-,-,,-,-,,-,-,-,-
沿岸漁業改善資金助成,-,-,,-,-,,-,-,-,-
と場,-,261,14,48656,1038454,,906527,1993637,381921,2375558
都営住宅等事業,-,238,14,30590,1113953,,1013712,2158255,417979,2576234
都営住宅等保証金,-,-,,-,-,,-,-,-,-
都市開発資金,-,-,,-,-,,390,390,5,395
用地,-,-,,-,-,,13442,13442,21,13463
公債費,-,-,,-,-,,15300,15300,-,15300
臨海都市基盤整備事業,-,20,,1949,72978,,59518,134445,26726,161171
公営企業会計,3,19436,1110,8276953,77295478,-,93274644,178847075,32962543,211809618
病院,-,6736,105,7805919,26796699,-,33425326,68027944,12147115,80175059
中央卸売市場,-,327,31,76360,1631088,-,1949094,3656542,677071,4333613
都市再開発事業,-,36,,2489,151508,-,202345,356342,57993,414335
臨海地域開発事業,-,96,1,12744,409381,-,474587,896712,166284,1062996
港湾事業,-,31,,-,120393,-,119176,239569,46369,285938
交通事業,1,2801,267,-,10629000,-,14054000,24683000,4500500,29183500
高速電車事業,-,3379,232,-,13884000,-,17066000,30950000,5713000,36663000
電気事業,-,24,4,-,110000,-,125000,235000,41000,276000
水道事業,1,3586,335,85602,14403353,-,15652110,30141065,5888253,36029318
工業用水道事業,-,9,,-,35553,-,30426,65979,13306,79285
下水道事業,1,2411,135,293839,9124503,-,10176580,19594922,3711652,23306574
合計,240,165540,2544,65641885,677310383,-,750845914,1493798182,290894571,1784692753
（注）表頭[　]は、公営企業会計についてのものである。,,,,,,,,,,
