,（公財）東京都人権啓発センターD1（百万円）,（公財）東京都島しょ振興公社D2（百万円）,（公財）東京税税務協会D3（百万円）,（公財）東京都歴史文化財団D4（百万円）,（公財）東京都交響楽団D5（百万円）,（公財）東京都スポーツ文化事業団D6（百万円）,（一財）東京マラソン財団D7（百万円）,（公財）東京都都市づくり公社D8（百万円）,（公財）東京都環境公社D9（百万円）,（公財）東京都福祉保健財団D10（百万円）,（公財）東京都医学総合研究所D11（百万円）,（公財）城北労働・福祉センターD12（百万円）,（公財）東京都保健医療公社D13（百万円）,（公財）東京都中小企業振興公社D14（百万円）,（公財）東京しごと財団D15（百万円）,（公財）東京都農林水産振興財団D16（百万円）,（公財）東京観光財団D17（百万円）,（公財）東京動物園協会D18（百万円）,（公財）東京都公園協会D19（百万円）,（公財）東京都道路整備保全公社D20（百万円）,（公財）東京防災救急協会D21（百万円）,（単純合計）(D)（百万円）,備考
正昧財産増減計算書／〔一般正味財産の部〕当期経常増減額（1）=a-b,1,14,△28,563,△190,110,144,△346,220,△58,△121,-,△156,120,△4,△88,12,142,266,△60,△9,533,
正昧財産増減計算書／〔一般正味財産の部〕当期経常増減額（1）=a-b経常収益a,196,715,1019,10990,1777,5600,3497,25129,5873,2728,3602,428,53763,9618,3657,2691,2944,8699,14742,14120,2331,174132,
正昧財産増減計算書／〔一般正味財産の部〕当期経常増減額（1）=a-b経常費用b,194,700,1047,10426,1968,5490,3353,25475,5655,2787,3724,428,53920,9498,3662,2779,2931,8557,14476,14180,2340,173601,
正昧財産増減計算書／〔一般正味財産の部〕当期経常外増減額(2)=c-d,-,8,-,△4,△0,-,△2,△4,△102,△131,34,-,△5,△5,△0,-,△6,△2,△9,3,△7,△238,
正昧財産増減計算書／〔一般正味財産の部〕当期経常外増減額(2)=c-d経常外収益c,-,8,-,-,0,-,-,-,52,-,59,0,13,4,-,-,-,24,-,15,1,179,
正昧財産増減計算書／〔一般正味財産の部〕当期経常外増減額(2)=c-d経常外費用ｄ,-,0,-,4,0,-,2,4,155,131,25,0,18,9,0,-,6,26,9,11,8,418,
正昧財産増減計算書／〔一般正味財産の部〕法人税等(3),2,（-）,2,81,0,0,51,0,0,（-）,（-）,（-）,88,0,1,（-）,1,29,104,4,6,288,
正昧財産増減計算書／〔一般正味財産の部〕当期一般正昧財産増減額(4)=(1)＋(2)（-(3)）,△0,22,△30,476,△191,110,89,△351,117,△190,△86,-,△162,115,△5,△88,4,110,151,△61,△23,5,
正昧財産増減計算書／〔一般正味財産の部〕一般正昧財産期首残高(5),144,831,519,6101,709,910,299,64236,4044,1579,743,-,△3262,2862,76,541,967,1722,3696,9507,1841,98075,
正昧財産増減計算書／〔一般正味財産の部〕一般正昧財産期末残高(6)=(4)＋(5),143,854,488,6578,518,1020,389,63885,4161,1388,656,-,△3424,2977,70,453,972,1833,3848,9446,1818,98081,
正昧財産増減計算書／〔指定正味財産の部〕当期指定正昧財産増減額(7),-,-,-,65,-,△4,-,-,44,104,15,2,△149,170,△2,903,106,△6,19,-,△4,1264,
正昧財産増減計算書／〔指定正味財産の部〕指定正昧財産期首残高(8),101,4000,300,296,1,541,880,13,356,1231,300,47,7474,761,503,4550,300,82,2830,1,506,25080,
正昧財産増減計算書／〔指定正味財産の部〕指定正昧財産期末残高(9)=(7)＋(8),101,4000,300,362,1,536,880,13,401,1336,315,49,7324,932,500,5454,406,76,2849,1,501,26345,
正昧財産増減計算書／正昧財産期末残高(6)+(9),244,4854,789,6941,519,1556,1269,63898,4562,2725,972,49,3900,3910,571,5907,1378,1909,6698,9447,2320,124427,
,,,,,,,,,,,,,,,,,,,,,,,『法人税等」聞の（）内の数値は、『当期経常増減額」の内数である。
貸借対照表／〔資産の部〕1流動資産,93,322,338,6299,414,2150,1957,21722,36798,878,711,47,10902,44030,1562,615,1933,1763,5010,14256,948,152757,
貸借対照表／〔資産の部〕1流動資産現金預金,92,264,185,5756,199,933,1875,5429,35170,752,695,45,2735,1854,798,564,1630,1129,3973,11907,818,76815,
貸借対照表／〔資産の部〕1流動資産その他の流動資産,1,57,152,543,214,1216,81,16293,1628,126,15,2,8166,42175,763,50,302,633,1037,2348,129,75942,
貸借対照表／〔資産の部〕2固定資産,165,6808,544,3743,360,1332,996,54025,2453,8829,1465,76,10020,40795,741,6775,4519,1599,4670,6601,1596,158122,
貸借対照表／〔資産の部〕2固定資産有形固定資産,0,130,20,677,17,27,42,1253,604,186,890,27,7198,339,16,342,128,348,484,2363,18,15117,
貸借対照表／〔資産の部〕2固定資産土地,-,-,-,-,-,-,-,656,73,-,-,-,-,75,-,-,-,20,-,896,-,1722,
貸借対照表／〔資産の部〕2固定資産その他の有形固定資産（建物等）,0,130,20,677,17,27,42,596,530,186,890,27,7198,264,16,342,128,327,484,1466,18,13394,
貸借対照表／〔資産の部〕無形固定資産,0,0,2,29,24,11,61,59,106,25,95,0,1464,107,9,8,-,29,47,49,50,2183,
貸借対照表／〔資産の部〕無形固定資産投資等,164,6677,521,3036,318,1294,892,52712,1742,8616,478,48,1358,40349,716,6424,4391,1221,4138,4188,1528,140821,
