区分,扶養手当（千円）,地域手当（千円）,期末手当（千円）,勤勉手当（千円）,管理職手当（千円）,通勤手当（千円）,住居手当（千円）,初任給調整手当（千円）,特別勤務手当（千円）,時間外勤務手当（千円）,休日給夜勤手当（千円）,宿日直手当（千円）,退職手当（千円）,児童手当（千円）,合計（千円）,区分
一般会計,13896198,123469376,161493641,115102099,9402436,21045642,3643239,319412,15383160,52606704,27643619,1129659,101437168,8988745,655561098,一般
特別会計,67242,464957,601835,430976,32463,98051,10260,-,85114,174367,3327,-,-,41580,2010172,特会
特別区財政調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,財調
地方消費税清算,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,地消
小笠原諸島生活再建資金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,小笠
母子父子福祉貸付資金,-,-,-,-,-,-,-,-,-,193,-,-,-,-,193,母父
心身障害者扶養年金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,心障
中小企業設備導入等資金,-,-,-,-,-,-,-,-,-,1090,-,-,-,-,1090,中小
林業・木材産業改善資金助成,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,林業
沿岸漁業改善資金助成,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,沿岸
と場,42030,216514,280081,194171,2061,53019,3420,-,78498,8582,3251,-,-,24900,906527,と場
都営住宅等事業,23166,233435,301580,222537,30402,41528,6300,-,6473,133291,-,-,-,15000,1013712,住事
都営住宅等保証金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,住保
都市開発資金,-,-,-,-,-,-,-,-,-,390,-,-,-,-,390,都開
用地,-,-,-,-,-,-,-,-,140,13226,76,-,-,-,13442,用地
公債費,-,-,-,-,-,-,-,-,-,15300,-,-,-,-,15300,公債
臨海都市基盤整備事業,2046,15008,20174,14268,-,3504,540,-,3,2295,-,-,-,1680,59518,臨基
公営企業会計,1885737,16079580,21030035,15043975,1221531,3499976,352283,2346767,2342145,11192609,4694136,1012825,11602245,970800,93274644,公企
病院,334106,5571779,7292788,5454807,738977,911919,128976,2344666,1758260,1769941,2016529,1009144,3838094,255340,33425326,病院
中央卸売市場,36336,345764,444525,330023,61241,78771,10080,-,8024,141572,39126,3180,431672,18780,1949094,市場
都市再開発事業,5298,31579,41443,30656,1076,5547,1800,-,289,43229,-,-,38308,3120,202345,都再
臨海地域開発事業,8178,85989,112369,85827,12369,18628,3960,-,1016,88506,-,-,49725,8020,474587,臨地
港湾事業,2544,24590,31056,22073,-,7151,1980,-,111,13805,-,-,14666,1200,119176,港湾
交通事業,462396,2224869,2894212,2012557,31572,573247,33609,551,167719,2254264,1019405,146,2211000,168453,14054000,交通
高速電車事業,496302,2891742,3802590,2633395,78072,712609,48021,1540,240508,2004670,1467650,355,2440000,248546,17066000,高速
電気事業,3122,22922,31120,21581,2185,4756,976,10,19,6657,1871,-,28000,1781,125000,電気
水道事業,352786,2985888,3967750,2745098,168574,713178,63720,-,43290,3359016,149479,-,940251,163080,15652110,水道
工業用水道事業,852,7502,9926,6870,1076,1712,-,-,10,2402,76,-,-,-,30426,工水
下水道事業,183817,1886956,2402256,1701088,126389,472458,59161,-,122899,1508547,-,-,1610529,102480,10176580,下水
合計,15849177,140013913,183125511,130577050,10656430,24643669,4005782,2666179,17810419,63973680,32341082,2142484,113039413,10001125,750845914,合計
（注）「特別勤務手当」には、管理職員特別勤務手当を含む。,,,,,,,,,,,,,,,,
