区分,資本勘定支弁職員（人）,内短時間勤務職員数（人）,収入企業債（千円）,収入一般会計出資金（千円）,収入国庫補助金（千円）,収入雑収入その他（千円）,収入計（千円）,支出建設改良費（千円）,支出うち人件費(千円）,支出企業債償還金(千円）,支出その他（千円）,支出計（千円）,収支差引（A）（千円）,損益勘定資金収支（B）（千円）,資金過不足額（A）+（B）（千円）,区分
病院会計,-,,3451000,-,-,19362,3470362,11127353,-,6639647,-,17767000,△14296638,21628037,7331399,病院
中央卸売市場会計,-,,-,-,-,2000,2000,6011683,-,3287000,150317（投資等）,9449000,△9447000,478135,△8968865,市場
都市再開発事業会計,36,,-,-,-,1476000,1476000,1476000,260484,-,,1476000,0,△10525,△10525,都再
臨海地域開発事業会計,33,,-,-,133245,5640755,5774000,13330000,234790,-,5000000（投資）,18330000,△12556000,16773811,4217811,臨地
港湾事業会計,4,,-,-,-,1000,1000,2015142,28503,195858,-,2211000,△2210000,1751891,△458109,港湾
交通事業会計,-,,6834000,841000,1620,188380,7865000,9897000,-,2090000,-,11987000,△4122000,4297631,175631,交通
自動車運送事業,-,,3000000,-,1620,188380,3190000,5073000,-,2000000,-,7073000,△3883000,2414242,△1468758,自動
軌道事業,-,,466000,-,-,-,466000,615000,-,-,-,615000,△149000,736852,587852,軌道
新交通事業,-,,3368000,841000,-,-,4209000,4209000,-,90000,-,4299000,△90000,1140537,1050537,新交
懸垂電車事業,-,,-,-,-,-,-,-,-,-,-,-,-,6000,6000,懸垂
高速電車事業会計,-,,5000000,8206000,1694158,12019842,26920000,41200000,-,51415000,15030000（投資等）,107645000,△80725000,53141048,△27583952,高速
電気事業会計,-,,-,-,-,-,-,464000,-,-,-,464000,△464000,682552,218552,電気
水道事業会計,450,10,55000000,2493000,1797000,5242000,64532000,123259000,2870014,24356000,-,147615000,△83083000,77104000,△5979000,水道
工業用水道事業会計,-,,-,176000,-,-,176000,330000,-,-,-,330000,△154000,465000,311000,工水
下水道事業会計,732,10,102613000,41648000,59908000,7878000,212047000,231800000,4476225,157426000,90531000,479757000,△267710000,265657608,△2052392,下水
区部下水道事業,666,5,99740000,41647000,51108000,4693000,197188000,215000000,3980232,153837000,90525000（再開発事業施設購入費）,459362000,△262174000,261737608,△436392,区部
流域下水道事業,66,5,2873000,1000,8800000,3185000,14859000,16800000,495993,3589000,6000（代替地購入費）,20395000,△5536000,3920000,△1616000,流域
合計,1255,20,172898000,53364000,63534023,32467339,322263362,440910178,7870016,245409505,110711317,797031000,△474767638,441969188,△32798450,合計
