区分,使いみち,都民1人当たりの歳出（H27決算）（円）,都民1人当たりの歳出（H17決算）（円）,都民1人当たりの歳出（H7決算）（円）
総務費,防災対策や区市町村の振興など,55228,57241,51612
民生費,待機児童対策や高齢者福祉など,72290,44148,45041
衛生費,快適な都市環境の実現など,18968,15419,40604
商工費,中小企業支援や観光産業の振興など,26773,17922,41253
土木費,道路・河川・港等の整備やまちづくりなど,58818,75247,143905
警察費,警察活動など,45023,48587,53163
消防費,消防活動など,16544,17594,20719
教育費,学校教育やオリンピック・パラリンピックの開催準備など,71861,72917,91932
公債費,都債の償還や利子の支払いなど,39607,58919,37581
特別区財政調整交付金,都と特別区との間の財政調整など,74270,70089,60468
その他,税に連動した区市町村への交付金など,37544,28723,20871
合計,,516926,506806,607149
