区分,平成20年度（当初算定）金額（千円）,平成20年度再算定金額（千円）,平成20年度（当初算定）増減率（％）,平成20年度再算定増減率（％）,平成21年度当初算定金額（千円）,平成21年度前年度当初算定増減率（％）,平成21年度当初算定増減率（％）,平成22年度（当初算定）金額（千円）,平成22年度再算定金額（千円）,平成22年度（当初算定）増減率（％）,平成22年度再算定増減率（％）,平成23年度（当初算定）金額（千円）,平成23年度再算定金額（千円）,平成23年度（当初算定）増減率（％）,平成23年度再算定増減率（％）,平成24年度当初算定金額（千円）,平成24年度前年度当初算定増減率（％）,平成24年度当初算定増減率（％）,平成25年度当初算定金額（千円）,平成25年度当初算定増減率（％）,平成26年度当初算定金額（千円）,平成26年度当初算定増減率（％）,平成27年度当初算定金額（千円）,平成27年度当初算定増減率（％）,平成28年度当初算定金額（千円）,平成28年度当初算定増減率（％）,区分
基準財政需要額（A)道府県分,,1739056055,,1.4,1639969868,,△5.7,1757024829,1762336811,7.1,7.5,1866987225,1870651468,6.3,6.1,1948868970,4.4,4.2,1976476803,1.4,1981686570,0.3,1992376376,0.5,1980018858,△0.6,需要
基準財政需要額（A)大都市分,,1429505258,,2.0,1312364698,,△8.2,1298324405,1298933792,△1.1,△1,1448695212,1450714219,11.6,11.7,1495088622,3.2,3.1,1559539452,4.3,1538587610,△1.3,1582124624,2.8,1591725639,0.6,需要
基準財政需要額（A)合計,,3168561313,,1.7,2952334566,,△6.8,3055349234,3061270603,3.5,3.7,3315682437,3321365687,8.5,8.5,3443957592,3.9,3.7,3536016255,2.7,3520274180,△0.4,3574501000,1.5,3571744497,△0.1,需要
基準財政収入額（B)道府県分,2514388254,2516312392,3.7,3.8,1904840253,△24.2,△24.3,,1544932812,,△18.9,1576580341,1580257954,2,2.3,1700538929,7.9,7.6,1768840682,4,1999071375,13,2203760729,10.2,2354493590,6.8,収入
基準財政収入額（B)大都市分,2322572879,2323045521,0.4,0.4,2136178886,△8,△8,,1893773397,,△11.3,1942934705,1944882341,2.6,2.7,1996567713,2.8,2.7,2098103184,5.1,2227558674,6.2,2311466509,3.8,2360863527,2.1,収入
基準財政収入額（B)合計,4846961133,4839357913,2.1,2.1,4041019139,△16.5,△16.5,,3438706209,,△14.9,3519515046,3525140295,2.3,2.5,3697106642,5,4.9,3866943866,4.6,4226630049,9.3,4515227238,6.8,4715357117,4.4,収入
交付基準額（A）-（B)道府県分,△775332199,△777256337,,,△264870385,,,212092017,217403999,,,290406884,290393514,,,248330041,,,207636121,,△17384805,,△211384353,,△374474732,,交付
交付基準額（A）-（B)大都市分,△893067621,△893540263,,,△823814188,,,△595448992,△594839605,,,△494239493,△494168122,,,△501479091,,,△538563732,,△688971064,,△729341885,,△769137888,,交付
交付基準額（A）-（B)合計,△1668399820,△1670796600,,,△1088684573,,,△383356975,△377435606,,,△203832609,△203774608,,,△253149050,,,△330927611,,△706355869,,△940726238,,△1143612620,,交付
財政力指数（B)/（A)道府県分,1.446,1.447,,,1.162,,,0.879,0.877,,,0.844,0.844,,,0.872,,,0.895,,1.009,,1.106,,1.189,,指数
財政力指数（B)/（A)大都市分,1.625,1.625,,,1.628,,,1.459,1.458,,,1.341,1.341,,,1.335,,,1.345,,1.448,,1.461,,1.483,,指数
財政力指数（B)/（A)合計,1.527,1.527,,,1.369,,,1.125,1.123,,,1.061,1.061,,,1.073,,,1.093,,1.201,,1.263,,1.32,,指数
標準財政収入額道府県分,3241505748,3244058848,,,2423906134,,,,1946607432,,,1983751250,1987428863,,,2152139018,,,2242232171,,2541322922,,2776383277,,2975663620,,標財
標準財政収入額大都市分,3100657221,3101264751,,,2854015091,,,,2530473930,,,2588781756,2590729392,,,2665777390,,,2788004790,,2959995548,,3056776269,,3121512161,,標財
標準財政収入額合計,6342162969,6345323599,,,5277921225,,,,4477081362,,,4572533006,4578158255,,,4817916408,,,5030236961,,5501318470,,5833159546,,6097175781,,標財
標準財政規模,4166028018,4168581118,,,3459948220,,,,2855878511,,,2809855215,2813532828,,,2947394657,,,3050967268,,3411288144,,3642201974,,3843486500,,標規
赤字限度額,346979741,347107396,,,296353866,,,,253544797,,,253372543,253556423,,,261297230,,,273858628,,301059190,,311982903,,322347757,,赤限
