項目１,項目２,八丈島,東京,金沢,室戸岬,那覇,全国平均,八丈島の全国順位,八丈島の全国順位降順フラグ
標高（ｍ）,,151,6,6,185,28,-,-,
気候区,,海洋気候,太平洋側気候,日本海側気候,太平洋側気候,亜熱帯気候,－,－,
気温（度）,年平均気温平年値,17.8,16.3,14.6,16.7,23.1,14.3,20,
気温（度）,最高と最低の年平年値の差,5.5,7.0,7.3,5.1,4.9,7.8,14,1
降水量（ｍｍ）,年降水量平年値,3202.4,1528.8,2398.9,2326.1,2040.8,1720.6,4,
降水量（ｍｍ）,日最大降水量（極値）,438.9,371.9,234.4,446.3,468.9,-,-,
日照（ｈ）,年日照時間平年値,1398.5,1881.3,1680.8,2174.2,1774,1841.6,3,1
風速ｍ／ｓ,年平均風速平年値,4.9,3.3,4.0,7.6,5.3,3.3,14,
風速ｍ／ｓ,日最大瞬間風速（極値）,67.8,46.7,43.4,84.5,73.6,-,12,
現象の日数（日）,雨≧０．０ｍｍ,272.8,192.4,258.4,195.3,263.6,228.5,14,
現象の日数（日）,強風≧１０ｍ／ｓ,134.3,22.1,58.8,253.7,83.5,39.2,7,
現象の日数（日）,冬日最低＜０度,0.1,5.8,26.2,2.7,0.0,53.6,14,1
現象の日数（日）,真夏日最高≧３０度,14.7,48.5,41.1,11.3,96.0,40.3,115,
参考値（日）,雪,2.8,9.3,55.0,3.3,－,43.4,102,
参考値（日）,霧,5.6,5.1,1.2,78.9,1.2,19.7,79,
参考値（日）,雷,28.4,11.3,37.4,22.3,21.4,16.8,11,
参考値（日）,快晴雲量＜１．５,7.4,43.0,19.4,44.7,8.3,29.6,3,1
