組織,組織課（所）※１,組織課（所）※１電話番号,組織担当※１,組織担当※１電話番号,担当業務,ｅ－ｍａｉｌ※２
支庁長,総務課,04996-2-1111,庶務,,課庶務事務、人事、給与、文書、災害対策／急患移送、共済・福利厚生、庁舎管理,S0000048@section.metro.tokyo.jp
支庁長,総務課,04996-2-1111,経理,04996-2-1116,予算、決算、契約、会計、公有財産,S0000048@section.metro.tokyo.jp
支庁長,総務課,04996-2-1111,行政,,町村行財政調整、選挙、統計、消防、行政ヘリコプター／広報誌「支庁の風」発行、ホームページ管理運営,S0000048@section.metro.tokyo.jp
支庁長,総務課,04996-2-1111,税務,04996-2-4511,都税賦課徴収及び犯則取締,S0000048@section.metro.tokyo.jp
支庁長,総務課,04996-2-1111,福祉,04996-2-1112,生活保護、児童福祉、母子・女性福祉,S0000048@section.metro.tokyo.jp
支庁長,産業課,04996-2-1113,商工,,課庶務事務、商工業、中小企業融資、観光／公害防止、砂利・採石、火薬,S0200003@section.metro.tokyo.jp
支庁長,産業課,04996-2-1113,農務,04996-2-4514,農園芸畜産振興、農業団体、農地・農業農村整備,S0200003@section.metro.tokyo.jp
支庁長,産業課,04996-2-1113,林務,,林業、造林、治山及び林道、林業関係団体／鳥獣保護及び狩猟取締,S0200003@section.metro.tokyo.jp
支庁長,産業課,04996-2-1113,水産,,水産業、水産業団体、漁業取締,S0200003@section.metro.tokyo.jp
支庁長,土木課,04996-2-1114,管理,,課庶務事務、道路・河川・公園等の管理、建築確認／屋外広告物取締、自然公園法上の許認可,S0000655@section.metro.tokyo.jp
支庁長,土木課,04996-2-1114,用地,,用地取得、物件補償、登記,S0000655@section.metro.tokyo.jp
支庁長,土木課,04996-2-1114,整備工事,,道路・河川・海岸・急傾斜地・／地すべり等に係る新設・改良工事,S0000655@section.metro.tokyo.jp
支庁長,土木課,04996-2-1114,維持工事,,道路・河川・海岸等の維持補修、園地等の整備・維持,S0000655@section.metro.tokyo.jp
支庁長,土木課,04996-2-1114,砂防,,土砂災害警戒区域の調整・指定,S0000655@section.metro.tokyo.jp
支庁長,港湾課,04996-2-1115,管理,,課庶務事務、港湾・漁港・空港管理,S0200004@section.metro.tokyo.jp
支庁長,港湾課,04996-2-1115,港湾空港管理,,漁港・空港管理,S0200004@section.metro.tokyo.jp
支庁長,港湾課,04996-2-1115,工事,,港湾・漁港・空港の工事監督,S0200004@section.metro.tokyo.jp
