区分選挙名,期日（年月日）,選挙当日有権者数男（人）,選挙当日有権者数女（人）,選挙当日有権者数計（人）,投票者数男（人）,投票者数女（人）,投票者数計（人）,投票率男（％）,投票率女（％）,投票率計（％）
八丈町長,１７．１．１６,3710,3683,7393,2790,2833,5623,75.20,76.92,76.06
都議会議員,１７．７．３,3743,3707,7450,2334,2328,4662,62.36,62.80,62.58
青ヶ島村長,１７．９．４,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票
青ヶ島村議,１７．９．４,93,64,157,68,47,115,73.12,73.44,73.25
衆議院議員,１７．９．１１,3812,3744,7556,2699,2730,5429,70.80,72.92,71.85
八丈町議,１８．１０．１５,3617,3630,7247,2941,3003,5944,81.31,82.73,82.02
都知事,１９．４．８,3684,3667,7351,2305,2464,4769,62.57,67.19,64.88
参議院議員,１９．７．２９,3703,3692,7395,2418,2496,4914,65.30,67.61,66.45
八丈町長,２１．１．２５,3527,3546,7073,2573,2667,5240,72.95,75.21,74.08
都議会議員,２１．７．１２,3612,3594,7206,2420,2407,4827,67.00,66.97,66.99
衆議院議員,２１．８．３０,3620,3606,7226,2565,2588,5153,70.86,71.77,71.31
青ヶ島村長,２１．９．６,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票
青ヶ島村議,２１．９．６,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票
都議会議員補欠,２２．１．２４,3578,3575,7153,2249,2289,4538,62.86,64.03,63.44
参議院議員,２２．７．１１,3592,3573,7165,2264,2345,4609,63.03,65.63,64.33
八丈町議,２２．１０．１７,3442,3460,6902,2710,2828,5538,78.73,81.73,80.24
都知事,２３．４．１０,3499,3515,7014,2264,2343,4607,64.70,66.66,65.68
八丈町長,２３．９．２５,3406,3452,6858,2604,2681,5285,76.45,77.67,77.06
衆議院議員,２４．１２．１６,3.527,3532,7059,2389,2399,4788,67.73,67.92,67.83
都知事,２４．１２．１６,3503,3510,7013,2387,2398,4785,68.14,68.32,68.23
都議会議員,２５．６．２３,3433,3448,6881,1882,1923,3805,54.82,55.77,55.30
参議院議員,２５．７．２１,3498,3482,6980,2147,2210,4357,61.38,63.47,62.42
青ヶ島村長,２５．９．１,83,55,138,63,42,105,75.90,76.36,76.09
青ヶ島村議,２５．９．１,83,55,138,63,42,105,75.90,76.36,76.09
都知事,２６．２．９,3413,3419,6832,1980,2091,4071,58.00,61.16,59.59
八丈町議,２６．１０．１９,3329,3346,6624,2580,2631,5211,78.30,79.03,78.67
衆議院議員,２６．１２．１４,3331,3351,6682,2127,2147,4274,62.27,62.98,62.62
八丈町長,２７．９．１３,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票,無投票
参議院議員,２８．７．１０,3296,3331,6627,2024,2097,4121,61.41,62.95,62.19
都知事,２８．７．３１,3268,3296,6564,2030,2140,4170,62.12,64.93,63.53
