,(1)入港船舶,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,（単位　：　隻、総トン）,,,
,,平成30年(2018年),,,,平成29年(2017年),,,,,
,,当月,,１月以降累計,,当月,,１月以降累計,,,
,,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,,
,総数 ,"1,947","15,349,486","16,085","120,413,618","1,916","14,842,206","15,699","114,989,191",,
,,101.6%,103.4%,102.5%,104.7%,,,,,,
,外航船,461,"11,665,960","3,643","89,909,015",456,"11,144,715","3,532","86,012,136",,
,,101.1%,104.7%,103.1%,104.5%,,,,,,
,（外航ｺﾝﾃﾅ船）,434,"11,285,479","3,401","85,963,317",430,"10,625,949","3,312","82,839,128",,
,,100.9%,106.2%,102.7%,103.8%,,,,,,
,内航船,"1,486","3,683,526","12,442","30,504,603","1,460","3,697,491","12,167","28,977,055",,
,,101.8%,99.6%,102.3%,105.3%,,,,,,
,(注）％表示は対前年同月比,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
