 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,947 ","15,349,486 ","16,085 ","120,413,618 ",461 ,"11,665,960 ","3,643 ","89,909,015 ","1,486 ","3,683,526 ","12,442 ","30,504,603 "
公共計,988 ,"5,425,390 ","7,880 ","43,571,208 ",186 ,"2,623,747 ","1,465 ","20,353,877 ",802 ,"2,801,643 ","6,415 ","23,217,331 "
ドルフィン,5 ,"3,474 ",28 ,"18,697 ",-,-,-,-,5 ,"3,474 ",28 ,"18,697 "
芝浦ふ頭,31 ,"73,687 ",271 ,"659,669 ",-,-,-,-,31 ,"73,687 ",271 ,"659,669 "
芝浦物揚場,23 ,"10,607 ",174 ,"76,402 ",-,-,-,-,23 ,"10,607 ",174 ,"76,402 "
日の出ふ頭,7 ,"5,381 ",59 ,"43,603 ",-,-,-,-,7 ,"5,381 ",59 ,"43,603 "
竹芝ふ頭,219 ,"437,927 ","1,291 ","2,811,314 ",-,-,-,-,219 ,"437,927 ","1,291 ","2,811,314 "
品川岸壁,140 ,"1,520,435 ","1,173 ","12,642,216 ",75 ,"754,966 ",628 ,"6,222,578 ",65 ,"765,469 ",545 ,"6,419,638 "
 品川コンテナ,73 ,"676,553 ",614 ,"5,613,297 ",69 ,"672,876 ",581 ,"5,579,543 ",4 ,"3,677 ",33 ,"33,754 "
 品川外貿,6 ,"82,090 ",47 ,"643,035 ",6 ,"82,090 ",47 ,"643,035 ",-,-,-,-
 品川内貿,61 ,"761,792 ",512 ,"6,385,884 ",-,-,-,-,61 ,"761,792 ",512 ,"6,385,884 "
晴海ふ頭,6 ,"90,250 ",56 ,"1,113,971 ",-,-,8 ,"365,886 ",6 ,"90,250 ",48 ,"748,085 "
月島ふ頭,1 ,317 ,28 ,"9,084 ",-,-,-,-,1 ,317 ,28 ,"9,084 "
漁業基地,2 ,"2,197 ",20 ,"27,992 ",-,-,-,-,2 ,"2,197 ",20 ,"27,992 "
10号西岸壁,52 ,"539,527 ",496 ,"5,095,103 ",-,-,-,-,52 ,"539,527 ",496 ,"5,095,103 "
10号東岸壁,35 ,"14,659 ",261 ,"114,594 ",-,-,-,-,35 ,"14,659 ",261 ,"114,594 "
東京港フェリーふ頭,30 ,"379,080 ",230 ,"2,906,280 ",-,-,-,-,30 ,"379,080 ",230 ,"2,906,280 "
多目的ふ頭,2 ,"8,426 ",19 ,"38,123 ",-,-,-,-,2 ,"8,426 ",19 ,"38,123 "
辰巳ふ頭,71 ,"25,778 ",624 ,"220,159 ",-,-,-,-,71 ,"25,778 ",624 ,"220,159 "
青海コンテナふ頭（公共）,136 ,"1,705,212 ","1,047 ","12,180,085 ",94 ,"1,670,568 ",701 ,"11,899,621 ",42 ,"34,644 ",346 ,"280,464 "
有明ふ頭,5 ,"3,389 ",43 ,"35,570 ",-,-,-,-,5 ,"3,389 ",43 ,"35,570 "
大井水産物ふ頭,1 ,"3,235 ",8 ,"71,511 ",1 ,"3,235 ",4 ,"60,012 ",-,-,4 ,"11,499 "
大井食品ふ頭（OL）,16 ,"28,530 ",96 ,"634,906 ",1 ,"25,546 ",26 ,"620,494 ",15 ,"2,984 ",70 ,"14,412 "
大井食品ふ頭（OM）,9 ,"80,794 ",69 ,"619,877 ",9 ,"80,794 ",69 ,"619,877 ",-,-,-,-
大井食品ふ頭（ON）,3 ,"32,628 ",6 ,"69,261 ",2 ,"22,109 ",5 ,"58,742 ",1 ,"10,519 ",1 ,"10,519 "
若洲内貿ふ頭,9 ,"90,306 ",92 ,"923,128 ",-,-,-,-,9 ,"90,306 ",92 ,"923,128 "
15号地木材ふ頭,1 ,"32,749 ",25 ,"286,804 ",1 ,"32,749 ",9 ,"283,440 ",-,-,16 ,"3,364 "
若洲建材ふ頭,24 ,"14,178 ",223 ,"132,212 ",-,-,-,-,24 ,"14,178 ",223 ,"132,212 "
大井建材ふ頭,81 ,"46,594 ",699 ,"401,743 ",-,-,-,-,81 ,"46,594 ",699 ,"401,743 "
城南島建設発生土ふ頭,45 ,"32,557 ",519 ,"343,917 ",-,-,-,-,45 ,"32,557 ",519 ,"343,917 "
中央防波堤内側ばら物ふ頭,7 ,"36,023 ",38 ,"235,277 ",3 ,"33,780 ",15 ,"223,227 ",4 ,"2,243 ",23 ,"12,050 "
中央防波堤内側建設発生土ふ頭,-,-,63 ,"75,988 ",-,-,-,-,-,-,63 ,"75,988 "
中央防波堤内側内貿ふ頭,19 ,"190,863 ",163 ,"1,715,589 ",-,-,-,-,19 ,"190,863 ",163 ,"1,715,589 "
官公庁（晴海）,3 ,"10,998 ",13 ,"42,933 ",-,-,-,-,3 ,"10,998 ",13 ,"42,933 "
官公庁（月島）,3 ,595 ,38 ,"7,522 ",-,-,-,-,3 ,595 ,38 ,"7,522 "
官公庁（有明）,2 ,"4,994 ",7 ,"17,479 ",-,-,-,-,2 ,"4,994 ",7 ,"17,479 "
その他,-,-,1 ,199 ,-,-,-,-,-,-,1 ,199 
東京港埠頭㈱計,372 ,"9,003,230 ","2,948 ","69,169,710 ",253 ,"8,800,816 ","1,991 ","67,554,654 ",119 ,"202,414 ",957 ,"1,615,056 "
青海コンテナふ頭(埠頭㈱),79 ,"2,007,195 ",617 ,"16,236,123 ",68 ,"1,996,742 ",534 ,"16,130,280 ",11 ,"10,453 ",83 ,"105,843 "
お台場ライナーふ頭,33 ,"290,676 ",284 ,"2,511,594 ",11 ,"214,819 ",106 ,"1,921,733 ",22 ,"75,857 ",178 ,"589,861 "
大井コンテナふ頭,260 ,"6,705,359 ","2,047 ","50,421,993 ",174 ,"6,589,255 ","1,351 ","49,502,641 ",86 ,"116,104 ",696 ,"919,352 "
民間計,587 ,"920,866 ","5,257 ","7,672,700 ",22 ,"241,397 ",187 ,"2,000,484 ",565 ,"679,469 ","5,070 ","5,672,216 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
