 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"302,389","113,615","2,428,049","903,921","88,147","110,742","742,717","880,747","214,242","2,873","1,685,332","23,174"
,98.4%,97.0%,100.0%,103.5%,97.3%,98.0%,97.6%,103.8%,98.8%,69.1%,101.1%,93.4%
外航計,"281,734","94,277","2,240,258","731,972","77,575","93,344","639,810","723,684","204,159",933,"1,600,448","8,288"
,100.1%,97.7%,100.1%,103.7%,102.5%,98.6%,97.5%,104.1%,99.3%,50.7%,101.2%,77.3%
外航定期計,"281,734","94,277","2,240,258","731,972","77,575","93,344","639,810","723,684","204,159",933,"1,600,448","8,288"
,100.1%,97.7%,100.1%,103.7%,102.5%,98.6%,97.5%,104.1%,99.3%,50.7%,101.2%,77.3%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"37,215","14,058","312,414","114,027","12,573","13,745","110,947","112,101","24,642",313,"201,467","1,926"
,101.3%,87.3%,96.9%,102.6%,97.3%,89.4%,88.5%,105.0%,103.5%,43.2%,102.2%,44.0%
北米東岸(カリビア海含む),"9,692","1,741","88,385","17,160","4,332","1,738","37,279","16,906","5,360",3,"51,106",254
,85.4%,50.4%,93.2%,94.6%,95.3%,50.4%,79.3%,93.4%,78.8%,75.0%,106.9%,508.0%
北欧・地中海,"20,538","1,533","147,488","15,984","8,198","1,480","65,884","15,661","12,340",53,"81,604",323
,100.7%,75.0%,106.5%,88.5%,96.4%,75.2%,109.2%,88.1%,103.8%,68.8%,104.4%,118.8%
南米西岸,"2,831",273,"28,636","7,169",150,266,884,"5,972","2,681",7,"27,752","1,197"
,72.8%,19.8%,86.0%,84.8%,153.1%,19.3%,81.3%,73.3%,70.7%,-,86.2%,401.7%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
