区分,回答自治体数,あり,検討中,なし,合計
1,避難所の温度管理（防寒）への対策,27,9,26,62
2,避難所の温度管理（避暑）への対策,3,9,50,62
3,避難所で妊婦が一般の被災者とは別に横になれる場所,11,18,33,62
4,避難所で授乳、おむつ交換等、育児のための場所,13,19,30,62
5,避難所で着替えその他プライバシーの確保のための対策,13,20,29,62
6,避難所で子どもが騒いでも大丈夫なような対策,4,15,43,62
7,仮設トイレを設ける場合の洋式トイレの確保,40,6,16,62
8,避難所やそれ以外の場所での入浴場所や入浴設備の確保,11,6,45,62
9,避難所での防疫・衛生面の確保対策,22,13,27,62
10,避難所の耐震診断の実施,50,5,7,62
11,避難所の耐震性の確保,49,7,6,62
12,公立保育機関など児童施設の耐震診断の実施,38,10,14,62
13,公立保育機関など児童施設の耐震性の確保,37,11,14,62
14,避難所における医師・医療従事者の確保策,41,9,12,62
15,避難所と医療機関との連携策,38,15,9,62
16,医療機関搬送ではなく、避難所での急な分娩への対策,3,6,53,62
17,被災者のメンタルケア対策,12,14,36,62
18,災害時要援護者に対する登録制度の実施,13,27,22,62
19,災害時要援護者登録制度のうち、妊婦の要援護者該当の有無,0,17,45,62
20,災害時要援護者登録制度のうち、乳幼児の要援護者該当の有無,1,17,45,63
