 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,605,967 ","29,393,818 ","4,200,122 ","1,174,212 ","3,025,910 ","15,841,865 ","4,113,832 ","11,728,033 ","3,405,845 ","1,263,957 ","2,141,888 ","13,551,953 ","5,015,205 ","8,536,748 "
公共計,"3,596,948 ","13,618,802 ","1,207,060 ","230,027 ","977,033 ","4,345,791 ","785,590 ","3,560,201 ","2,389,888 ","1,187,115 ","1,202,773 ","9,273,011 ","4,678,490 ","4,594,521 "
ドルフィン,"7,363 ","33,913 ",-,-,-,-,-,-,"7,363 ","7,363 ",-,"33,913 ","33,913 ",-
芝浦ふ頭,"66,568 ","240,731 ",-,-,-,-,-,-,"66,568 ","1,703 ","64,865 ","240,731 ","6,065 ","234,666 "
芝浦物揚場,"6,954 ","30,118 ",-,-,-,-,-,-,"6,954 ","5,006 ","1,948 ","30,118 ","21,034 ","9,084 "
日の出ふ頭,"2,875 ","10,980 ",-,-,-,-,-,-,"2,875 ",-,"2,875 ","10,980 ",-,"10,980 "
竹芝ふ頭,"5,828 ","27,812 ",-,-,-,-,-,-,"5,828 ","4,104 ","1,724 ","27,812 ","18,503 ","9,309 "
品川岸壁,"648,152 ","2,518,995 ","350,322 ","74,123 ","276,199 ","1,373,287 ","272,086 ","1,101,201 ","297,830 ","174,532 ","123,298 ","1,145,708 ","690,842 ","454,866 "
品川コンテナ,"338,277 ","1,338,676 ","338,277 ","73,330 ","264,947 ","1,337,296 ","269,185 ","1,068,111 ",-,-,-,"1,380 ",690 ,690 
品川外貿,"12,045 ","35,991 ","12,045 ",793 ,"11,252 ","35,991 ","2,901 ","33,090 ",-,-,-,-,-,-
品川内貿,"297,830 ","1,144,328 ",-,-,-,-,-,-,"297,830 ","174,532 ","123,298 ","1,144,328 ","690,152 ","454,176 "
月島ふ頭,"1,577 ","6,325 ",-,-,-,-,-,-,"1,577 ",384 ,"1,193 ","6,325 ","3,031 ","3,294 "
10号西岸壁,"543,239 ","2,183,135 ",-,-,-,-,-,-,"543,239 ","327,203 ","216,036 ","2,183,135 ","1,300,772 ","882,363 "
10号東岸壁,"36,314 ","126,492 ",-,-,-,-,-,-,"36,314 ",141 ,"36,173 ","126,492 ",486 ,"126,006 "
東京港フェリーふ頭,"954,780 ","3,661,325 ",-,-,-,-,-,-,"954,780 ","475,065 ","479,715 ","3,661,325 ","1,873,085 ","1,788,240 "
辰巳ふ頭,"35,501 ","125,123 ",-,-,-,-,-,-,"35,501 ","13,464 ","22,037 ","125,123 ","48,306 ","76,817 "
青海コンテナふ頭（公共）,"782,525 ","2,818,732 ","768,475 ","155,198 ","613,277 ","2,754,669 ","512,748 ","2,241,921 ","14,050 ","8,753 ","5,297 ","64,063 ","40,225 ","23,838 "
大井水産物ふ頭,-,50 ,-,-,-,50 ,50 ,-,-,-,-,-,-,-
大井食品ふ頭（OL）,"27,634 ","87,382 ","23,142 ",-,"23,142 ","66,055 ",-,"66,055 ","4,492 ",-,"4,492 ","21,327 ",-,"21,327 "
大井食品ふ頭（OM）,"8,861 ","28,360 ","8,861 ",-,"8,861 ","28,360 ",-,"28,360 ",-,-,-,-,-,-
若洲内貿ふ頭,"57,356 ","212,308 ",-,-,-,-,-,-,"57,356 ","44,354 ","13,002 ","212,308 ","159,260 ","53,048 "
15号地木材ふ頭,"3,442 ","23,537 ","3,442 ",706 ,"2,736 ","20,375 ",706 ,"19,669 ",-,-,-,"3,162 ","1,032 ","2,130 "
若洲建材ふ頭,"61,512 ","253,827 ",-,-,-,-,-,-,"61,512 ","8,750 ","52,762 ","253,827 ","32,339 ","221,488 "
大井建材ふ頭,"132,420 ","507,050 ",-,-,-,-,-,-,"132,420 ",-,"132,420 ","507,050 ",-,"507,050 "
城南島建設発生土ふ頭,"69,440 ","245,960 ",-,-,-,-,-,-,"69,440 ","69,440 ",-,"245,960 ","245,960 ",-
中央防波堤内側ばら物ふ頭,"56,421 ","118,569 ","52,818 ",-,"52,818 ","102,995 ",-,"102,995 ","3,603 ","2,400 ","1,203 ","15,574 ","6,691 ","8,883 "
中央防波堤内側建設発生土ふ頭,-,"26,741 ",-,-,-,-,-,-,-,-,-,"26,741 ","26,741 ",-
中央防波堤内側内貿ふ頭,"88,186 ","331,337 ",-,-,-,-,-,-,"88,186 ","44,453 ","43,733 ","331,337 ","170,205 ","161,132 "
東京港埠頭㈱計,"2,875,605 ","11,051,831 ","2,746,390 ","893,037 ","1,853,353 ","10,607,943 ","3,177,952 ","7,429,991 ","129,215 ","38,204 ","91,011 ","443,888 ","159,421 ","284,467 "
青海コンテナふ頭(埠頭㈱),"509,406 ","2,148,473 ","497,509 ","113,523 ","383,986 ","2,096,900 ","456,714 ","1,640,186 ","11,897 ","9,785 ","2,112 ","51,573 ","41,585 ","9,988 "
お台場ライナーふ頭,"80,533 ","301,597 ","65,089 ","48,382 ","16,707 ","233,860 ","173,374 ","60,486 ","15,444 ","1,731 ","13,713 ","67,737 ","5,085 ","62,652 "
大井コンテナふ頭,"2,285,666 ","8,601,761 ","2,183,792 ","731,132 ","1,452,660 ","8,277,183 ","2,547,864 ","5,729,319 ","101,874 ","26,688 ","75,186 ","324,578 ","112,751 ","211,827 "
民間計,"1,133,414 ","4,723,185 ","246,672 ","51,148 ","195,524 ","888,131 ","150,290 ","737,841 ","886,742 ","38,638 ","848,104 ","3,835,054 ","177,294 ","3,657,760 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
