 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"1,174,212",101.4%,"1,157,668","4,113,832",96.8%,"4,250,958"
,,その他化学工業品,"165,955",113.9%,"145,712","611,849",103.5%,"591,410"
,,産業機械,"163,856",94.9%,"172,613","599,358",90.7%,"660,788"
,,自動車部品,"162,044",127.2%,"127,436","516,603",105.4%,"490,059"
,,再利用資材,"154,249",80.2%,"192,405","571,414",87.6%,"652,071"
,,電気機械,"65,410",104.8%,"62,439","233,405",98.6%,"236,713"
,,金属くず,"55,204",83.2%,"66,331","194,497",117.3%,"165,812"
,,ゴム製品,"33,292",129.7%,"25,672","111,978",96.3%,"116,327"
,,金属製品,"28,123",104.1%,"27,004","105,561",102.5%,"102,970"
,輸入,合計,"3,025,910",98.0%,"3,087,826","11,728,033",99.6%,"11,770,765"
,,衣服・身廻品・はきもの,"361,988",98.7%,"366,580","1,452,690",99.6%,"1,457,986"
,,電気機械,"258,123",106.0%,"243,495","1,051,365",106.0%,"991,870"
,,製造食品,"212,642",100.6%,"211,461","804,269",101.2%,"794,632"
,,その他化学工業品,"186,916",96.3%,"194,126","772,346",105.9%,"729,487"
,,家具装備品,"172,149",100.4%,"171,395","700,676",101.8%,"688,411"
,,野菜・果物,"171,482",100.5%,"170,687","599,168",88.7%,"675,147"
,,その他畜産品,"145,143",100.1%,"145,013","528,390",97.2%,"543,664"
,,産業機械,"130,412",101.3%,"128,767","494,156",100.4%,"491,972"
内貿貨物,移出,合計,"1,263,957",91.4%,"1,383,274","5,015,205",92.9%,"5,400,868"
,,完成自動車,"668,000",94.1%,"710,235","2,681,097",98.6%,"2,718,192"
,,取合せ品,"271,984",98.5%,"276,189","1,002,258",100.0%,"1,001,847"
,,廃土砂,"88,113",68.6%,"128,516","361,949",63.6%,"569,220"
,,紙・パ　ル　プ,"23,725",193.0%,"12,291","88,206",142.3%,"62,005"
,,飲料,"23,105",82.0%,"28,172","87,746",86.7%,"101,223"
,,その他日用品,"19,584",99.9%,"19,604","72,637",113.4%,"64,069"
,,重油,"16,443",80.2%,"20,507","79,570",108.4%,"73,382"
,,製造食品,"16,168",92.4%,"17,495","64,013",94.1%,"68,015"
,移入,合計,"2,141,888",96.9%,"2,211,447","8,536,748",99.5%,"8,575,897"
,,完成自動車,"556,101",103.0%,"539,863","2,088,355",105.3%,"1,983,897"
,,その他の石油,"372,294",98.7%,"377,149","1,526,153",101.9%,"1,497,149"
,,砂利・砂,"319,220",83.4%,"382,916","1,351,067",89.9%,"1,503,127"
,,取合せ品,"210,120",105.7%,"198,781","753,874",98.6%,"764,328"
,,セメント,"187,732",86.3%,"217,644","863,587",100.0%,"863,983"
,,紙・パ　ル　プ,"129,326",103.8%,"124,574","491,974",101.0%,"487,131"
,,鋼材,"97,997",106.5%,"91,999","379,133",100.8%,"376,049"
,,石材,"81,515",93.8%,"86,900","326,847",97.2%,"336,305"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
