 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,830",617,"5,986","1,508",270,617,832,"1,508","1,560",-,"5,154",-
,31.7%,33.8%,45.0%,27.6%,19.0%,33.8%,28.6%,27.6%,35.8%,-,49.6%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"117,440","21,712","466,953","92,922","33,842","21,590","127,342","92,200","83,598",122,"339,611",722
,107.3%,136.3%,111.3%,138.0%,100.7%,137.3%,112.6%,138.5%,110.2%,59.5%,110.8%,94.5%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"11,364","6,736","44,315","20,468","3,212","6,687","12,902","20,232","8,152",49,"31,413",236
,89.8%,155.6%,93.3%,118.6%,78.2%,160.1%,93.1%,121.2%,95.4%,31.8%,93.4%,41.8%
中国(香港含む),"72,622","47,670","283,323","192,866","14,379","47,638","48,146","192,425","58,243",32,"235,177",441
,91.5%,99.7%,90.8%,99.5%,93.4%,100.2%,85.7%,99.8%,91.0%,13.5%,91.9%,42.8%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"25,466","24,272","87,613","78,018","10,792","20,702","41,300","70,008","14,674","3,570","46,313","8,010"
,104.1%,103.6%,87.7%,87.5%,78.1%,95.7%,73.0%,85.6%,137.8%,199.7%,106.8%,108.4%
内航定期計,"21,089","7,859","71,875","20,185","9,006","4,297","34,280","12,201","12,083","3,562","37,595","7,984"
,115.0%,175.3%,103.4%,112.9%,95.6%,158.9%,94.6%,107.3%,135.4%,200.1%,112.9%,122.7%
北海道,"6,799",478,"22,671",654,"3,505",478,"11,868",654,"3,294",-,"10,803",-
,116.3%,327.4%,96.6%,52.5%,106.8%,628.9%,95.4%,161.5%,128.5%,-,97.9%,-
東北,"3,061",750,"13,425","2,975","1,474",688,"6,664","2,693","1,587",62,"6,761",282
,76.5%,63.1%,87.3%,59.7%,77.7%,62.8%,86.0%,61.8%,75.4%,66.7%,88.6%,45.0%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,10.0%,72.9%,-,-,-,162.8%,-,-,73.3%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"3,196","2,485","8,288","5,889",179,"2,464","1,739","5,867","3,017",21,"6,549",22
,187.8%,272.5%,122.9%,122.4%,32.7%,297.9%,83.4%,140.8%,261.4%,24.7%,140.6%,3.4%
近畿,"1,994",703,"5,779","2,850",154,655,479,"2,754","1,840",48,"5,300",96
,237.9%,106.4%,263.4%,123.5%,855.6%,104.1%,243.1%,124.7%,224.4%,150.0%,265.4%,97.0%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,690",17,"9,632",127,"1,141",12,"4,187",54,"1,549",5,"5,445",73
,103.5%,12.1%,98.5%,40.6%,98.2%,26.7%,91.5%,36.7%,107.9%,5.3%,104.7%,44.0%
沖縄,"3,349","3,426","11,729","7,550","2,553",-,"9,121",39,796,"3,426","2,608","7,511"
,103.8%,245.9%,102.0%,187.7%,105.6%,-,103.8%,-,98.6%,245.9%,96.1%,186.7%
内航不定期,"4,377","16,413","15,738","57,833","1,786","16,405","7,020","57,807","2,591",8,"8,718",26
,71.5%,86.6%,51.7%,81.1%,40.6%,86.6%,34.5%,82.1%,150.3%,100.0%,86.6%,2.9%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
