（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"3,025,910",98.0%,"11,728,033",99.6%,100.0%
1,中国,"1,213,395",98.9%,"4,801,525",98.5%,40.9%
,(香港),"126,845",77.3%,"530,666",81.5%,4.5%
2,アメリカ,"398,019",96.0%,"1,383,644",92.0%,11.8%
3,タイ,"180,195",91.3%,"781,202",101.2%,6.7%
4,ベトナム,"167,775",108.0%,"692,133",112.3%,5.9%
5,台湾,"122,268",104.3%,"516,789",115.5%,4.4%
6,カナダ,"122,201",73.0%,"462,042",92.5%,3.9%
7,韓国,"115,063",96.0%,"449,031",100.3%,3.8%
8,シンガポール,"94,054",106.8%,"381,351",111.1%,3.3%
9,フィリピン,"90,066",106.6%,"378,327",97.5%,3.2%
10,マレーシア,"73,749",99.3%,"335,533",109.4%,2.9%
11,インドネシア,"71,218",103.2%,"302,372",107.6%,2.6%
12,ドイツ,"52,976",112.6%,"184,650",100.3%,1.6%
13,オランダ,"44,258",97.8%,"156,995",87.0%,1.3%
14,チリ,"20,554",49.0%,"117,712",65.4%,1.0%
15,フランス,"30,381",111.9%,"104,498",102.2%,0.9%
16,ニュージーランド,"34,989",106.8%,"88,083",96.5%,0.8%
17,オーストラリア,"50,629",154.7%,"59,002",130.7%,0.5%
18,イギリス,"16,813",131.7%,"53,187",102.4%,0.5%
19,イタリア,"14,782",130.0%,"51,495",113.7%,0.4%
20,メキシコ,"14,951",67.9%,"45,886",63.7%,0.4%
,その他,"97,574",96.7%,"382,576",113.1%,3.3%
9,フィヱ｢食品,水産品
,"3,107",0.3%,918,474,432,354,225
,111.0%,,187.0%,292.6%,173.5%,64.0%,150.0%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,再利用資材,その他化学工業品,産業機械,自動車部品,電気機械
,"453,043",44.8%,"137,099","74,042","38,399","21,934","19,150"
,103.6%,,209.7%,95.2%,77.7%,69.1%,88.4%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,電気機械,産業機械,金属くず
,"35,132",3.5%,"10,923","5,928","2,771","2,712","1,945"
,82.8%,,118.2%,89.2%,126.6%,52.9%,112.5%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,電気機械,その他製造工業品
,"162,285",16.0%,"49,452","43,460","14,369","6,243","4,882"
,83.7%,,66.2%,106.9%,77.2%,86.4%,62.5%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
合計,,,再利用3年(1958),"22,813","14,206,420","1,123","4,880,610",228,"1,117,128",895,"3,763,482","8,378","8,230,756","13,312","1,095,054"
　　34年(1959),"27,371","16,541,679","1,365","6,458,488",382,"2,115,355",983,"4,343,133","10,565","8,903,287","15,441","1,179,904"
　　35年(1960),"31,776","18,813,605","1,463","6,958,887",425,"2,368,309","1,038","4,590,578","12,193","10,407,207","18,120","1,447,511"
　　36年(1961),"32,767","21,236,006","1,628","8,126,435",578,"3,790,564","1,050","4,335,871","12,369","11,471,669","18,770","1,637,902"
　　37年(1962),"31,358","20,843,653","1,649","7,914,734",447,"3,023,224","1,202","4,891,510","12,523","11,454,327","17,186","1,474,592"
　　38年(1963),"33,936","23,208,548","2,156","9,696,410",567,"3,958,951","1,589","5,737,459","15,090","11,866,546","16,690","1,645,592"
　　39年(1964),"45,886","26,635,511","2,087","10,002,568",673,"4,558,534","1,414","5,444,034","18,754","13,741,580","25,045","2,891,363"
　　40年(1965),"53,381","28,496,962","2,254","10,084,734",668,"4,395,563","1,586","5,689,171","18,805","13,754,788","32,322","4,657,440"
　　41年(1966),"57,356","32,242,435","2,557","11,712,269",902,"6,027,019","1,655","5,685,250","20,087","14,550,872","34,712","5,979,294"
　　42年(1967),"64,502","37,443,913","2,480","12,417,382",958,"6,802,266","1,522","5,615,116","24,814","16,595,857","37,208","8,430,674"
　　43年(1968),"68,894","39,230,470","2,664","13,268,983","1,030","7,164,348","1,634","6,104,635","25,055","16,846,465","41,175","9,115,022"
　　44年(1969),"70,158","39,898,759","2,614","13,531,985",999,"6,618,056","1,615","6,913,929","24,836","16,945,212","42,708","9,421,562"
　　45年(1970),"76,816","39,006,107","2,796","15,001,764","1,174","8,045,152","1,622","6,956,612","26,346","17,649,583","47,674","6,354,760"
　　46年(1971),"76,586","38,476,032","2,765","13,957,785","1,131","7,322,758","1,634","6,635,027","25,912","17,877,089","47,909","6,641,158"
　　47年(1972),"79,763","45,861,461","2,782","18,196,663","1,238","9,650,580","1,544","8,546,083","76,981","27,664,798",汽船(内航船)に含む,
　　48年(1973),"81,689","58,857,408","2,978","24,907,701","1,562","14,521,744","1,416","10,385,957","78,711","33,949,707",(以下同じ),
　　49年(1974),"72,222","62,921,959","3,010","25,589,597","1,726","15,101,968","1,284","10,487,629","69,212","37,332,362",,
　　50年(1975),"65,444","64,092,745","3,096","27,424,364","1,805","16,110,140","1,291","11,314,224","62,348","36,668,381",,
　　51年(1976),"64,794","65,743,008","3,428","30,209,851","2,192","18,531,779","1,236","11,678,072","61,366","35,533,157",,
　　52年(1977),"65,014","70,380,266","3,710","34,904,530","2,425","21,964,892","1,285","12,939,638","61,304","35,475,736",,
　　53年(1978),"63,582","72,455,485","3,853","36,916,437","2,605","23,825,729","1,248","13,090,708","59,729","35,539,048",,
　　54年(1979),"64,116","75,338,078","4,090","39,370,492","2,730","25,464,881","1,360","13,905,611","60,026","35,967,586",,
