 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,平成31年(2019年),,,,,,平成30年(2018年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,894","14,030,164",429,"10,478,863","1,465","3,551,301","1,834","14,432,925",440,"10,830,089","1,394","3,602,836"
,103.3%,97.2%,97.5%,96.8%,105.1%,98.6%,,,,,,
２月　,"1,883","13,944,490",399,"10,319,664","1,484","3,624,826","1,983","13,924,842",421,"10,359,544","1,562","3,565,298"
,95.0%,100.1%,94.8%,99.6%,95.0%,101.7%,,,,,,
３月　,"2,134","15,813,494",459,"11,612,037","1,675","4,201,457","2,105","14,753,593",450,"10,811,631","1,655","3,941,962"
,101.4%,107.2%,102.0%,107.4%,101.2%,106.6%,,,,,,
４月　,"2,010","16,083,222",454,"12,224,020","1,556","3,859,202","2,021","15,131,346",460,"11,352,932","1,561","3,778,414"
,99.5%,106.3%,98.7%,107.7%,99.7%,102.1%,,,,,,
５月　,-,-,-,-,-,-,"2,069","15,293,599",478,"11,606,409","1,591","3,687,190"
,-,-,-,-,-,-,,,,,,
６月　,-,-,-,-,-,-,"2,033","15,526,232",474,"11,652,580","1,559","3,873,652"
,-,-,-,-,-,-,,,,,,
７月　,-,-,-,-,-,-,"2,093","16,001,895",466,"11,998,742","1,627","4,003,153"
,-,-,-,-,-,-,,,,,,
８月　,-,-,-,-,-,-,"1,947","15,349,486",463,"11,747,689","1,484","3,601,797"
,-,-,-,-,-,-,,,,,,
９月　,-,-,-,-,-,-,"1,935","15,032,128",449,"11,244,739","1,486","3,787,389"
,-,-,-,-,-,-,,,,,,
１０月　,-,-,-,-,-,-,"2,135","15,718,971",456,"11,688,322","1,679","4,030,649"
,-,-,-,-,-,-,,,,,,
１１月　,-,-,-,-,-,-,"2,131","16,321,942",477,"12,340,431","1,654","3,981,511"
,-,-,-,-,-,-,,,,,,
１２月　,-,-,-,-,-,-,"2,088","15,625,053",463,"11,702,255","1,625","3,922,798"
,-,-,-,-,-,-,,,,,,
累計,"7,921","59,871,370","1,741","44,634,584","6,180","15,236,786","24,374","183,112,012","5,497","137,335,363","18,877","45,776,649"
,99.7%,102.8%,98.3%,103.0%,100.1%,102.3%,,,,,,
前年累計,"7,943","58,242,706","1,771","43,354,196","6,172","14,888,510",,,,,,
増(－)減,-22,"1,628,664",-30,"1,280,388",8,"348,276",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
