 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,010 ","16,083,222 ","7,921 ","59,871,370 ",454 ,"12,224,020 ","1,741 ","44,634,584 ","1,556 ","3,859,202 ","6,180 ","15,236,786 "
公共計,987 ,"6,070,180 ","3,858 ","21,876,898 ",189 ,"3,124,368 ",699 ,"10,305,713 ",798 ,"2,945,812 ","3,159 ","11,571,185 "
ドルフィン,4 ,"2,988 ",20 ,"13,197 ",-,-,-,-,4 ,"2,988 ",20 ,"13,197 "
芝浦ふ頭,33 ,"83,106 ",122 ,"296,871 ",-,-,-,-,33 ,"83,106 ",122 ,"296,871 "
芝浦物揚場,22 ,"10,129 ",97 ,"44,683 ",-,-,-,-,22 ,"10,129 ",97 ,"44,683 "
日の出ふ頭,7 ,"5,379 ",26 ,"21,034 ",-,-,-,-,7 ,"5,379 ",26 ,"21,034 "
竹芝ふ頭,139 ,"312,311 ",615 ,"1,430,169 ",-,-,-,-,139 ,"312,311 ",615 ,"1,430,169 "
品川岸壁,152 ,"1,614,187 ",584 ,"6,242,439 ",77 ,"780,548 ",300 ,"3,015,132 ",75 ,"833,639 ",284 ,"3,227,307 "
品川コンテナ,81 ,"719,605 ",314 ,"2,850,058 ",72 ,"712,138 ",286 ,"2,823,584 ",9 ,"7,467 ",28 ,"26,474 "
品川外貿,5 ,"68,410 ",14 ,"191,548 ",5 ,"68,410 ",14 ,"191,548 ",-,-,-,-
品川内貿,66 ,"826,172 ",256 ,"3,200,833 ",-,-,-,-,66 ,"826,172 ",256 ,"3,200,833 "
晴海ふ頭,11 ,"305,249 ",23 ,"421,878 ",6 ,"284,643 ",12 ,"382,521 ",5 ,"20,606 ",11 ,"39,357 "
月島ふ頭,3 ,"1,147 ",10 ,"3,422 ",-,-,-,-,3 ,"1,147 ",10 ,"3,422 "
漁業基地,6 ,"8,616 ",7 ,"9,602 ",-,-,-,-,6 ,"8,616 ",7 ,"9,602 "
10号西岸壁,71 ,"734,046 ",271 ,"2,875,504 ",-,-,-,-,71 ,"734,046 ",271 ,"2,875,504 "
10号東岸壁,36 ,"16,105 ",129 ,"57,250 ",-,-,-,-,36 ,"16,105 ",129 ,"57,250 "
東京港フェリーふ頭,30 ,"379,080 ",115 ,"1,453,140 ",-,-,-,-,30 ,"379,080 ",115 ,"1,453,140 "
多目的ふ頭,3 ,"10,667 ",5 ,"14,209 ",-,-,-,-,3 ,"10,667 ",5 ,"14,209 "
辰巳ふ頭,86 ,"30,178 ",320 ,"113,828 ",-,-,-,-,86 ,"30,178 ",320 ,"113,828 "
青海コンテナふ頭（公共）,138 ,"1,637,678 ",526 ,"6,132,294 ",90 ,"1,600,177 ",340 ,"5,961,474 ",48 ,"37,501 ",186 ,"170,820 "
有明ふ頭,11 ,"9,662 ",25 ,"22,911 ",-,-,-,-,11 ,"9,662 ",25 ,"22,911 "
大井水産物ふ頭,2 ,"226,188 ",3 ,"226,567 ",2 ,"226,188 ",3 ,"226,567 ",-,-,-,-
大井食品ふ頭（OL）,19 ,"101,051 ",72 ,"299,320 ",5 ,"99,024 ",13 ,"289,561 ",14 ,"2,027 ",59 ,"9,759 "
大井食品ふ頭（OM）,5 ,"44,810 ",19 ,"170,346 ",5 ,"44,810 ",19 ,"170,346 ",-,-,-,-
若洲内貿ふ頭,13 ,"130,442 ",48 ,"481,632 ",-,-,-,-,13 ,"130,442 ",48 ,"481,632 "
15号地木材ふ頭,1 ,"32,749 ",12 ,"133,090 ",1 ,"32,749 ",4 ,"131,442 ",-,-,8 ,"1,648 "
若洲建材ふ頭,37 ,"21,930 ",160 ,"91,799 ",-,-,-,-,37 ,"21,930 ",160 ,"91,799 "
大井建材ふ頭,85 ,"49,517 ",348 ,"199,456 ",-,-,-,-,85 ,"49,517 ",348 ,"199,456 "
城南島建設発生土ふ頭,39 ,"25,229 ",164 ,"102,146 ",-,-,-,-,39 ,"25,229 ",164 ,"102,146 "
中央防波堤内側ばら物ふ頭,5 ,"57,724 ",18 ,"134,042 ",3 ,"56,229 ",8 ,"128,670 ",2 ,"1,495 ",10 ,"5,372 "
中央防波堤内側建設発生土ふ頭,-,-,9 ,"12,213 ",-,-,-,-,-,-,9 ,"12,213 "
中央防波堤内側内貿ふ頭,20 ,"211,746 ",80 ,"846,984 ",-,-,-,-,20 ,"211,746 ",80 ,"846,984 "
官公庁（晴海）,2 ,"4,739 ",7 ,"15,579 ",-,-,-,-,2 ,"4,739 ",7 ,"15,579 "
官公庁（月島）,6 ,"1,030 ",20 ,"3,802 ",-,-,-,-,6 ,"1,030 ",20 ,"3,802 "
官公庁（有明）,1 ,"2,497 ",3 ,"7,491 ",-,-,-,-,1 ,"2,497 ",3 ,"7,491 "
東京港埠頭㈱計,394 ,"9,068,962 ","1,462 ","34,127,198 ",240 ,"8,821,490 ",945 ,"33,220,599 ",154 ,"247,472 ",517 ,"906,599 "
青海コンテナふ頭(埠頭㈱),72 ,"1,853,286 ",289 ,"7,202,737 ",62 ,"1,844,201 ",243 ,"7,155,620 ",10 ,"9,085 ",46 ,"47,117 "
お台場ライナーふ頭,36 ,"341,306 ",138 ,"968,747 ",15 ,"263,897 ",48 ,"667,068 ",21 ,"77,409 ",90 ,"301,679 "
大井コンテナふ頭,286 ,"6,874,370 ","1,035 ","25,955,714 ",163 ,"6,713,392 ",654 ,"25,397,911 ",123 ,"160,978 ",381 ,"557,803 "
民間計,629 ,"944,080 ","2,601 ","3,867,274 ",25 ,"278,162 ",97 ,"1,108,272 ",604 ,"665,918 ","2,504 ","2,759,002 "
,,,,,,,,,,,,
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
