5-(4)　　波浮港,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"69,607","4,095","65,512",,　　　　事務用機器,,264,2,2,‐
【一般】,,,"69,607","4,095","65,512",,　　　　その他機械,,265,29,29,‐
(1)　農水産品,,,118,41,77,,(5)　化学工業品,,,"9,783",‐,"9,783"
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,8,‐,8,,　　　　セメント,,281,"6,088",‐,"6,088"
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,15,‐,15
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,"2,987",‐,"2,987"
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,‐,‐,‐,,　　　　石油製品,,321,7,‐,7
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,5,‐,5,,　　　　LPG（液化石油ガス）,,323,634,‐,634
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,52,‐,52,,　　　　コークス,,331,‐,‐,‐
         水産品,,81,53,41,12,,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,78,10,68,,　　　　化学薬品,,351,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,68,‐,68,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,52,‐,52
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,102,‐,102
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,10,10,‐,,　　　　糸及び紡績半製品,,391,‐,‐,‐
