5-(12)　　八重根港,,,,,,,,,,,,
④　海上出入貨物,,,,,単位： トン,,,,,,,
品　　　種　　　等,,コード,総　　数,移出,移入,,品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"22,423",862,"21,561",,　　　　事務用機器,,264,‐,‐,‐
【一般】,,,"22,423",862,"21,561",,　　　　その他機械,,265,‐,‐,‐
(1)　農水産品,,,603,134,469,,(5)　化学工業品,,,459,‐,459
　　　　麦,,11,‐,‐,‐,,　　　　陶磁器,,271,‐,‐,‐
　　　　米,,21,9,‐,9,,　　　　セメント,,281,244,‐,244
　　　　とうもろこし,,22,‐,‐,‐,,　　　　ガラス類,,291,‐,‐,‐
　　　　豆類,,23,‐,‐,‐,,　　　　窯業品,,301,68,‐,68
　　　　その他雑穀,,24,‐,‐,‐,,　　　　重油,,311,‐,‐,‐
　　　　野菜・果物,,31,93,‐,93,,　　　　石油製品,,321,11,‐,11
　　　　綿花,,41,‐,‐,‐,,　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　その他農産品,,51,46,43,3,,　　　　LPG（液化石油ガス）,,323,136,‐,136
　　　　羊毛,,61,‐,‐,‐,,　　　　石油製品,,324,‐,‐,‐
　　　　その他畜産品,,71,112,1,111,,　　　　コークス,,331,‐,‐,‐
         水産品,,81,343,90,253,,　　　　石炭製品,,341,‐,‐,‐
(2)　林産品,,,88,48,40,,　　　　化学薬品,,351,‐,‐,‐
　　　　原木,,91,‐,‐,‐,,　　　　化学肥料,,361,‐,‐,‐
　　　　製材,,92,39,‐,39,,"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,‐,‐,‐
　　　　樹脂類,,101,‐,‐,‐,,(6)　軽工業品,,,108,11,97
　　　　木材チップ,,111,‐,‐,‐,,　　　　紙、パルプ,,381,‐,‐,‐
　　　　その他林産品,,112,49,48,1,,　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐,,　　　　その他繊維工業品,,401,‐,‐,‐
(3)　鉱産品,,,"18,917",‐,"18,917",,　　　　砂糖,,411,‐,‐,‐
　　　　石炭,,131,‐,‐,‐,,　　　　製造食品,,421,14,7,7
　　　　鉄鉱石,,141,‐,‐,‐,,　　　　飲料,,422,94,4,90
　　　　金属鉱,,151,‐,‐,‐,,　　　　水,,423,‐,‐,‐
　　　　砂利・砂,,161,"18,917",‐,"18,917",,　　　　たばこ,,424,‐,‐,‐
　　　　石材,,162,‐,‐,‐,,　　　　その他食料工業品,,425,‐,‐,‐
　　　　原油,,171,‐,‐,‐,,(7)　雑工業品,,,245,50,195
　　　　りん鉱石,,181,‐,‐,‐,,　　　　がん具,,431,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐,,　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
　　　　原塩,,201,‐,‐,‐,,"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐,,　　　　家具装備品,,443,‐,‐,‐
(4)  金属機械工業品,,,707,130,577,,　　　　その他日用品,,444,157,29,128
　　　　鉄鋼,,221,‐,‐,‐,,　　　　ゴム製品,,451,‐,‐,‐
　　　　鋼材,,222,‐,‐,‐,,　　　　木製品,,461,‐,‐,‐
　　　　非鉄金属,,231,‐,‐,‐,,　　　　その他製造工業品,,471,88,21,67
　　　　金属製品,,241,435,59,376,,(8)　特殊品,,,"1,245",488,757
　　　　鉄道車両,,251,‐,‐,‐,,　　　　金属くず,,481,4,‐,4
　　　　完成自動車,,252,205,32,173,,　　　　再利用資材,,491,6,‐,6
　　　　その他輸送用車両,,253,65,39,26,,　　　　動植物性製造飼肥料,,501,42,‐,42
　　　　二輪自動車,,254,2,‐,2,,　　　　廃棄物,,511,85,82,3
　　　　自動車部品,,255,‐,‐,‐,,　　　　廃土砂,,512,69,68,1
　　　　その他輸送機械,,256,‐,‐,‐,,　　　　輸送用容器,,521,430,245,185
　　　　産業機械,,261,‐,‐,‐,,　　　　取合せ品,,531,609,93,516
　　　　電気機械,,262,‐,‐,‐,,(9)　分類不能のもの,,541,51,1,50
　　　　測量・光学・医療用機械,,263,‐,‐,‐,,【自航】,,,‐,‐,‐
