開票区名,計,（１）吉田ただとも,（２）福島みずほ,（３）ますぐち敏行,（４）田山英次,（５）かつら川悟,（６）伊藤よしき,（７）しいの隆
★都計,49690.740,4237.011,44103.000,176.039,212.000,108.000,393.631,461.059
☆区部計,33632.126,2759.625,30013.000,114.039,144.000,68.000,232.403,301.059
千代田区,250.000,30.000,220.000,0.000,0.000,0.000,0.000,0.000
中央区,367.000,37.000,323.000,2.000,0.000,2.000,0.000,3.000
港区,705.000,53.000,643.000,3.000,1.000,1.000,2.000,2.000
新宿区,1427.909,120.909,1280.000,2.000,7.000,2.000,14.000,2.000
文京区,1142.875,98.875,1026.000,4.000,1.000,0.000,4.000,9.000
台東区,523.035,36.000,470.000,1.000,1.000,4.000,3.035,8.000
墨田区,660.841,64.771,576.000,1.000,4.000,1.000,8.070,6.000
江東区,1585.915,162.704,1352.000,4.000,13.000,1.000,17.180,36.031
品川区,1078.883,106.834,946.000,2.000,4.000,2.000,6.049,12.000
目黒区,902.000,76.000,807.000,1.000,4.000,3.000,5.000,6.000
大田区,2138.006,205.807,1863.000,11.020,12.000,4.000,17.179,25.000
世田谷区,4802.898,374.850,4343.000,9.000,20.000,11.000,21.048,24.000
渋谷区,856.013,64.000,779.000,3.000,1.000,0.000,3.013,6.000
中野区,1405.000,96.000,1288.000,3.000,3.000,0.000,8.000,7.000
杉並区,3200.869,200.869,2954.000,6.000,13.000,3.000,13.000,11.000
豊島区,1102.000,73.000,1012.000,2.000,3.000,2.000,7.000,3.000
北区,1645.129,112.000,1480.000,9.000,8.000,4.000,16.129,16.000
荒川区,542.795,39.750,492.000,1.000,1.000,1.000,3.045,5.000
板橋区,2015.859,171.777,1796.000,5.012,8.000,6.000,15.070,14.000
練馬区,3079.492,267.416,2722.000,19.000,16.000,4.000,20.062,31.014
足立区,1496.099,123.000,1320.000,9.007,6.000,1.000,17.078,20.014
葛飾区,1137.858,88.698,1005.000,7.000,7.000,5.000,13.160,12.000
江戸川区,1566.650,156.365,1316.000,10.000,11.000,11.000,19.285,43.000
☆市部計,15903.614,1463.386,13958.000,62.000,66.000,39.000,161.228,154.000
八王子市,1972.802,173.590,1715.000,10.000,13.000,5.000,26.212,30.000
