開票区名,計,（１）よこやま信一,（２）長沢ひろあき,（３）浜田まさよし,（４）熊野せいし,（５）谷あい正明,（６）あきの公造,（７）飯塚栄治,（８）栗岡哲平,（９）坂本道応,（１０）佐藤史成,（１１）高田清久,（１２）高橋秀明,（１３）竹内真二,（１４）竹内秀伸,（１５）千葉宣男,（１６）星英一郎,（１７）宮崎勝
★都計,365247.036,14858.868,330212.000,4566.608,1964.000,3108.000,3668.958,298.000,113.000,329.000,342.581,344.000,594.290,1549.176,903.555,250.000,542.000,1603.000
☆区部計,246619.316,10348.868,222610.000,3259.141,1195.000,1966.000,2412.958,213.000,79.000,240.000,251.794,248.000,412.028,1093.102,642.425,180.000,389.000,1079.000
千代田区,635.155,20.000,551.000,15.000,6.000,9.000,19.000,0.000,0.000,0.000,0.000,1.000,1.000,2.062,3.093,0.000,2.000,6.000
中央区,2064.520,80.000,1842.000,28.000,21.000,22.000,34.000,1.000,1.000,1.000,2.000,4.000,3.000,10.434,2.086,0.000,7.000,6.000
港区,3492.924,140.000,3057.000,76.000,33.000,50.000,67.000,0.000,1.000,0.000,5.500,3.000,4.000,16.991,7.433,4.000,5.000,23.000
新宿区,7831.326,247.000,7162.000,91.000,40.000,72.000,103.000,3.000,1.000,5.000,3.000,6.000,10.833,25.333,12.160,3.000,10.000,37.000
文京区,3406.728,177.000,2993.000,49.000,26.000,42.000,47.000,1.000,1.000,4.000,6.428,3.000,3.000,14.210,6.090,4.000,5.000,25.000
台東区,3969.931,184.000,3567.000,56.000,19.000,24.000,45.000,10.000,0.000,2.000,0.000,4.000,5.000,19.708,6.223,2.000,13.000,13.000
墨田区,7385.234,321.000,6662.000,84.000,34.000,64.000,62.000,9.000,1.000,7.000,8.727,8.000,26.000,26.834,21.673,5.000,10.000,35.000
江東区,14223.039,791.000,12586.000,192.000,58.000,100.000,159.000,14.000,6.000,20.000,16.121,19.000,17.326,80.616,51.976,23.000,28.000,61.000
品川区,8750.296,346.000,7906.000,127.000,53.000,77.000,94.000,8.000,1.000,6.000,4.000,5.000,12.000,36.296,28.000,5.000,10.000,32.000
目黒区,4263.801,195.000,3736.000,90.000,30.000,62.000,79.000,5.000,2.000,3.000,8.000,3.000,5.000,10.471,7.330,1.000,5.000,22.000
大田区,21284.373,1092.000,19072.000,304.000,83.000,155.000,186.000,20.000,10.000,15.000,21.750,17.000,31.416,100.907,39.300,17.000,40.000,80.000
世田谷区,16678.887,845.000,14362.000,319.000,140.000,281.000,221.000,24.000,15.000,20.000,37.687,26.000,57.474,85.090,49.636,15.000,69.000,112.000
渋谷区,3708.000,130.000,3354.000,45.000,37.000,41.000,50.000,2.000,1.000,1.000,3.000,4.000,4.000,7.000,7.000,3.000,6.000,13.000
中野区,7195.514,260.000,6544.000,95.000,39.000,71.000,83.000,3.000,7.000,8.000,17.523,7.000,13.000,13.644,7.347,3.000,6.000,18.000
杉並区,9665.798,365.000,8664.000,159.621,73.000,115.000,142.000,7.000,3.000,11.000,6.300,21.000,16.500,25.906,13.471,4.000,12.000,27.000
豊島区,6479.658,236.000,5885.000,71.000,34.000,67.000,48.000,3.000,2.000,5.000,8.000,10.000,13.552,29.438,13.668,4.000,7.000,43.000
北区,12433.019,537.000,11228.000,174.000,47.000,78.000,111.000,9.000,1.000,12.000,8.320,22.000,13.000,67.638,30.061,5.000,15.000,75.000
荒川区,6144.380,168.000,5715.000,58.000,24.000,43.000,39.000,7.000,1.000,2.000,4.444,4.000,8.000,25.156,20.780,2.000,5.000,18.000
板橋区,17016.174,594.000,15588.000,182.000,61.000,153.000,136.000,8.000,2.000,35.000,10.384,12.000,19.791,71.578,48.421,9.000,19.000,67.000
練馬区,20961.054,829.868,19070.000,245.000,87.000,121.000,174.000,26.000,6.000,16.000,20.187,21.000,38.535,96.246,52.218,16.000,36.000,106.000
足立区,26514.388,898.000,24561.000,261.520,84.000,121.000,186.958,11.000,11.000,23.000,20.055,12.000,16.003,122.822,70.030,18.000,16.000,82.000
葛飾区,15235.724,530.000,14004.000,189.000,54.000,59.000,119.000,13.000,5.000,17.000,11.071,16.000,19.625,61.528,36.500,11.000,19.000,71.000
江戸川区,27279.393,1363.000,24501.000,348.000,112.000,139.000,208.000,29.000,1.000,27.000,29.297,20.000,73.973,143.194,107.929,26.000,44.000,107.000
☆市部計,116286.390,4414.000,105449.000,1288.467,765.000,1126.000,1245.000,85.000,34.000,86.000,89.787,94.000,180.262,442.171,253.703,68.000,150.000,516.000
八王子市,22815.975,862.000,20176.000,294.000,357.000,359.000,468.000,15.000,8.000,13.000,9.000,15.000,31.224,56.178,40.573,15.000,22.000,75.000
立川市,4894.674,222.000,4396.000,42.000,19.000,47.000,30.000,7.000,1.000,5.000,3.000,9.000,10.714,24.576,16.384,2.000,10.000,50.000
武蔵野市,2403.316,98.000,2118.000,38.000,20.000,36.000,31.000,2.000,2.000,2.000,4.000,4.000,5.000,16.266,3.050,1.000,8.000,15.000
三鷹市,3957.529,188.000,3538.000,47.000,21.000,51.000,36.000,5.000,2.000,5.000,3.500,2.000,6.000,17.625,11.404,2.000,2.000,20.000
青梅市,4096.631,194.000,3702.000,53.000,9.000,20.000,26.000,2.000,2.000,7.000,0.000,2.000,4.666,26.489,8.476,6.000,5.000,29.000
府中市,6336.920,178.000,5903.000,40.000,31.000,46.000,60.000,4.000,1.000,0.000,4.666,5.000,7.000,19.179,8.075,2.000,9.000,19.000
昭島市,3199.633,144.000,2863.000,32.000,17.000,32.000,23.000,1.000,2.000,6.000,9.000,4.000,2.000,19.089,9.544,3.000,3.000,30.000
調布市,5014.782,165.000,4609.000,57.000,22.000,40.000,50.000,3.000,0.000,4.000,2.000,5.000,4.000,17.443,13.339,3.000,4.000,16.000
町田市,10541.202,651.000,9158.000,196.467,56.000,112.000,98.000,17.000,4.000,13.000,17.371,10.000,25.651,64.530,30.183,8.000,20.000,60.000
小金井市,2066.067,70.000,1884.000,27.000,20.000,28.000,28.000,0.000,1.000,0.000,0.000,1.000,0.000,2.045,1.022,0.000,1.000,3.000
小平市,6315.691,159.000,5928.000,37.000,29.000,34.000,49.000,4.000,3.000,4.000,3.000,5.000,5.500,9.631,8.560,4.000,10.000,23.000
日野市,3990.188,148.000,3643.000,48.000,15.000,35.000,41.000,2.000,2.000,5.000,2.000,3.000,1.000,15.891,5.297,3.000,1.000,20.000
東村山市,5170.921,222.000,4765.000,41.000,18.000,24.000,28.000,1.000,2.000,1.000,5.000,8.000,7.500,16.293,7.128,2.000,3.000,20.000
国分寺市,2813.000,68.000,2616.000,21.000,14.000,21.000,30.000,2.000,0.000,2.000,4.000,0.000,4.000,8.000,4.000,1.000,3.000,15.000
国立市,1666.205,55.000,1545.000,11.000,7.000,13.000,23.000,0.000,0.000,0.000,0.000,0.000,2.000,4.117,3.088,0.000,2.000,1.000
福生市,2231.375,105.000,2019.000,20.000,5.000,21.000,16.000,1.000,1.000,0.000,1.000,2.000,3.000,14.625,6.750,3.000,6.000,7.000
狛江市,2011.832,74.000,1799.000,19.000,8.000,19.000,20.000,1.000,0.000,3.000,0.000,4.000,26.000,20.666,5.166,1.000,5.000,7.000
東大和市,3523.612,97.000,3299.000,23.000,6.000,22.000,18.000,3.000,0.000,1.000,3.000,3.000,3.000,16.451,13.161,1.000,4.000,11.000
清瀬市,2224.000,67.000,2079.000,19.000,5.000,13.000,13.000,0.000,0.000,1.000,1.000,1.000,4.000,4.000,4.000,0.000,6.000,7.000
東久留米市,3624.156,151.000,3298.000,43.000,15.000,25.000,22.000,6.000,1.000,4.000,5.000,3.000,3.000,12.578,12.578,4.000,1.000,18.000
武蔵村山市,3087.029,112.000,2806.000,38.000,5.000,16.000,23.000,1.000,0.000,1.000,2.000,2.000,13.607,10.677,11.745,0.000,6.000,39.000
多摩市,3596.256,118.000,3312.000,37.000,21.000,35.000,37.000,1.000,1.000,3.000,1.000,1.000,2.400,10.714,2.142,2.000,5.000,7.000
稲城市,2046.288,69.000,1895.000,18.000,9.000,11.000,11.000,1.000,0.000,2.000,3.000,1.000,2.000,8.210,3.078,1.000,6.000,6.000
羽村市,1588.031,55.000,1468.000,18.000,4.000,7.000,12.000,2.000,0.000,1.000,0.000,1.000,1.000,3.281,8.750,2.000,1.000,4.000
あきる野市,2320.666,41.000,2208.000,20.000,5.000,8.000,11.000,0.000,0.000,0.000,5.000,1.000,3.000,2.222,4.444,1.000,4.000,7.000
西東京市,4750.411,101.000,4422.000,49.000,27.000,51.000,41.000,4.000,1.000,3.000,2.250,2.000,3.000,21.395,11.766,1.000,3.000,7.000
☆西多摩郡計,1781.046,50.000,1664.000,14.000,2.000,12.000,6.000,0.000,0.000,3.000,1.000,2.000,1.000,10.761,5.285,2.000,2.000,6.000
瑞穂町,982.046,25.000,919.000,4.000,0.000,7.000,4.000,0.000,0.000,2.000,1.000,2.000,1.000,8.761,3.285,2.000,1.000,2.000
日の出町,575.000,20.000,530.000,10.000,1.000,3.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,2.000,0.000,1.000,3.000
檜原村,96.000,4.000,91.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
奥多摩町,128.000,1.000,124.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
☆島部計,560.284,46.000,489.000,5.000,2.000,4.000,5.000,0.000,0.000,0.000,0.000,0.000,1.000,3.142,2.142,0.000,1.000,2.000
大島支庁小計,213.000,8.000,194.000,2.000,2.000,2.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000
大島町,177.000,7.000,161.000,1.000,2.000,2.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
利島村,11.000,1.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
新島村,22.000,0.000,20.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
神津島村,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
三宅支庁小計,34.000,3.000,29.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
