令和3年7月4日 執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都議会議員選挙　党派別当選人数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
選   挙   区   名,定数,全党派計,全党派計,全党派計,全党派計,都民ファーストの会,都民ファーストの会,都民ファーストの会,都民ファーストの会,自由民主党,自由民主党,自由民主党,自由民主党,公明党,公明党,公明党,公明党,日本共産党,日本共産党,日本共産党,日本共産党,日本維新の会,日本維新の会,日本維新の会,日本維新の会,東京・生活者ネットワーク,東京・生活者ネットワーク,東京・生活者ネットワーク,東京・生活者ネットワーク,立憲民主党,立憲民主党,立憲民主党,立憲民主党,国民民主党,国民民主党,国民民主党,国民民主党,れいわ新選組,れいわ新選組,れいわ新選組,れいわ新選組,テレビ改革党,テレビ改革党,テレビ改革党,テレビ改革党,減税とうきょう,減税とうきょう,減税とうきょう,減税とうきょう,その他の党派,その他の党派,その他の党派,その他の党派,無所属,無所属,無所属,無所属
,,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計,新,現,元,計
　千代田区,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　千代田区(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　中央区,1,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　中央区(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　港区,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　港区(女性の内数),,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　新宿区,4,1,3,,4,,1,,1,1,,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　新宿区(女性の内数),,,+1,,+1,,,,,,,,,,,,,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　文京区,2,1,1,,2,,1,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　文京区(女性の内数),,+1,,,+1,,,,,,,,,,,,,+1,,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　台東区,2,1,1,,2,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　台東区(女性の内数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　墨田区,3,,3,,3,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　墨田区(女性の内数),,,+1,,+1,,+1,,+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　江東区,4,,4,,4,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
