行,名称,郵便番号,住所,電話番号,緯度,経度
1,中央図書館,1740071,板橋区常盤台4-3-1,03-6281-0291,35.763317,139.681006
2,蓮根図書館,1740046,板橋区蓮根3-15-1-101,03-3965-7351,35.78872881,139.6765722
3,志村図書館,1740051,板橋区小豆沢1-8-1,03-5994-3021,35.77319348,139.7000167
4,清水図書館,1740055,板橋区泉町16-16,03-3965-9701,35.7664743,139.702288
5,高島平図書館,1750082,板橋区高島平3-13-1,03-3939-6565,35.78770025,139.6591464
6,赤塚図書館,1750092,板橋区赤塚6-38-1,03-3939-5281,35.77877497,139.6447864
7,成増図書館,1750094,板橋区成増3-13-1,03-3977-6078,35.77883623,139.6322477
8,小茂根図書館,1730037,板橋区小茂根1-6-2,03-3554-8801,35.74565107,139.6809467
9,氷川図書館,1730013,板橋区氷川町28-9,03-3961-9981,35.75324706,139.7048242
10,東板橋図書館,1730003,板橋区加賀1-10-15,03-3579-2666,35.75447292,139.7158064
11,西台図書館,1750045,板橋区西台3-13-2,03-5399-1191,35.77397886,139.6689511
