通し番号,設置主体,保育園名,所在地,電話番号,開設年月日,保育年齢,0歳（運用定員）,1歳（運用定員）,2歳（運用定員）,3歳（運用定員）,4歳（運用定員）,5歳（運用定員）,計（運用定員）,基本保育時間,延長保育時間（月～金）,延長保育対象年齢,運営主体
1,私立,井の頭保育園,井の頭3-16-31,43-7916,S25.5.1,0～5,6,14,18,18,18,18,92,7：00～18：00,18：00～19：00,1歳児クラス～,社会福祉法人井の頭会
2,私立,第二小羊チャイルドセンター（本園）,北野3-10-14,43-9754,S47.3.1,0～3,7,17,20,20,-,-,64,7：00～18：00,18：00～19：00,満1歳～,社会福祉法人こひつじ会
2,私立,第二小羊チャイルドセンター（分園）,北野2- 6- 23,43-9754,H23.4.1,4～5,-,-,-,-,24,24,48,7：00～18：00,18：00～19：00,4歳、5歳クラス,社会福祉法人こひつじ会
3,私立,椎の実子供の家,大沢4-8-8,32-4103,S48.4.1,0～5,9,18,20,20,20,20,107,7：30～18：30,18：30～19：30,満1歳～,社会福祉法人楽山会
4,私立,あかね保育園,下連雀7-6-18,49-2671,S51.4.1,0～5,6,10,12,12,12,12,64,7：00～18：00,18：00～19：00,満1歳～,社会福祉法人あかね保育の会
5,私立,みたか小鳥の森保育園（本園）,井の頭5-22-8,45-4558,S57.4.1,0～2,9,12,12,-,-,-,33,7：00～18：00,18：00～19：00,満1歳～,社会福祉法人みたか小鳥の森福祉会
5,私立,みたか小鳥の森保育園（分園）,牟礼4-9-25,26-7800,H30.4.1,1～5,-,6,8,25,25,25,89,7：00～18：00,18：00～19：00,満1歳～,社会福祉法人みたか小鳥の森福祉会
6,私立,みたかつくしんぼ保育園,中原1-29-35,03-3308-3507,S60.4.1,0～5,11,12,12,12,12,12,71,7：00～18：00,18：00～20：00,0歳児クラス～,社会福祉法人新川中原保育会
7,私立,弘済保育所(おひさま保育園),下連雀5-2-5,49-8893,H20.4.1,0～5,8,8,10,14,14,14,68,7：00～18：00,18：00～19：00,満1歳～,社会福祉法人東京弘済園
8,私立,まなびの森保育園三鷹,新川６-５-１５,76-0708,H23.4.1,0～5,6,14,13,13,12,13,71,7：00～18：00,18：00～20：00,満1歳～,株式会社こどもの森
9,私立,第二椎の実子供の家,上連雀6-25-31,44-4103,H24.4.1,0～5,9,17,22,24,24,24,120,7：30～18：30,18：30～19：30,満1歳～,社会福祉法人楽山会
10,私立,にじいろ保育園三鷹下連雀,下連雀1-4-22,26-5684,H24.4.1,0～5,6,12,12,13,13,13,69,7：00～18：00,18：00～20：30,満1歳～,ライクキッズ株式会社
11,私立,ケンパ井の頭（本園）,井の頭1-14-5,70-0960,H24.4.1,1～5,-,8,15,15,15,15,68,7：30～18：30,18：30～20：30,1歳児クラス～,特定非営利活動法人ケンパ・ラーニング・コミュニティ協会
11,私立,ケンパ井の頭（分園）,井の頭1-31-22,70-7530,H30.4.1,0～1,9,7,-,-,-,-,16,7：30～18：30,18：30～20：30,1歳児クラス～,特定非営利活動法人ケンパ・ラーニング・コミュニティ協会
12,私立,京進のほいくえんHOPPAたかの子,井口１-10-19,34-7200,H26.4.1,0～5,6,15,18,20,20,20,99,7：30～18：30,18：30～19：30,1歳児クラス～,株式会社ＨＯＰＰＡ三鷹
13,私立,ポピンズナーサリースクール三鷹南,下連雀4-16-16,70-1620,H26.4.1,0～5,6,10,12,14,14,14,70,7：00～18：00,18：00～20：30,0歳児クラス～,株式会社ポピンズエデュケア
14,私立,三鷹もりのこ保育園,上連雀2-16-1,43-1195,H26.4.1,0～5,6,13,13,13,13,13,71,7：00～18：00,18：00～20：00,満1歳～,株式会社こどもの森
15,私立,にじいろ保育園三鷹新川,新川6-33-15,26-7402,H27.4.1,0～5,6,14,16,20,20,20,96,7：00～18：00,18：00～20：30,満1歳～,ライクキッズ株式会社
16,私立,にじいろ保育園三鷹牟礼,牟礼1-１4-27,24-6618,H28.4.1,0～5,6,14,16,20,20,20,96,7：00～18：00,18：00～20：30,1歳児クラス～,ライクキッズ株式会社
17,私立,牟礼の森トキ保育園（本園）,牟礼4-2-23,24-9233,H28.4.1,0～2,9,20,12,-,-,-,41,7：30～18：30,18：30～19：30,1歳児クラス～,トキ株式会社
17,私立,牟礼の森トキ保育園（分園）,牟礼4-2-19,46-6977,H29.4.1,2～5,-,-,12,25,25,25,87,7：30～18：30,18：30～19：30,２歳児～５歳児クラス,トキ株式会社
18,私立,三鷹どろんこ保育園,井口1-23-9,30-5923,H29.4.1,0～5,6,15,18,20,20,20,99,7：00～18：00,18：00～20：00,0歳児クラス～,社会福祉法人どろんこ会
19,私立,グローバルキッズ三鷹園,下連雀3-6-21,71-5155,H29.4.1,0～5,9,15,18,19,19,19,99,7：00～18：00,18：00～20：00,満1歳～,株式会社グローバルキッズ
20,私立,三鷹ちしろの木保育園,野崎2-11-7,30-9098,H30.4.1,0～5,6,10,18,20,20,20,94,7：00～18：00,18：00～20：00,満1歳～,社会福祉法人ちしろの森
21,私立,キッズガーデン上連雀,上連雀6-27-4,29-8020,H30.4.1,0～5,6,15,18,20,20,20,99,7：30～18：30,18：30～20：30,0歳児クラス～,株式会社Ｋｉｄｓ Ｓｍｉｌｅ Ｐｒｏｊｅｃｔ
22,私立,Gakkenほいくえん三鷹,上連雀1-5-12,54-2261,H31.4.1,0～5,6,10,12,14,14,14,70,7：00～18：00,18：00～20：00,1歳児クラス～,株式会社学研ココファン・ナーサリー
23,私立,みたいぐコスモ保育園,井口1-9-19,31-3131,H31.4.1,0～5,6,18,19,19,19,19,100,7：15～18：15,18：15～19：30,満1歳～,株式会社コスモズ
24,私立,三鷹新川雲母保育園,新川3-6-6,70-1108,H31.4.1,0～5,3,10,11,12,13,13,62,7：00～18：00,18：00～20：00,0歳児クラス～,株式会社モード・プランニング・ジャパン
25,私立,ソラストみたか台保育園,牟礼5-6-7,76-6070,H31.4.1,0～5,6,10,12,15,15,15,73,7：00～18：00,18：00～20：00,0歳児クラス～,株式会社ソラスト
26,私立,HOPPA北野けやきの里,北野4-8-25,03-6279-5058,R2.4.1,0～5,6,14,15,15,18,15,83,7：30～18：30,18：30～19：30,0歳児クラス～,ビーフェア株式会社
27,私立,ポピンズナーサリースクール三鷹下連雀,下連雀5-1-1-Ｅ2,29-9575,R2.4.1,0～5,6,10,11,11,11,11,60,7：00～18：00,18：00～20：00,0歳児クラス～,株式会社ポピンズエデュケア
28,私立,みたかこころ保育園,牟礼6-2-1,26-9022,R2.4.1,0～5,12,12,12,14,15,15,80,7：00～18：00,18：00～19：00,1歳児クラス～,社会福祉法人こころ福祉会
29,私立,うれしい保育園三鷹中原,中原3-2-1,76-8821,R3.4.1,0～5,6,11,11,11,11,11,61,7：00～18：00,18：00～20：00,満1歳～,株式会社ケア21
30,私立,ときむれのこ保育園,牟礼4-3-14,26-7730,R4.4.1,0～2,6,18,18,-,-,-,42,7：30～18：30,18：30～19：30,1歳児クラス～,トキ株式会社
31,私立,ペガサス保育園三鷹駅前,下連雀3-34-15-201,72-8545,R5.4.1,1～5,-,8,10,10,10,10,48,7：30～18：30,18：30～19：30,1歳児クラス～,エンゼル有限会社
32,私立,アイム保育園,上連雀2-8-20 1F,76-2676,R5.8.1,1～5,-,5,5,5,5,5,25,7：30～18：30,18：30～20：30,1歳児クラス～,株式会社aim
