01会計,02款,03項,04目,05事項,06節,07細々節,08予算額
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,01報酬,01議員報酬　２８人,186240
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,03職員手当等,01議員期末手当,82769
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,04共済費,01議員共済会負担金,58576
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,08旅費,01議員普通旅費,372
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,08旅費,01議員管外旅費,3872
01一般会計,01議会費,01議会費,01議会費,01議員人件費その他,12委託料,01健康診断委託料,292
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,02給料,01一般職給料　１３人,55811
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,03職員手当等,01一般職手当,44843
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,03職員手当等,01児童手当,1085
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,04共済費,01共済組合市負担金,20546
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,04共済費,01地方公務員災害補償基金負担金,102
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,08旅費,01職員普通旅費,112
01一般会計,01議会費,01議会費,01議会費,02職員人件費その他,08旅費,01職員管外旅費,756
01一般会計,01議会費,01議会費,01議会費,03議員研修関係費,07報償費,01講師謝礼,165
01一般会計,01議会費,01議会費,01議会費,04議会だより関係費,10需用費,01諸印刷費,4107
01一般会計,01議会費,01議会費,01議会費,04議会だより関係費,11役務費,01郵便料,17
01一般会計,01議会費,01議会費,01議会費,04議会だより関係費,12委託料,01配布委託料,5422
01一般会計,01議会費,01議会費,01議会費,04議会だより関係費,12委託料,02声の議会だより作成委託料,176
01一般会計,01議会費,01議会費,01議会費,04議会だより関係費,12委託料,03ＰＤＦファイル作成委託料,57
01一般会計,01議会費,01議会費,01議会費,04議会だより関係費,12委託料,04読み上げ用テキスト作成委託料,70
01一般会計,01議会費,01議会費,01議会費,05交際費,09交際費,01議長交際費,500
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,01報酬,01時間額職員報酬,642
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,07報償費,01記念品購入費,30
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,07報償費,02手話通訳者謝礼,65
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,01新聞雑誌購読料,618
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,02事務機器用消耗品費,303
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,03諸消耗品費,794
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,04法規追録代,991
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,05貸与被服購入費,409
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,01会議録等原本製本代,41
01一般会計,01議会費,01議会費,01議会費,06議会及び事務局運営管理費,10需用費,01諸修繕料,131
