"科目","金額[百万円]"
"年度","2019"
"期間（自）","20190401"
"期間（至）","20200331"
"経常費用","197880"
"経常費用 業務費用","92516"
"経常費用 業務費用 人件費","21435"
"経常費用 業務費用 人件費 職員給与費","17666"
"経常費用 業務費用 人件費 賞与等引当金繰入額","1032"
"経常費用 業務費用 人件費 退職手当引当金繰入額","1167"
"経常費用 業務費用 人件費 その他","1570"
"経常費用 業務費用 物件費等","61970"
"経常費用 業務費用 物件費等 物件費","47536"
"経常費用 業務費用 物件費等 維持補修費","2928"
"経常費用 業務費用 物件費等 減価償却費","11506"
"経常費用 業務費用 物件費等 その他","0"
"経常費用 業務費用 その他の業務費用","9111"
"経常費用 業務費用 その他の業務費用 支払利息","24"
"経常費用 業務費用 その他の業務費用 徴収不能引当金繰入額","879"
"経常費用 業務費用 その他の業務費用 その他","8208"
"経常費用 移転費用","105364"
"経常費用 移転費用 補助金等","81567"
"経常費用 移転費用 社会保障給付","23276"
"経常費用 移転費用 他会計への繰出金","0"
"経常費用 移転費用 その他","521"
"経常収益","25301"
"経常収益 使用料及び手数料","9454"
"経常収益 その他","15848"
"純経常行政コスト","-172578"
"臨時損失","142"
"臨時損失 災害復旧事業費","-"
"臨時損失 資産除売却損","142"
"臨時損失 損失補償等引当金繰入額","-"
"臨時損失 その他","0"
"臨時利益","0"
"臨時利益 資産売却益","0"
"臨時利益 その他","0"
"純行政コスト","-172720"

"連結会計財務書類（行政コスト計算書）(平成31年4月1日から令和2年3月31日)","Ver202003"
