年度,Fiscal year,貸切使用日数 Group use (number of days)／メインアリーナ Main arena,貸切使用日数 Group use (number of days)／サブアリーナ Sub arena,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools／50m,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools／25m,貸切使用日数 Group use (number of days)／研修室(4室) Seminar rooms (4),一般公開利用者数  Individual users／屋内プール Indoor swimming pools 2),一般公開利用者数  Individual users／陸上競技場 Athletic field,健康体力相談室 Health counseling room(人 persons),講習会等 Workshops and others／回数 Times held,講習会等 Workshops and others／利用者数 Participants
平成23,2011,319,328,227,337,1279,455717,67128,715,420,66386
平成24,2012,87,87,-,-,340,44610,20781,236,23,22799
平成25,2013,346,344,219,339,1324,374177,43205,683,166,90308
平成26,2014,344,342,214,280,1341,457595,57496,658,85,38751
平成27,2015,345,343,213,215,1355,477894,77439,734,136,36442
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (1) 東京体育館 (平成23～27年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (1) TOKYO METROPOLITAN GYMNASIUM ( Fiscal Years 2011-2015 )　,,,,,,,,,,,
注 1) 屋内プール(50m)貸切使用日数はコースごとである。,,,,,,,,,,,
2) 屋内プールの利用者数には，トレーニングルームの利用者数を含む。,,,,,,,,,,,
3) 平成24年4月から平成25年3月まで大規模改修工事のため，期間を定めて一部または全部施設を休館した。,,,,,,,,,,,
Note: 1) Group use of a lane in the 50-meter pool is counted as one day.,,,,,,,,,,,
2) Indoor swimming pool user figures also include training room users.,,,,,,,,,,,
3) From April 2012 to March 2013， the gymnasium was closed ( partially and then fully ) due to renovations.,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， T.M.G.,,,,,,,,,,,
