年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成25,2013,総数,Total,101970,49702,52268,1096,42908,57966,98478,3492
平成26,2014,総数,Total,98535,48343,50192,1088,41265,56182,95023,3512
平成27,2015,総数,Total,100635,49136,51499,1098,42314,57223,97181,3454
平成27,2015,進学者(A),Enrollment in higher education institutions(A),67207,30856,36351,669,22423,44115,66483,724
平成27,2015,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,64301,30600,33701,669,20904,42728,63643,658
平成27,2015,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,2802,227,2575,-,1480,1322,2749,53
平成27,2015,進学者(A)／大学・短期大学の通信教育部,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges,48,26,22,-,36,12,36,12
平成27,2015,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,8,1,7,-,1,7,7,1
平成27,2015,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,48,2,46,-,2,46,48,-
平成27,2015,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
平成27,2015,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),11997,5148,6849,5,7921,4071,11299,698
平成27,2015,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),6234,4008,2226,-,2718,3516,6132,102
平成27,2015,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),313,253,60,-,268,45,215,98
平成27,2015,就職者,Employed,6669,4058,2611,1,5478,1190,5739,930
平成27,2015,就職者／正規の職員等,Employed／Regular worker,6632,4036,2596,1,5458,1173,5706,926
平成27,2015,就職者／正規の職員等でない者,Employed／Non-regular workers,37,22,15,-,20,17,33,4
平成27,2015,一時的な仕事に就いた者,Temporary workers,853,361,492,-,737,116,520,333
平成27,2015,上記以外の者,Persons other than the above,7344,4442,2902,423,2765,4156,6779,565
平成27,2015,不詳・死亡,Unknown or deceased,18,10,8,-,4,14,14,4
平成27,2015,（再掲）上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,16,6,10,-,14,2,15,1
平成27,2015,（再掲）上記就職している者のうち正規の職員等,(Relisted)Working in regular positions,5,2,3,-,3,2,4,1
平成27,2015,（再掲）上記就職している者のうち正規の職員等でない者,(Relisted)Working in non-regular positions,11,4,7,-,11,-,11,-
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成25～平成27年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2013-2015 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
