区分１,区分２,度数計,割合計,利用状況の把握及び監督もできている_度数,利用状況の把握及び監督もできている_割合,利用状況は把握しているが、監督まではできていない_度数,利用状況は把握しているが、監督まではできていない_割合,利用状況を把握しておらず、監督もできていない_度数,利用状況を把握しておらず、監督もできていない_割合,子供の利用状況に関心がない_度数,子供の利用状況に関心がない_割合,その他_度数,その他_割合
全体,全体,1500,100,550,36.7,639,42.6,208,13.9,98,6.5,5,0.3
子供のケータイ利用についての家庭内でのルール,作っていない,1075,100,427,39.7,516,48,106,9.9,23,2.1,3,0.3
子供のケータイ利用についての家庭内でのルール,作っている,425,100,123,28.9,123,28.9,102,24,75,17.6,2,0.5
家庭内でのルールを作っていない理由,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから,211,100,64,30.3,75,35.5,39,18.5,33,15.6,0,0
家庭内でのルールを作っていない理由,ルールを作っても、守れないから,65,100,4,6.2,24,36.9,29,44.6,8,12.3,0,0
家庭内でのルールを作っていない理由,ルールを作ろうとしても、子供とケンカになってしまうから,23,100,1,4.3,11,47.8,9,39.1,2,8.7,0,0
家庭内でのルールを作っていない理由,話し合ってルールを作る時間がないから,10,100,3,30,4,40,3,30,0,0,0,0
家庭内でのルールを作っていない理由,ルール作りが推奨されていること自体を知らなかったから,5,100,0,0,1,20,4,80,0,0,0,0
家庭内でのルールを作っていない理由,どんなルールを作ればいいのかよく分からないから,31,100,6,19.4,4,12.9,16,51.6,5,16.1,0,0
家庭内でのルールを作っていない理由,親も自由に使いたいから、ルールを決めたくない,16,100,3,18.8,2,12.5,7,43.8,4,25,0,0
家庭内でのルールを作っていない理由,機能が少ない携帯電話（キッズ携帯等）だから,96,100,48,50,14,14.6,13,13.5,20,20.8,1,1
家庭内でのルールを作っていない理由,その他,9,100,2,22.2,1,11.1,0,0,5,55.6,1,11.1
