区分１,区分２,度数計,割合計,守られている_度数,守られている_割合,だいたい守られている_度数,だいたい守られている_割合,あまり守られていない_度数,あまり守られていない_割合,守られていない_度数,守られていない_割合,わからない_度数,わからない_割合
全体,全体,242,100,94,38.8,116,47.9,26,10.7,2,0.8,4,1.7
児童・生徒別,小学生,119,100,56,47.1,53,44.5,7,5.9,1,0.8,2,1.7
児童・生徒別,中学生,78,100,25,32.1,37,47.4,15,19.2,0,0,1,1.3
児童・生徒別,高校生,45,100,13,28.9,26,57.8,4,8.9,1,2.2,1,2.2
子供の性別,男子,120,100,42,35,58,48.3,18,15,1,0.8,1,0.8
子供の性別,女子,122,100,52,42.6,58,47.5,8,6.6,1,0.8,3,2.5
児童・生徒×子供の性別,小学生男子,55,100,21,38.2,28,50.9,4,7.3,1,1.8,1,1.8
児童・生徒×子供の性別,小学生女子,64,100,35,54.7,25,39.1,3,4.7,0,0,1,1.6
児童・生徒×子供の性別,中学生男子,46,100,15,32.6,18,39.1,13,28.3,0,0,0,0
児童・生徒×子供の性別,中学生女子,32,100,10,31.3,19,59.4,2,6.3,0,0,1,3.1
児童・生徒×子供の性別,高校生男子,19,100,6,31.6,12,63.2,1,5.3,0,0,0,0
児童・生徒×子供の性別,高校生女子,26,100,7,26.9,14,53.8,3,11.5,1,3.8,1,3.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,159,100,66,41.5,75,47.2,13,8.2,2,1.3,3,1.9
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,19,100,6,31.6,7,36.8,6,31.6,0,0,0,0
携帯電話の購入所別,家電量販店,43,100,14,32.6,23,53.5,5,11.6,0,0,1,2.3
携帯電話の購入所別,インターネット販売,11,100,5,45.5,6,54.5,0,0,0,0,0,0
携帯電話の購入所別,その他,5,100,1,20,3,60,1,20,0,0,0,0
携帯電話の購入所別,わからない,5,100,2,40,2,40,1,20,0,0,0,0
フィルタリングサービスの加入状況別,加入している,127,100,53,41.7,61,48,11,8.7,1,0.8,1,0.8
フィルタリングサービスの加入状況別,加入している,74,100,24,32.4,39,52.7,9,12.2,1,1.4,1,1.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,22,100,11,50,7,31.8,4,18.2,0,0,0,0
フィルタリングサービスの加入状況別,わからない,19,100,6,31.6,9,47.4,2,10.5,0,0,2,10.5
利用制限サービスの加入状況別,加入している,79,100,30,38,39,49.4,9,11.4,1,1.3,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,40,100,10,25,24,60,6,15,0,0,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,39,100,14,35.9,17,43.6,5,12.8,1,2.6,2,5.1
利用制限サービスの加入状況別,わからない,7,100,2,28.6,4,57.1,1,14.3,0,0,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,141,100,73,51.8,59,41.8,7,5,1,0.7,1,0.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,81,100,16,19.8,52,64.2,11,13.6,0,0,2,2.5
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,12,100,2,16.7,4,33.3,5,41.7,1,8.3,0,0
利用状況の管理状態別,子供の利用状況に関心がない,8,100,3,37.5,1,12.5,3,37.5,0,0,1,12.5
利用状況の管理状態別,その他,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,109,100,39,35.8,56,51.4,11,10.1,1,0.9,2,1.8
説明・学習経験別,インターネットで調べた,107,100,39,36.4,53,49.5,14,13.1,0,0,1,0.9
説明・学習経験別,学校から配布される資料等を読んだ,99,100,37,37.4,49,49.5,9,9.1,2,2,2,2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,67,100,19,28.4,36,53.7,8,11.9,1,1.5,3,4.5
説明・学習経験別,知識のある知人から説明を受けた,30,100,9,30,16,53.3,5,16.7,0,0,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,26,100,9,34.6,16,61.5,1,3.8,0,0,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,13,100,2,15.4,9,69.2,2,15.4,0,0,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,23,100,12,52.2,10,43.5,1,4.3,0,0,0,0
説明・学習経験別,その他,0,0,0,0,0,0,0,0,0,0,0,0
