区分１,区分２,度数計,割合計,必要だ_度数,必要だ_割合,必要ない_度数,必要ない_割合
全体,全体,1500,100,1156,77.1,344,22.9
児童・生徒別,小学生,500,100,416,83.2,84,16.8
児童・生徒別,中学生,500,100,404,80.8,96,19.2
児童・生徒別,高校生,500,100,336,67.2,164,32.8
子供の性別,男子,763,100,578,75.8,185,24.2
子供の性別,女子,737,100,578,78.4,159,21.6
児童・生徒×子供の性別,小学生男子,236,100,189,80.1,47,19.9
児童・生徒×子供の性別,小学生女子,264,100,227,86,37,14
児童・生徒×子供の性別,中学生男子,262,100,218,83.2,44,16.8
児童・生徒×子供の性別,中学生女子,238,100,186,78.2,52,21.8
児童・生徒×子供の性別,高校生男子,265,100,171,64.5,94,35.5
児童・生徒×子供の性別,高校生女子,235,100,165,70.2,70,29.8
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,744,78.1,209,21.9
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,65,77.4,19,22.6
携帯電話の購入所別,家電量販店,282,100,215,76.2,67,23.8
携帯電話の購入所別,インターネット販売,109,100,82,75.2,27,24.8
携帯電話の購入所別,その他,43,100,35,81.4,8,18.6
携帯電話の購入所別,わからない,29,100,15,51.7,14,48.3
フィルタリングサービスの加入状況別,加入している,539,100,466,86.5,73,13.5
フィルタリングサービスの加入状況別,加入している,523,100,367,70.2,156,29.8
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,150,81.1,35,18.9
フィルタリングサービスの加入状況別,わからない,253,100,173,68.4,80,31.6
利用制限サービスの加入状況別,加入している,366,100,319,87.2,47,12.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,143,85.6,24,14.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,229,65.2,122,34.8
利用制限サービスの加入状況別,わからない,87,100,62,71.3,25,28.7
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,454,82.5,96,17.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,504,78.9,135,21.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,154,74,54,26
利用状況の管理状態別,子供の利用状況に関心がない,98,100,40,40.8,58,59.2
利用状況の管理状態別,その他,5,100,4,80,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,393,83.4,78,16.6
説明・学習経験別,インターネットで調べた,482,100,393,81.5,89,18.5
説明・学習経験別,学校から配布される資料等を読んだ,537,100,458,85.3,79,14.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,273,82.7,57,17.3
説明・学習経験別,知識のある知人から説明を受けた,74,100,64,86.5,10,13.5
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,94,83.2,19,16.8
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,28,75.7,9,24.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,216,63.5,124,36.5
説明・学習経験別,その他,9,100,6,66.7,3,33.3
