区分１,区分２,度数計,割合計,価格_度数,価格_割合,機能が多くハイスペック（高機能）なもの_度数,機能が多くハイスペック（高機能）なもの_割合,操作や機能が比較的簡単で使いやすいもの_度数,操作や機能が比較的簡単で使いやすいもの_割合,子供が欲しがるもの_度数,子供が欲しがるもの_割合,その他_度数,その他_割合
全体,全体,1500,100,643,42.9,151,10.1,476,31.7,202,13.5,28,1.9
児童・生徒別,小学生,500,100,198,39.6,44,8.8,216,43.2,34,6.8,8,1.6
児童・生徒別,中学生,500,100,229,45.8,48,9.6,144,28.8,71,14.2,8,1.6
児童・生徒別,高校生,500,100,216,43.2,59,11.8,116,23.2,97,19.4,12,2.4
子供の性別,男子,763,100,339,44.4,87,11.4,226,29.6,94,12.3,17,2.2
子供の性別,女子,737,100,304,41.2,64,8.7,250,33.9,108,14.7,11,1.5
児童・生徒×子供の性別,小学生男子,236,100,95,40.3,29,12.3,96,40.7,13,5.5,3,1.3
児童・生徒×子供の性別,小学生女子,264,100,103,39,15,5.7,120,45.5,21,8,5,1.9
児童・生徒×子供の性別,中学生男子,262,100,122,46.6,25,9.5,77,29.4,32,12.2,6,2.3
児童・生徒×子供の性別,中学生女子,238,100,107,45,23,9.7,67,28.2,39,16.4,2,0.8
児童・生徒×子供の性別,高校生男子,265,100,122,46,33,12.5,53,20,49,18.5,8,3
児童・生徒×子供の性別,高校生女子,235,100,94,40,26,11.1,63,26.8,48,20.4,4,1.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,378,39.7,102,10.7,314,32.9,142,14.9,17,1.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,34,40.5,15,17.9,27,32.1,8,9.5,0,0
携帯電話の購入所別,家電量販店,282,100,144,51.1,18,6.4,78,27.7,35,12.4,7,2.5
携帯電話の購入所別,インターネット販売,109,100,53,48.6,9,8.3,37,33.9,9,8.3,1,0.9
携帯電話の購入所別,その他,43,100,20,46.5,5,11.6,14,32.6,2,4.7,2,4.7
携帯電話の購入所別,わからない,29,100,14,48.3,2,6.9,6,20.7,6,20.7,1,3.4
フィルタリングサービスの加入状況別,加入している,539,100,231,42.9,59,10.9,178,33,61,11.3,10,1.9
フィルタリングサービスの加入状況別,加入している,523,100,236,45.1,62,11.9,139,26.6,78,14.9,8,1.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,64,34.6,11,5.9,95,51.4,11,5.9,4,2.2
フィルタリングサービスの加入状況別,わからない,253,100,112,44.3,19,7.5,64,25.3,52,20.6,6,2.4
利用制限サービスの加入状況別,加入している,366,100,164,44.8,46,12.6,98,26.8,49,13.4,9,2.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,63,37.7,15,9,66,39.5,21,12.6,2,1.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,158,45,46,13.1,80,22.8,62,17.7,5,1.4
利用制限サービスの加入状況別,わからない,87,100,47,54,7,8,17,19.5,16,18.4,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,239,43.5,50,9.1,208,37.8,42,7.6,11,2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,277,43.3,72,11.3,191,29.9,90,14.1,9,1.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,91,43.8,24,11.5,61,29.3,30,14.4,2,1
利用状況の管理状態別,子供の利用状況に関心がない,98,100,34,34.7,5,5.1,16,16.3,39,39.8,4,4.1
利用状況の管理状態別,その他,5,100,2,40,0,0,0,0,1,20,2,40
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,191,40.6,59,12.5,152,32.3,58,12.3,11,2.3
説明・学習経験別,インターネットで調べた,482,100,195,40.5,67,13.9,164,34,45,9.3,11,2.3
説明・学習経験別,学校から配布される資料等を読んだ,537,100,221,41.2,47,8.8,196,36.5,66,12.3,7,1.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,132,40,32,9.7,119,36.1,43,13,4,1.2
説明・学習経験別,知識のある知人から説明を受けた,74,100,19,25.7,13,17.6,31,41.9,10,13.5,1,1.4
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,39,34.5,10,8.8,46,40.7,16,14.2,2,1.8
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,7,18.9,4,10.8,17,45.9,8,21.6,1,2.7
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,162,47.6,22,6.5,84,24.7,64,18.8,8,2.4
説明・学習経験別,その他,9,100,2,22.2,2,22.2,2,22.2,1,11.1,2,22.2
